Country,Date,Search_Index
Australia,2020-01-26,0.0
Australia,2020-02-02,0.0
Australia,2020-02-09,0
Australia,2020-02-16,0
Australia,2020-02-23,1.0
Australia,2020-03-01,2.0
Australia,2020-03-08,8.0
Australia,2020-03-15,25.0
Australia,2020-03-22,39.0
Australia,2020-03-29,33.0
Australia,2020-04-05,28.0
Australia,2020-04-12,22.0
Australia,2020-04-19,19.0
Australia,2020-04-26,24.0
Australia,2020-05-03,20.0
Australia,2020-05-10,18.0
Australia,2020-05-17,16.0
Australia,2020-05-24,15.0
Australia,2020-05-31,13.0
Australia,2020-06-07,13.0
Australia,2020-06-14,14.0
Australia,2020-06-21,19.0
Australia,2020-06-28,22.0
Australia,2020-07-05,26.0
Australia,2020-07-12,31.0
Australia,2020-07-19,32.0
Australia,2020-07-26,38.0
Australia,2020-08-02,41.0
Australia,2020-08-09,27.0
Australia,2020-08-16,25.0
Australia,2020-08-23,24.0
Australia,2020-08-30,22.0
Australia,2020-09-06,21.0
Australia,2020-09-13,19.0
Australia,2020-09-20,18.0
Australia,2020-09-27,21.0
Australia,2020-10-04,19.0
Australia,2020-10-11,19.0
Australia,2020-10-18,20.0
Australia,2020-10-25,18.0
Australia,2020-11-01,15.0
Australia,2020-11-08,15.0
Australia,2020-11-15,28.0
Australia,2020-11-22,14.0
Australia,2020-11-29,14.0
Australia,2020-12-06,12.0
Australia,2020-12-13,27.0
Australia,2020-12-20,42.0
Australia,2020-12-27,40.0
Australia,2021-01-03,36.0
Australia,2021-01-10,23.0
Australia,2021-01-17,16.0
Australia,2021-01-24,13.0
Australia,2021-01-31,24.0
Australia,2021-02-07,22.0
Australia,2021-02-14,19.0
Australia,2021-02-21,13.0
Australia,2021-02-28,10.0
Australia,2021-03-07,11.0
Australia,2021-03-14,14.0
Australia,2021-03-21,15.0
Australia,2021-03-28,33.0
Australia,2021-04-04,12.0
Australia,2021-04-11,10.0
Australia,2021-04-18,16.0
Australia,2021-04-25,22.0
Australia,2021-05-02,24.0
Australia,2021-05-09,17.0
Australia,2021-05-16,12.0
Australia,2021-05-23,45.0
Australia,2021-05-30,41.0
Australia,2021-06-06,28.0
Australia,2021-06-13,26.0
Australia,2021-06-20,55.0
Australia,2021-06-27,81.0
Australia,2021-07-04,47.0
