类别：所有类别

周,covid: (澳大利亚)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,2
2020-03-08,8
2020-03-15,25
2020-03-22,39
2020-03-29,33
2020-04-05,28
2020-04-12,22
2020-04-19,19
2020-04-26,24
2020-05-03,20
2020-05-10,18
2020-05-17,16
2020-05-24,15
2020-05-31,13
2020-06-07,13
2020-06-14,14
2020-06-21,19
2020-06-28,22
2020-07-05,26
2020-07-12,31
2020-07-19,32
2020-07-26,38
2020-08-02,41
2020-08-09,27
2020-08-16,25
2020-08-23,24
2020-08-30,22
2020-09-06,21
2020-09-13,19
2020-09-20,18
2020-09-27,21
2020-10-04,19
2020-10-11,19
2020-10-18,20
2020-10-25,18
2020-11-01,15
2020-11-08,15
2020-11-15,28
2020-11-22,14
2020-11-29,14
2020-12-06,12
2020-12-13,27
2020-12-20,42
2020-12-27,40
2021-01-03,36
2021-01-10,23
2021-01-17,16
2021-01-24,13
2021-01-31,24
2021-02-07,22
2021-02-14,19
2021-02-21,13
2021-02-28,10
2021-03-07,11
2021-03-14,14
2021-03-21,15
2021-03-28,33
2021-04-04,12
2021-04-11,10
2021-04-18,16
2021-04-25,22
2021-05-02,24
2021-05-09,17
2021-05-16,12
2021-05-23,45
2021-05-30,41
2021-06-06,28
2021-06-13,26
2021-06-20,55
2021-06-27,81
2021-07-04,47
2021-07-11,77
2021-07-18,87
2021-07-25,72
2021-08-01,82
2021-08-08,78
2021-08-15,86
2021-08-22,77
2021-08-29,67
2021-09-05,64
2021-09-12,56
2021-09-19,49
2021-09-26,59
2021-10-03,52
2021-10-10,45
2021-10-17,39
2021-10-24,33
2021-10-31,28
2021-11-07,28
2021-11-14,26
2021-11-21,26
2021-11-28,28
2021-12-05,27
2021-12-12,51
2021-12-19,79
2021-12-26,90
2022-01-02,100
2022-01-09,73
2022-01-16,51
2022-01-23,38
2022-01-30,31
2022-02-06,27
2022-02-13,24
2022-02-20,22
2022-02-27,20
2022-03-06,21
2022-03-13,22
2022-03-20,24
2022-03-27,21
2022-04-03,21
2022-04-10,18
