Category: All categories

Week,covid: (Iran)
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,8
2020-02-23,38
2020-03-01,42
2020-03-08,56
2020-03-15,51
2020-03-22,78
2020-03-29,77
2020-04-05,67
2020-04-12,50
2020-04-19,37
2020-04-26,36
2020-05-03,32
2020-05-10,32
2020-05-17,35
2020-05-24,22
2020-05-31,26
2020-06-07,27
2020-06-14,31
2020-06-21,33
2020-06-28,39
2020-07-05,43
2020-07-12,40
2020-07-19,40
2020-07-26,35
2020-08-02,33
2020-08-09,38
2020-08-16,26
2020-08-23,27
2020-08-30,26
2020-09-06,23
2020-09-13,22
2020-09-20,23
2020-09-27,25
2020-10-04,33
2020-10-11,34
2020-10-18,40
2020-10-25,42
2020-11-01,35
2020-11-08,39
2020-11-15,38
2020-11-22,32
2020-11-29,21
2020-12-06,21
2020-12-13,21
2020-12-20,25
2020-12-27,20
2021-01-03,22
2021-01-10,20
2021-01-17,21
2021-01-24,23
2021-01-31,27
2021-02-07,24
2021-02-14,25
2021-02-21,26
2021-02-28,33
2021-03-07,24
2021-03-14,24
2021-03-21,33
2021-03-28,38
2021-04-04,46
2021-04-11,53
2021-04-18,55
2021-04-25,62
2021-05-02,46
2021-05-09,36
2021-05-16,32
2021-05-23,35
2021-05-30,39
2021-06-06,29
2021-06-13,26
2021-06-20,40
2021-06-27,42
2021-07-04,44
2021-07-11,48
2021-07-18,59
2021-07-25,62
2021-08-01,97
2021-08-08,98
2021-08-15,100
2021-08-22,73
2021-08-29,64
2021-09-05,51
2021-09-12,57
2021-09-19,45
2021-09-26,38
2021-10-03,27
2021-10-10,29
2021-10-17,27
2021-10-24,22
2021-10-31,24
2021-11-07,22
2021-11-14,19
2021-11-21,21
2021-11-28,23
2021-12-05,18
2021-12-12,27
2021-12-19,26
2021-12-26,25
2022-01-02,21
2022-01-09,19
2022-01-16,58
2022-01-23,21
2022-01-30,29
2022-02-06,26
2022-02-13,25
2022-02-20,21
2022-02-27,18
2022-03-06,16
2022-03-13,17
2022-03-20,26
2022-03-27,25
2022-04-03,23
2022-04-10,23
