Category: All categories

Week,covid: (Italy)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,5
2020-03-08,18
2020-03-15,25
2020-03-22,26
2020-03-29,24
2020-04-05,24
2020-04-12,26
2020-04-19,25
2020-04-26,27
2020-05-03,28
2020-05-10,26
2020-05-17,26
2020-05-24,23
2020-05-31,20
2020-06-07,19
2020-06-14,18
2020-06-21,18
2020-06-28,17
2020-07-05,17
2020-07-12,18
2020-07-19,20
2020-07-26,24
2020-08-02,22
2020-08-09,31
2020-08-16,39
2020-08-23,40
2020-08-30,31
2020-09-06,30
2020-09-13,26
2020-09-20,27
2020-09-27,31
2020-10-04,44
2020-10-11,62
2020-10-18,71
2020-10-25,76
2020-11-01,77
2020-11-08,76
2020-11-15,56
2020-11-22,43
2020-11-29,38
2020-12-06,34
2020-12-13,40
2020-12-20,41
2020-12-27,40
2021-01-03,44
2021-01-10,42
2021-01-17,36
2021-01-24,33
2021-01-31,34
2021-02-07,36
2021-02-14,43
2021-02-21,50
2021-02-28,55
2021-03-07,60
2021-03-14,55
2021-03-21,55
2021-03-28,60
2021-04-04,57
2021-04-11,52
2021-04-18,50
2021-04-25,50
2021-05-02,47
2021-05-09,49
2021-05-16,48
2021-05-23,38
2021-05-30,44
2021-06-06,39
2021-06-13,32
2021-06-20,30
2021-06-27,28
2021-07-04,27
2021-07-11,34
2021-07-18,48
2021-07-25,40
2021-08-01,37
2021-08-08,33
2021-08-15,31
2021-08-22,29
2021-08-29,28
2021-09-05,24
2021-09-12,23
2021-09-19,23
2021-09-26,20
2021-10-03,18
2021-10-10,20
2021-10-17,22
2021-10-24,22
2021-10-31,24
2021-11-07,29
2021-11-14,34
2021-11-21,46
2021-11-28,42
2021-12-05,38
2021-12-12,45
2021-12-19,69
2021-12-26,100
2022-01-02,96
2022-01-09,74
2022-01-16,58
2022-01-23,43
2022-01-30,38
2022-02-06,28
2022-02-13,22
2022-02-20,19
2022-02-27,17
2022-03-06,19
2022-03-13,22
2022-03-20,21
2022-03-27,21
2022-04-03,19
2022-04-10,18
