Country,Date,new_cases
Canada,2020-01-26,0.0
Canada,2020-02-02,0.0
Canada,2020-02-09,0
Canada,2020-02-16,0
Canada,2020-02-23,2.0
Canada,2020-03-01,6.0
Canada,2020-03-08,31.0
Canada,2020-03-15,87.0
Canada,2020-03-22,90.0
Canada,2020-03-29,74.0
Canada,2020-04-05,62.0
Canada,2020-04-12,53.0
Canada,2020-04-19,45.0
Canada,2020-04-26,43.0
Canada,2020-05-03,40.0
Canada,2020-05-10,38.0
Canada,2020-05-17,34.0
Canada,2020-05-24,35.0
Canada,2020-05-31,30.0
Canada,2020-06-07,31.0
Canada,2020-06-14,29.0
Canada,2020-06-21,31.0
Canada,2020-06-28,31.0
Canada,2020-07-05,30.0
Canada,2020-07-12,34.0
Canada,2020-07-19,35.0
Canada,2020-07-26,34.0
Canada,2020-08-02,30.0
Canada,2020-08-09,30.0
Canada,2020-08-16,28.0
Canada,2020-08-23,26.0
Canada,2020-08-30,27.0
Canada,2020-09-06,31.0
Canada,2020-09-13,39.0
Canada,2020-09-20,44.0
Canada,2020-09-27,54.0
Canada,2020-10-04,49.0
Canada,2020-10-11,41.0
Canada,2020-10-18,36.0
Canada,2020-10-25,39.0
Canada,2020-11-01,34.0
Canada,2020-11-08,48.0
Canada,2020-11-15,55.0
Canada,2020-11-22,56.0
Canada,2020-11-29,48.0
Canada,2020-12-06,56.0
Canada,2020-12-13,52.0
Canada,2020-12-20,46.0
Canada,2020-12-27,44.0
Canada,2021-01-03,49.0
Canada,2021-01-10,50.0
Canada,2021-01-17,42.0
Canada,2021-01-24,39.0
Canada,2021-01-31,36.0
Canada,2021-02-07,35.0
Canada,2021-02-14,34.0
Canada,2021-02-21,37.0
Canada,2021-02-28,40.0
Canada,2021-03-07,42.0
Canada,2021-03-14,43.0
Canada,2021-03-21,47.0
Canada,2021-03-28,60.0
Canada,2021-04-04,72.0
Canada,2021-04-11,68.0
Canada,2021-04-18,71.0
Canada,2021-04-25,73.0
Canada,2021-05-02,68.0
Canada,2021-05-09,58.0
Canada,2021-05-16,54.0
Canada,2021-05-23,50.0
Canada,2021-05-30,51.0
Canada,2021-06-06,47.0
Canada,2021-06-13,48.0
Canada,2021-06-20,44.0
Canada,2021-06-27,36.0
Canada,2021-07-04,34.0
Canada,2021-07-11,31.0
Canada,2021-07-18,30.0
Canada,2021-07-25,32.0
Canada,2021-08-01,38.0
Canada,2021-08-08,35.0
Canada,2021-08-15,52.0
Canada,2021-08-22,44.0
Canada,2021-08-29,46.0
Canada,2021-09-05,37.0
Canada,2021-09-12,44.0
Canada,2021-09-19,42.0
Canada,2021-09-26,41.0
Canada,2021-10-03,38.0
Canada,2021-10-10,34.0
Canada,2021-10-17,33.0
Canada,2021-10-24,28.0
Canada,2021-10-31,28.0
Canada,2021-11-07,28.0
Canada,2021-11-14,27.0
Canada,2021-11-21,30.0
Canada,2021-11-28,34.0
Canada,2021-12-05,33.0
Canada,2021-12-12,66.0
Canada,2021-12-19,100.0
Canada,2021-12-26,87.0
Canada,2022-01-02,81.0
Canada,2022-01-09,56.0
Canada,2022-01-16,60.0
Canada,2022-01-23,35.0
Canada,2022-01-30,29.0
Canada,2022-02-06,27.0
Canada,2022-02-13,22.0
Canada,2022-02-20,18.0
Canada,2022-02-27,17.0
Canada,2022-03-06,17.0
Canada,2022-03-13,17.0
Canada,2022-03-20,17.0
Canada,2022-03-27,19.0
Canada,2022-04-03,22.0
Canada,2022-04-10,20.0
