Country,Date,new_cases
France,2020-01-26,0.0
France,2020-02-02,0.0
France,2020-02-09,0
France,2020-02-16,0
France,2020-02-23,2.0
France,2020-03-01,4.0
France,2020-03-08,11.0
France,2020-03-15,32.0
France,2020-03-22,34.0
France,2020-03-29,30.0
France,2020-04-05,30.0
France,2020-04-12,29.0
France,2020-04-19,26.0
France,2020-04-26,31.0
France,2020-05-03,29.0
France,2020-05-10,26.0
France,2020-05-17,21.0
France,2020-05-24,19.0
France,2020-05-31,17.0
France,2020-06-07,14.0
France,2020-06-14,15.0
France,2020-06-21,16.0
France,2020-06-28,14.0
France,2020-07-05,16.0
France,2020-07-12,21.0
France,2020-07-19,23.0
France,2020-07-26,21.0
France,2020-08-02,20.0
France,2020-08-09,21.0
France,2020-08-16,23.0
France,2020-08-23,27.0
France,2020-08-30,28.0
France,2020-09-06,37.0
France,2020-09-13,37.0
France,2020-09-20,37.0
France,2020-09-27,28.0
France,2020-10-04,32.0
France,2020-10-11,40.0
France,2020-10-18,48.0
France,2020-10-25,100.0
France,2020-11-01,80.0
France,2020-11-08,68.0
France,2020-11-15,55.0
France,2020-11-22,56.0
France,2020-11-29,52.0
France,2020-12-06,48.0
France,2020-12-13,40.0
France,2020-12-20,34.0
France,2020-12-27,33.0
France,2021-01-03,39.0
France,2021-01-10,50.0
France,2021-01-17,47.0
France,2021-01-24,47.0
France,2021-01-31,42.0
France,2021-02-07,36.0
France,2021-02-14,34.0
France,2021-02-21,39.0
France,2021-02-28,38.0
France,2021-03-07,36.0
France,2021-03-14,47.0
France,2021-03-21,52.0
France,2021-03-28,68.0
France,2021-04-04,55.0
France,2021-04-11,53.0
France,2021-04-18,46.0
France,2021-04-25,43.0
France,2021-05-02,39.0
France,2021-05-09,40.0
France,2021-05-16,36.0
France,2021-05-23,31.0
France,2021-05-30,34.0
France,2021-06-06,28.0
France,2021-06-13,24.0
France,2021-06-20,23.0
France,2021-06-27,25.0
France,2021-07-04,34.0
France,2021-07-11,64.0
France,2021-07-18,57.0
France,2021-07-25,48.0
France,2021-08-01,45.0
France,2021-08-08,41.0
France,2021-08-15,31.0
France,2021-08-22,27.0
France,2021-08-29,23.0
France,2021-09-05,19.0
France,2021-09-12,18.0
France,2021-09-19,16.0
France,2021-09-26,15.0
France,2021-10-03,14.0
France,2021-10-10,14.0
France,2021-10-17,14.0
France,2021-10-24,14.0
France,2021-10-31,15.0
France,2021-11-07,19.0
France,2021-11-14,23.0
France,2021-11-21,41.0
France,2021-11-28,45.0
France,2021-12-05,46.0
France,2021-12-12,46.0
France,2021-12-19,50.0
France,2021-12-26,65.0
France,2022-01-02,71.0
France,2022-01-09,54.0
France,2022-01-16,58.0
France,2022-01-23,43.0
France,2022-01-30,33.0
France,2022-02-06,25.0
France,2022-02-13,20.0
France,2022-02-20,16.0
France,2022-02-27,15.0
France,2022-03-06,15.0
France,2022-03-13,17.0
France,2022-03-20,19.0
France,2022-03-27,18.0
France,2022-04-03,17.0
France,2022-04-10,16.0
