Country,Date,new_cases
Mexico,2020-01-26,0.0
Mexico,2020-02-02,0.0
Mexico,2020-02-09,0
Mexico,2020-02-16,0
Mexico,2020-02-23,2.0
Mexico,2020-03-01,2.0
Mexico,2020-03-08,5.0
Mexico,2020-03-15,30.0
Mexico,2020-03-22,42.0
Mexico,2020-03-29,48.0
Mexico,2020-04-05,45.0
Mexico,2020-04-12,50.0
Mexico,2020-04-19,47.0
Mexico,2020-04-26,40.0
Mexico,2020-05-03,43.0
Mexico,2020-05-10,41.0
Mexico,2020-05-17,43.0
Mexico,2020-05-24,41.0
Mexico,2020-05-31,40.0
Mexico,2020-06-07,42.0
Mexico,2020-06-14,41.0
Mexico,2020-06-21,38.0
Mexico,2020-06-28,44.0
Mexico,2020-07-05,46.0
Mexico,2020-07-12,49.0
Mexico,2020-07-19,47.0
Mexico,2020-07-26,42.0
Mexico,2020-08-02,39.0
Mexico,2020-08-09,37.0
Mexico,2020-08-16,31.0
Mexico,2020-08-23,32.0
Mexico,2020-08-30,31.0
Mexico,2020-09-06,27.0
Mexico,2020-09-13,22.0
Mexico,2020-09-20,23.0
Mexico,2020-09-27,24.0
Mexico,2020-10-04,23.0
Mexico,2020-10-11,24.0
Mexico,2020-10-18,29.0
Mexico,2020-10-25,31.0
Mexico,2020-11-01,26.0
Mexico,2020-11-08,27.0
Mexico,2020-11-15,28.0
Mexico,2020-11-22,29.0
Mexico,2020-11-29,34.0
Mexico,2020-12-06,37.0
Mexico,2020-12-13,44.0
Mexico,2020-12-20,52.0
Mexico,2020-12-27,51.0
Mexico,2021-01-03,53.0
Mexico,2021-01-10,57.0
Mexico,2021-01-17,56.0
Mexico,2021-01-24,56.0
Mexico,2021-01-31,50.0
Mexico,2021-02-07,37.0
Mexico,2021-02-14,36.0
Mexico,2021-02-21,33.0
Mexico,2021-02-28,30.0
Mexico,2021-03-07,31.0
Mexico,2021-03-14,31.0
Mexico,2021-03-21,30.0
Mexico,2021-03-28,37.0
Mexico,2021-04-04,35.0
Mexico,2021-04-11,32.0
Mexico,2021-04-18,31.0
Mexico,2021-04-25,37.0
Mexico,2021-05-02,34.0
Mexico,2021-05-09,30.0
Mexico,2021-05-16,35.0
Mexico,2021-05-23,39.0
Mexico,2021-05-30,41.0
Mexico,2021-06-06,36.0
Mexico,2021-06-13,36.0
Mexico,2021-06-20,47.0
Mexico,2021-06-27,40.0
Mexico,2021-07-04,69.0
Mexico,2021-07-11,68.0
Mexico,2021-07-18,85.0
Mexico,2021-07-25,87.0
Mexico,2021-08-01,80.0
Mexico,2021-08-08,78.0
Mexico,2021-08-15,64.0
Mexico,2021-08-22,54.0
Mexico,2021-08-29,45.0
Mexico,2021-09-05,42.0
Mexico,2021-09-12,37.0
Mexico,2021-09-19,37.0
Mexico,2021-09-26,35.0
Mexico,2021-10-03,34.0
Mexico,2021-10-10,36.0
Mexico,2021-10-17,32.0
Mexico,2021-10-24,30.0
Mexico,2021-10-31,25.0
Mexico,2021-11-07,26.0
Mexico,2021-11-14,26.0
Mexico,2021-11-21,30.0
Mexico,2021-11-28,30.0
Mexico,2021-12-05,29.0
Mexico,2021-12-12,31.0
Mexico,2021-12-19,25.0
Mexico,2021-12-26,33.0
Mexico,2022-01-02,71.0
Mexico,2022-01-09,100.0
Mexico,2022-01-16,82.0
Mexico,2022-01-23,57.0
Mexico,2022-01-30,43.0
Mexico,2022-02-06,36.0
Mexico,2022-02-13,33.0
Mexico,2022-02-20,27.0
Mexico,2022-02-27,19.0
Mexico,2022-03-06,19.0
Mexico,2022-03-13,21.0
Mexico,2022-03-20,16.0
Mexico,2022-03-27,14.0
Mexico,2022-04-03,13.0
Mexico,2022-04-10,13.0
