Country,Date,new_cases
Singapore,2020-01-26,0.0
Singapore,2020-02-02,0.0
Singapore,2020-02-09,9.0
Singapore,2020-02-16,20.0
Singapore,2020-02-23,33.0
Singapore,2020-03-01,35.0
Singapore,2020-03-08,56.0
Singapore,2020-03-15,90.0
Singapore,2020-03-22,100.0
Singapore,2020-03-29,95.0
Singapore,2020-04-05,97.0
Singapore,2020-04-12,85.0
Singapore,2020-04-19,66.0
Singapore,2020-04-26,51.0
Singapore,2020-05-03,45.0
Singapore,2020-05-10,39.0
Singapore,2020-05-17,38.0
Singapore,2020-05-24,38.0
Singapore,2020-05-31,36.0
Singapore,2020-06-07,34.0
Singapore,2020-06-14,31.0
Singapore,2020-06-21,25.0
Singapore,2020-06-28,25.0
Singapore,2020-07-05,25.0
Singapore,2020-07-12,28.0
Singapore,2020-07-19,24.0
Singapore,2020-07-26,22.0
Singapore,2020-08-02,21.0
Singapore,2020-08-09,20.0
Singapore,2020-08-16,20.0
Singapore,2020-08-23,19.0
Singapore,2020-08-30,19.0
Singapore,2020-09-06,18.0
Singapore,2020-09-13,18.0
Singapore,2020-09-20,18.0
Singapore,2020-09-27,22.0
Singapore,2020-10-04,21.0
Singapore,2020-10-11,20.0
Singapore,2020-10-18,18.0
Singapore,2020-10-25,19.0
Singapore,2020-11-01,16.0
Singapore,2020-11-08,17.0
Singapore,2020-11-15,19.0
Singapore,2020-11-22,19.0
Singapore,2020-11-29,19.0
Singapore,2020-12-06,18.0
Singapore,2020-12-13,20.0
Singapore,2020-12-20,22.0
Singapore,2020-12-27,20.0
Singapore,2021-01-03,21.0
Singapore,2021-01-10,21.0
Singapore,2021-01-17,25.0
Singapore,2021-01-24,23.0
Singapore,2021-01-31,20.0
Singapore,2021-02-07,18.0
Singapore,2021-02-14,17.0
Singapore,2021-02-21,17.0
Singapore,2021-02-28,16.0
Singapore,2021-03-07,18.0
Singapore,2021-03-14,18.0
Singapore,2021-03-21,19.0
Singapore,2021-03-28,18.0
Singapore,2021-04-04,19.0
Singapore,2021-04-11,21.0
Singapore,2021-04-18,27.0
Singapore,2021-04-25,57.0
Singapore,2021-05-02,66.0
Singapore,2021-05-09,78.0
Singapore,2021-05-16,97.0
Singapore,2021-05-23,63.0
Singapore,2021-05-30,60.0
Singapore,2021-06-06,48.0
Singapore,2021-06-13,48.0
Singapore,2021-06-20,48.0
Singapore,2021-06-27,40.0
Singapore,2021-07-04,32.0
Singapore,2021-07-11,59.0
Singapore,2021-07-18,84.0
Singapore,2021-07-25,54.0
Singapore,2021-08-01,56.0
Singapore,2021-08-08,42.0
Singapore,2021-08-15,31.0
Singapore,2021-08-22,33.0
Singapore,2021-08-29,32.0
Singapore,2021-09-05,61.0
Singapore,2021-09-12,61.0
Singapore,2021-09-19,59.0
Singapore,2021-09-26,64.0
Singapore,2021-10-03,60.0
Singapore,2021-10-10,51.0
Singapore,2021-10-17,47.0
Singapore,2021-10-24,47.0
Singapore,2021-10-31,36.0
Singapore,2021-11-07,34.0
Singapore,2021-11-14,31.0
Singapore,2021-11-21,29.0
Singapore,2021-11-28,28.0
Singapore,2021-12-05,23.0
Singapore,2021-12-12,23.0
Singapore,2021-12-19,24.0
Singapore,2021-12-26,23.0
Singapore,2022-01-02,28.0
Singapore,2022-01-09,26.0
Singapore,2022-01-16,28.0
Singapore,2022-01-23,35.0
Singapore,2022-01-30,42.0
Singapore,2022-02-06,53.0
Singapore,2022-02-13,57.0
Singapore,2022-02-20,58.0
Singapore,2022-02-27,51.0
Singapore,2022-03-06,46.0
Singapore,2022-03-13,37.0
Singapore,2022-03-20,32.0
Singapore,2022-03-27,25.0
Singapore,2022-04-03,23.0
Singapore,2022-04-10,23.0
