Country,Date,search_index
World,2020-01-26,0
World,2020-02-02,0
World,2020-02-09,0
World,2020-02-16,1.0
World,2020-02-23,3.0
World,2020-03-01,7.0
World,2020-03-08,24.0
World,2020-03-15,63.0
World,2020-03-22,79.0
World,2020-03-29,75.0
World,2020-04-05,71.0
World,2020-04-12,63.0
World,2020-04-19,56.0
World,2020-04-26,56.0
World,2020-05-03,52.0
World,2020-05-10,52.0
World,2020-05-17,47.0
World,2020-05-24,44.0
World,2020-05-31,40.0
World,2020-06-07,40.0
World,2020-06-14,42.0
World,2020-06-21,47.0
World,2020-06-28,49.0
World,2020-07-05,51.0
World,2020-07-12,53.0
World,2020-07-19,49.0
World,2020-07-26,51.0
World,2020-08-02,47.0
World,2020-08-09,43.0
World,2020-08-16,44.0
World,2020-08-23,40.0
World,2020-08-30,40.0
World,2020-09-06,43.0
World,2020-09-13,42.0
World,2020-09-20,42.0
World,2020-09-27,44.0
World,2020-10-04,47.0
World,2020-10-11,47.0
World,2020-10-18,49.0
World,2020-10-25,56.0
World,2020-11-01,49.0
World,2020-11-08,56.0
World,2020-11-15,60.0
World,2020-11-22,52.0
World,2020-11-29,51.0
World,2020-12-06,54.0
World,2020-12-13,56.0
World,2020-12-20,58.0
World,2020-12-27,61.0
World,2021-01-03,64.0
World,2021-01-10,63.0
World,2021-01-17,59.0
World,2021-01-24,57.0
World,2021-01-31,54.0
World,2021-02-07,50.0
World,2021-02-14,47.0
World,2021-02-21,50.0
World,2021-02-28,56.0
World,2021-03-07,57.0
World,2021-03-14,58.0
World,2021-03-21,60.0
World,2021-03-28,64.0
World,2021-04-04,64.0
World,2021-04-11,63.0
World,2021-04-18,61.0
World,2021-04-25,68.0
World,2021-05-02,61.0
World,2021-05-09,60.0
World,2021-05-16,56.0
World,2021-05-23,54.0
World,2021-05-30,57.0
World,2021-06-06,49.0
World,2021-06-13,48.0
World,2021-06-20,56.0
World,2021-06-27,53.0
World,2021-07-04,54.0
World,2021-07-11,60.0
World,2021-07-18,65.0
World,2021-07-25,65.0
World,2021-08-01,70.0
World,2021-08-08,65.0
World,2021-08-15,64.0
World,2021-08-22,62.0
World,2021-08-29,60.0
World,2021-09-05,51.0
World,2021-09-12,51.0
World,2021-09-19,43.0
World,2021-09-26,43.0
World,2021-10-03,40.0
World,2021-10-10,39.0
World,2021-10-17,39.0
World,2021-10-24,37.0
World,2021-10-31,38.0
World,2021-11-07,39.0
World,2021-11-14,42.0
World,2021-11-21,47.0
World,2021-11-28,50.0
World,2021-12-05,47.0
World,2021-12-12,67.0
World,2021-12-19,75.0
World,2021-12-26,92.0
World,2022-01-02,100.0
World,2022-01-09,85.0
World,2022-01-16,91.0
World,2022-01-23,55.0
World,2022-01-30,45.0
World,2022-02-06,36.0
World,2022-02-13,32.0
World,2022-02-20,29.0
World,2022-02-27,25.0
World,2022-03-06,25.0
World,2022-03-13,26.0
World,2022-03-20,24.0
World,2022-03-27,22.0
World,2022-04-03,22.0
World,2022-04-10,20.0
