Category: All categories

Week,Education: (Netherlands)
2020-01-26,58
2020-02-02,52
2020-02-09,37
2020-02-16,28
2020-02-23,28
2020-03-01,24
2020-03-08,24
2020-03-15,21
2020-03-22,23
2020-03-29,21
2020-04-05,21
2020-04-12,22
2020-04-19,21
2020-04-26,20
2020-05-03,18
2020-05-10,19
2020-05-17,17
2020-05-24,17
2020-05-31,17
2020-06-07,19
2020-06-14,19
2020-06-21,16
2020-06-28,16
2020-07-05,16
2020-07-12,14
2020-07-19,15
2020-07-26,15
2020-08-02,13
2020-08-09,14
2020-08-16,14
2020-08-23,19
2020-08-30,19
2020-09-06,20
2020-09-13,21
2020-09-20,19
2020-09-27,22
2020-10-04,19
2020-10-11,17
2020-10-18,18
2020-10-25,17
2020-11-01,16
2020-11-08,19
2020-11-15,17
2020-11-22,17
2020-11-29,16
2020-12-06,18
2020-12-13,17
2020-12-20,13
2020-12-27,15
2021-01-03,19
2021-01-10,23
2021-01-17,28
2021-01-24,24
2021-01-31,21
2021-02-07,19
2021-02-14,20
2021-02-21,18
2021-02-28,18
2021-03-07,19
2021-03-14,16
2021-03-21,17
2021-03-28,17
2021-04-04,18
2021-04-11,17
2021-04-18,15
2021-04-25,17
2021-05-02,16
2021-05-09,16
2021-05-16,17
2021-05-23,15
2021-05-30,17
2021-06-06,16
2021-06-13,12
2021-06-20,16
2021-06-27,14
2021-07-04,12
2021-07-11,12
2021-07-18,12
2021-07-25,12
2021-08-01,11
2021-08-08,13
2021-08-15,13
2021-08-22,14
2021-08-29,16
2021-09-05,22
2021-09-12,50
2021-09-19,100
2021-09-26,59
2021-10-03,43
2021-10-10,33
2021-10-17,29
2021-10-24,28
2021-10-31,24
2021-11-07,24
2021-11-14,22
2021-11-21,23
2021-11-28,19
2021-12-05,20
2021-12-12,18
2021-12-19,14
2021-12-26,14
2022-01-02,18
2022-01-09,18
2022-01-16,18
2022-01-23,17
2022-01-30,17
2022-02-06,17
2022-02-13,20
2022-02-20,16
2022-02-27,14
2022-03-06,20
2022-03-13,17
2022-03-20,18
2022-03-27,20
2022-04-03,19
2022-04-10,18
