Category: All categories

Week,Education: (Saudi Arabia)
2020-01-26,35
2020-02-02,36
2020-02-09,34
2020-02-16,34
2020-02-23,32
2020-03-01,26
2020-03-08,35
2020-03-15,27
2020-03-22,29
2020-03-29,29
2020-04-05,28
2020-04-12,26
2020-04-19,26
2020-04-26,21
2020-05-03,23
2020-05-10,24
2020-05-17,23
2020-05-24,25
2020-05-31,30
2020-06-07,28
2020-06-14,29
2020-06-21,25
2020-06-28,22
2020-07-05,25
2020-07-12,21
2020-07-19,24
2020-07-26,22
2020-08-02,27
2020-08-09,30
2020-08-16,27
2020-08-23,26
2020-08-30,27
2020-09-06,23
2020-09-13,20
2020-09-20,22
2020-09-27,24
2020-10-04,24
2020-10-11,21
2020-10-18,20
2020-10-25,19
2020-11-01,19
2020-11-08,21
2020-11-15,22
2020-11-22,23
2020-11-29,20
2020-12-06,20
2020-12-13,20
2020-12-20,16
2020-12-27,16
2021-01-03,17
2021-01-10,22
2021-01-17,20
2021-01-24,21
2021-01-31,22
2021-02-07,20
2021-02-14,22
2021-02-21,17
2021-02-28,19
2021-03-07,18
2021-03-14,21
2021-03-21,26
2021-03-28,100
2021-04-04,70
2021-04-11,27
2021-04-18,17
2021-04-25,20
2021-05-02,18
2021-05-09,17
2021-05-16,21
2021-05-23,22
2021-05-30,19
2021-06-06,20
2021-06-13,17
2021-06-20,18
2021-06-27,22
2021-07-04,18
2021-07-11,19
2021-07-18,16
2021-07-25,18
2021-08-01,15
2021-08-08,17
2021-08-15,21
2021-08-22,19
2021-08-29,21
2021-09-05,20
2021-09-12,29
2021-09-19,37
2021-09-26,27
2021-10-03,25
2021-10-10,22
2021-10-17,27
2021-10-24,21
2021-10-31,23
2021-11-07,23
2021-11-14,22
2021-11-21,22
2021-11-28,24
2021-12-05,22
2021-12-12,19
2021-12-19,18
2021-12-26,16
2022-01-02,16
2022-01-09,21
2022-01-16,18
2022-01-23,21
2022-01-30,20
2022-02-06,17
2022-02-13,24
2022-02-20,20
2022-02-27,20
2022-03-06,19
2022-03-13,20
2022-03-20,20
2022-03-27,21
2022-04-03,22
2022-04-10,24
