Category: All categories

Week,Education: (Spain)
2020-01-26,55
2020-02-02,43
2020-02-09,34
2020-02-16,27
2020-02-23,25
2020-03-01,24
2020-03-08,23
2020-03-15,33
2020-03-22,31
2020-03-29,29
2020-04-05,24
2020-04-12,29
2020-04-19,25
2020-04-26,22
2020-05-03,21
2020-05-10,21
2020-05-17,19
2020-05-24,18
2020-05-31,17
2020-06-07,18
2020-06-14,14
2020-06-21,13
2020-06-28,12
2020-07-05,12
2020-07-12,13
2020-07-19,13
2020-07-26,11
2020-08-02,11
2020-08-09,11
2020-08-16,16
2020-08-23,14
2020-08-30,17
2020-09-06,16
2020-09-13,20
2020-09-20,23
2020-09-27,25
2020-10-04,22
2020-10-11,20
2020-10-18,19
2020-10-25,17
2020-11-01,19
2020-11-08,20
2020-11-15,19
2020-11-22,16
2020-11-29,15
2020-12-06,14
2020-12-13,14
2020-12-20,11
2020-12-27,11
2021-01-03,12
2021-01-10,20
2021-01-17,19
2021-01-24,19
2021-01-31,16
2021-02-07,17
2021-02-14,16
2021-02-21,16
2021-02-28,17
2021-03-07,16
2021-03-14,14
2021-03-21,16
2021-03-28,12
2021-04-04,15
2021-04-11,16
2021-04-18,15
2021-04-25,14
2021-05-02,16
2021-05-09,14
2021-05-16,14
2021-05-23,14
2021-05-30,14
2021-06-06,14
2021-06-13,14
2021-06-20,11
2021-06-27,11
2021-07-04,10
2021-07-11,10
2021-07-18,11
2021-07-25,10
2021-08-01,8
2021-08-08,9
2021-08-15,10
2021-08-22,12
2021-08-29,13
2021-09-05,17
2021-09-12,51
2021-09-19,100
2021-09-26,57
2021-10-03,44
2021-10-10,36
2021-10-17,33
2021-10-24,28
2021-10-31,23
2021-11-07,26
2021-11-14,23
2021-11-21,21
2021-11-28,19
2021-12-05,17
2021-12-12,17
2021-12-19,14
2021-12-26,14
2022-01-02,13
2022-01-09,24
2022-01-16,22
2022-01-23,21
2022-01-30,22
2022-02-06,23
2022-02-13,18
2022-02-20,18
2022-02-27,17
2022-03-06,18
2022-03-13,18
2022-03-20,21
2022-03-27,22
2022-04-03,18
2022-04-10,12
