Country,Date,search_index
Brazil,2020-01-26,58.0
Brazil,2020-02-02,34.0
Brazil,2020-02-09,23.0
Brazil,2020-02-16,19.0
Brazil,2020-02-23,19.0
Brazil,2020-03-01,14.0
Brazil,2020-03-08,13.0
Brazil,2020-03-15,17.0
Brazil,2020-03-22,21.0
Brazil,2020-03-29,19.0
Brazil,2020-04-05,16.0
Brazil,2020-04-12,17.0
Brazil,2020-04-19,15.0
Brazil,2020-04-26,15.0
Brazil,2020-05-03,17.0
Brazil,2020-05-10,15.0
Brazil,2020-05-17,13.0
Brazil,2020-05-24,14.0
Brazil,2020-05-31,12.0
Brazil,2020-06-07,13.0
Brazil,2020-06-14,12.0
Brazil,2020-06-21,13.0
Brazil,2020-06-28,13.0
Brazil,2020-07-05,12.0
Brazil,2020-07-12,12.0
Brazil,2020-07-19,11.0
Brazil,2020-07-26,11.0
Brazil,2020-08-02,11.0
Brazil,2020-08-09,10.0
Brazil,2020-08-16,11.0
Brazil,2020-08-23,11.0
Brazil,2020-08-30,11.0
Brazil,2020-09-06,10.0
Brazil,2020-09-13,11.0
Brazil,2020-09-20,12.0
Brazil,2020-09-27,10.0
Brazil,2020-10-04,9.0
Brazil,2020-10-11,9.0
Brazil,2020-10-18,9.0
Brazil,2020-10-25,9.0
Brazil,2020-11-01,9.0
Brazil,2020-11-08,9.0
Brazil,2020-11-15,7.0
Brazil,2020-11-22,8.0
Brazil,2020-11-29,8.0
Brazil,2020-12-06,8.0
Brazil,2020-12-13,7.0
Brazil,2020-12-20,6.0
Brazil,2020-12-27,8.0
Brazil,2021-01-03,15.0
Brazil,2021-01-10,11.0
Brazil,2021-01-17,12.0
Brazil,2021-01-24,11.0
Brazil,2021-01-31,10.0
Brazil,2021-02-07,11.0
Brazil,2021-02-14,10.0
Brazil,2021-02-21,10.0
Brazil,2021-02-28,10.0
Brazil,2021-03-07,10.0
Brazil,2021-03-14,10.0
Brazil,2021-03-21,11.0
Brazil,2021-03-28,9.0
Brazil,2021-04-04,10.0
Brazil,2021-04-11,10.0
Brazil,2021-04-18,10.0
Brazil,2021-04-25,10.0
Brazil,2021-05-02,9.0
Brazil,2021-05-09,9.0
Brazil,2021-05-16,9.0
Brazil,2021-05-23,9.0
Brazil,2021-05-30,10.0
Brazil,2021-06-06,10.0
Brazil,2021-06-13,9.0
Brazil,2021-06-20,11.0
Brazil,2021-06-27,9.0
Brazil,2021-07-04,8.0
Brazil,2021-07-11,9.0
Brazil,2021-07-18,9.0
Brazil,2021-07-25,8.0
Brazil,2021-08-01,7.0
Brazil,2021-08-08,8.0
Brazil,2021-08-15,9.0
Brazil,2021-08-22,9.0
Brazil,2021-08-29,10.0
Brazil,2021-09-05,12.0
Brazil,2021-09-12,48.0
Brazil,2021-09-19,100.0
Brazil,2021-09-26,47.0
Brazil,2021-10-03,28.0
Brazil,2021-10-10,22.0
Brazil,2021-10-17,15.0
Brazil,2021-10-24,13.0
Brazil,2021-10-31,11.0
Brazil,2021-11-07,11.0
Brazil,2021-11-14,10.0
Brazil,2021-11-21,8.0
Brazil,2021-11-28,9.0
Brazil,2021-12-05,9.0
Brazil,2021-12-12,9.0
Brazil,2021-12-19,7.0
Brazil,2021-12-26,8.0
Brazil,2022-01-02,9.0
Brazil,2022-01-09,8.0
Brazil,2022-01-16,8.0
Brazil,2022-01-23,9.0
Brazil,2022-01-30,9.0
Brazil,2022-02-06,8.0
Brazil,2022-02-13,8.0
Brazil,2022-02-20,8.0
Brazil,2022-02-27,8.0
Brazil,2022-03-06,8.0
Brazil,2022-03-13,8.0
Brazil,2022-03-20,8.0
Brazil,2022-03-27,9.0
Brazil,2022-04-03,8.0
Brazil,2022-04-10,9.0
