Country,Date,search_index
Canada,2020-01-26,90.0
Canada,2020-02-02,88.0
Canada,2020-02-09,80.0
Canada,2020-02-16,75.0
Canada,2020-02-23,79.0
Canada,2020-03-01,76.0
Canada,2020-03-08,72.0
Canada,2020-03-15,72.0
Canada,2020-03-22,67.0
Canada,2020-03-29,73.0
Canada,2020-04-05,63.0
Canada,2020-04-12,59.0
Canada,2020-04-19,61.0
Canada,2020-04-26,72.0
Canada,2020-05-03,68.0
Canada,2020-05-10,67.0
Canada,2020-05-17,63.0
Canada,2020-05-24,60.0
Canada,2020-05-31,63.0
Canada,2020-06-07,63.0
Canada,2020-06-14,65.0
Canada,2020-06-21,62.0
Canada,2020-06-28,53.0
Canada,2020-07-05,56.0
Canada,2020-07-12,57.0
Canada,2020-07-19,59.0
Canada,2020-07-26,65.0
Canada,2020-08-02,59.0
Canada,2020-08-09,64.0
Canada,2020-08-16,64.0
Canada,2020-08-23,65.0
Canada,2020-08-30,70.0
Canada,2020-09-06,66.0
Canada,2020-09-13,72.0
Canada,2020-09-20,72.0
Canada,2020-09-27,68.0
Canada,2020-10-04,66.0
Canada,2020-10-11,59.0
Canada,2020-10-18,62.0
Canada,2020-10-25,57.0
Canada,2020-11-01,54.0
Canada,2020-11-08,59.0
Canada,2020-11-15,59.0
Canada,2020-11-22,58.0
Canada,2020-11-29,62.0
Canada,2020-12-06,57.0
Canada,2020-12-13,54.0
Canada,2020-12-20,34.0
Canada,2020-12-27,37.0
Canada,2021-01-03,63.0
Canada,2021-01-10,65.0
Canada,2021-01-17,67.0
Canada,2021-01-24,60.0
Canada,2021-01-31,65.0
Canada,2021-02-07,57.0
Canada,2021-02-14,58.0
Canada,2021-02-21,61.0
Canada,2021-02-28,58.0
Canada,2021-03-07,58.0
Canada,2021-03-14,55.0
Canada,2021-03-21,55.0
Canada,2021-03-28,56.0
Canada,2021-04-04,55.0
Canada,2021-04-11,54.0
Canada,2021-04-18,58.0
Canada,2021-04-25,55.0
Canada,2021-05-02,57.0
Canada,2021-05-09,56.0
Canada,2021-05-16,51.0
Canada,2021-05-23,52.0
Canada,2021-05-30,52.0
Canada,2021-06-06,50.0
Canada,2021-06-13,52.0
Canada,2021-06-20,48.0
Canada,2021-06-27,38.0
Canada,2021-07-04,45.0
Canada,2021-07-11,40.0
Canada,2021-07-18,41.0
Canada,2021-07-25,41.0
Canada,2021-08-01,39.0
Canada,2021-08-08,42.0
Canada,2021-08-15,47.0
Canada,2021-08-22,50.0
Canada,2021-08-29,55.0
Canada,2021-09-05,60.0
Canada,2021-09-12,76.0
Canada,2021-09-19,100.0
Canada,2021-09-26,81.0
Canada,2021-10-03,71.0
Canada,2021-10-10,67.0
Canada,2021-10-17,67.0
Canada,2021-10-24,60.0
Canada,2021-10-31,62.0
Canada,2021-11-07,60.0
Canada,2021-11-14,61.0
Canada,2021-11-21,59.0
Canada,2021-11-28,61.0
Canada,2021-12-05,57.0
Canada,2021-12-12,52.0
Canada,2021-12-19,33.0
Canada,2021-12-26,35.0
Canada,2022-01-02,57.0
Canada,2022-01-09,61.0
Canada,2022-01-16,60.0
Canada,2022-01-23,62.0
Canada,2022-01-30,61.0
Canada,2022-02-06,59.0
Canada,2022-02-13,56.0
Canada,2022-02-20,53.0
Canada,2022-02-27,56.0
Canada,2022-03-06,57.0
Canada,2022-03-13,51.0
Canada,2022-03-20,54.0
Canada,2022-03-27,52.0
Canada,2022-04-03,57.0
Canada,2022-04-10,50.0
