Country,Date,search_index
China HongKong,2020-01-26,95.0
China HongKong,2020-02-02,78.0
China HongKong,2020-02-09,81.0
China HongKong,2020-02-16,78.0
China HongKong,2020-02-23,80.0
China HongKong,2020-03-01,73.0
China HongKong,2020-03-08,70.0
China HongKong,2020-03-15,77.0
China HongKong,2020-03-22,77.0
China HongKong,2020-03-29,68.0
China HongKong,2020-04-05,76.0
China HongKong,2020-04-12,70.0
China HongKong,2020-04-19,72.0
China HongKong,2020-04-26,77.0
China HongKong,2020-05-03,75.0
China HongKong,2020-05-10,77.0
China HongKong,2020-05-17,92.0
China HongKong,2020-05-24,77.0
China HongKong,2020-05-31,79.0
China HongKong,2020-06-07,83.0
China HongKong,2020-06-14,80.0
China HongKong,2020-06-21,70.0
China HongKong,2020-06-28,76.0
China HongKong,2020-07-05,87.0
China HongKong,2020-07-12,81.0
China HongKong,2020-07-19,80.0
China HongKong,2020-07-26,77.0
China HongKong,2020-08-02,72.0
China HongKong,2020-08-09,74.0
China HongKong,2020-08-16,74.0
China HongKong,2020-08-23,86.0
China HongKong,2020-08-30,86.0
China HongKong,2020-09-06,81.0
China HongKong,2020-09-13,85.0
China HongKong,2020-09-20,75.0
China HongKong,2020-09-27,70.0
China HongKong,2020-10-04,84.0
China HongKong,2020-10-11,74.0
China HongKong,2020-10-18,79.0
China HongKong,2020-10-25,67.0
China HongKong,2020-11-01,63.0
China HongKong,2020-11-08,76.0
China HongKong,2020-11-15,70.0
China HongKong,2020-11-22,71.0
China HongKong,2020-11-29,74.0
China HongKong,2020-12-06,68.0
China HongKong,2020-12-13,60.0
China HongKong,2020-12-20,43.0
China HongKong,2020-12-27,50.0
China HongKong,2021-01-03,59.0
China HongKong,2021-01-10,52.0
China HongKong,2021-01-17,65.0
China HongKong,2021-01-24,57.0
China HongKong,2021-01-31,58.0
China HongKong,2021-02-07,53.0
China HongKong,2021-02-14,56.0
China HongKong,2021-02-21,62.0
China HongKong,2021-02-28,60.0
China HongKong,2021-03-07,68.0
China HongKong,2021-03-14,55.0
China HongKong,2021-03-21,61.0
China HongKong,2021-03-28,66.0
China HongKong,2021-04-04,59.0
China HongKong,2021-04-11,64.0
China HongKong,2021-04-18,68.0
China HongKong,2021-04-25,64.0
China HongKong,2021-05-02,65.0
China HongKong,2021-05-09,66.0
China HongKong,2021-05-16,60.0
China HongKong,2021-05-23,61.0
China HongKong,2021-05-30,67.0
China HongKong,2021-06-06,64.0
China HongKong,2021-06-13,60.0
China HongKong,2021-06-20,64.0
China HongKong,2021-06-27,66.0
China HongKong,2021-07-04,68.0
China HongKong,2021-07-11,69.0
China HongKong,2021-07-18,66.0
China HongKong,2021-07-25,67.0
China HongKong,2021-08-01,61.0
China HongKong,2021-08-08,61.0
China HongKong,2021-08-15,65.0
China HongKong,2021-08-22,65.0
China HongKong,2021-08-29,65.0
China HongKong,2021-09-05,71.0
China HongKong,2021-09-12,91.0
China HongKong,2021-09-19,100.0
China HongKong,2021-09-26,75.0
China HongKong,2021-10-03,85.0
China HongKong,2021-10-10,84.0
China HongKong,2021-10-17,84.0
China HongKong,2021-10-24,77.0
China HongKong,2021-10-31,68.0
China HongKong,2021-11-07,76.0
China HongKong,2021-11-14,64.0
China HongKong,2021-11-21,74.0
China HongKong,2021-11-28,75.0
China HongKong,2021-12-05,60.0
China HongKong,2021-12-12,64.0
China HongKong,2021-12-19,45.0
China HongKong,2021-12-26,51.0
China HongKong,2022-01-02,67.0
China HongKong,2022-01-09,68.0
China HongKong,2022-01-16,64.0
China HongKong,2022-01-23,50.0
China HongKong,2022-01-30,47.0
China HongKong,2022-02-06,51.0
China HongKong,2022-02-13,55.0
China HongKong,2022-02-20,49.0
China HongKong,2022-02-27,50.0
China HongKong,2022-03-06,54.0
China HongKong,2022-03-13,55.0
China HongKong,2022-03-20,51.0
China HongKong,2022-03-27,56.0
China HongKong,2022-04-03,53.0
China HongKong,2022-04-10,58.0
