Country,Date,search_index
France,2020-01-26,65.0
France,2020-02-02,49.0
France,2020-02-09,42.0
France,2020-02-16,36.0
France,2020-02-23,36.0
France,2020-03-01,41.0
France,2020-03-08,49.0
France,2020-03-15,53.0
France,2020-03-22,42.0
France,2020-03-29,50.0
France,2020-04-05,34.0
France,2020-04-12,34.0
France,2020-04-19,34.0
France,2020-04-26,36.0
France,2020-05-03,37.0
France,2020-05-10,31.0
France,2020-05-17,28.0
France,2020-05-24,34.0
France,2020-05-31,27.0
France,2020-06-07,31.0
France,2020-06-14,41.0
France,2020-06-21,31.0
France,2020-06-28,33.0
France,2020-07-05,40.0
France,2020-07-12,22.0
France,2020-07-19,23.0
France,2020-07-26,20.0
France,2020-08-02,18.0
France,2020-08-09,20.0
France,2020-08-16,25.0
France,2020-08-23,36.0
France,2020-08-30,40.0
France,2020-09-06,37.0
France,2020-09-13,39.0
France,2020-09-20,35.0
France,2020-09-27,33.0
France,2020-10-04,29.0
France,2020-10-11,34.0
France,2020-10-18,26.0
France,2020-10-25,42.0
France,2020-11-01,34.0
France,2020-11-08,31.0
France,2020-11-15,30.0
France,2020-11-22,28.0
France,2020-11-29,24.0
France,2020-12-06,26.0
France,2020-12-13,24.0
France,2020-12-20,15.0
France,2020-12-27,18.0
France,2021-01-03,30.0
France,2021-01-10,31.0
France,2021-01-17,33.0
France,2021-01-24,34.0
France,2021-01-31,30.0
France,2021-02-07,29.0
France,2021-02-14,25.0
France,2021-02-21,25.0
France,2021-02-28,27.0
France,2021-03-07,29.0
France,2021-03-14,29.0
France,2021-03-21,29.0
France,2021-03-28,31.0
France,2021-04-04,29.0
France,2021-04-11,21.0
France,2021-04-18,23.0
France,2021-04-25,29.0
France,2021-05-02,28.0
France,2021-05-09,22.0
France,2021-05-16,27.0
France,2021-05-23,27.0
France,2021-05-30,24.0
France,2021-06-06,25.0
France,2021-06-13,28.0
France,2021-06-20,27.0
France,2021-06-27,26.0
France,2021-07-04,37.0
France,2021-07-11,20.0
France,2021-07-18,19.0
France,2021-07-25,19.0
France,2021-08-01,14.0
France,2021-08-08,15.0
France,2021-08-15,20.0
France,2021-08-22,26.0
France,2021-08-29,33.0
France,2021-09-05,38.0
France,2021-09-12,61.0
France,2021-09-19,100.0
France,2021-09-26,62.0
France,2021-10-03,48.0
France,2021-10-10,43.0
France,2021-10-17,38.0
France,2021-10-24,29.0
France,2021-10-31,26.0
France,2021-11-07,30.0
France,2021-11-14,32.0
France,2021-11-21,32.0
France,2021-11-28,30.0
France,2021-12-05,29.0
France,2021-12-12,27.0
France,2021-12-19,21.0
France,2021-12-26,22.0
France,2022-01-02,38.0
France,2022-01-09,43.0
France,2022-01-16,37.0
France,2022-01-23,36.0
France,2022-01-30,31.0
France,2022-02-06,27.0
France,2022-02-13,27.0
France,2022-02-20,26.0
France,2022-02-27,25.0
France,2022-03-06,31.0
France,2022-03-13,32.0
France,2022-03-20,31.0
France,2022-03-27,31.0
France,2022-04-03,29.0
France,2022-04-10,25.0
