Country,Date,search_index
Italy,2020-01-26,56.0
Italy,2020-02-02,34.0
Italy,2020-02-09,28.0
Italy,2020-02-16,24.0
Italy,2020-02-23,23.0
Italy,2020-03-01,31.0
Italy,2020-03-08,53.0
Italy,2020-03-15,45.0
Italy,2020-03-22,45.0
Italy,2020-03-29,44.0
Italy,2020-04-05,37.0
Italy,2020-04-12,39.0
Italy,2020-04-19,39.0
Italy,2020-04-26,32.0
Italy,2020-05-03,33.0
Italy,2020-05-10,28.0
Italy,2020-05-17,26.0
Italy,2020-05-24,23.0
Italy,2020-05-31,18.0
Italy,2020-06-07,16.0
Italy,2020-06-14,13.0
Italy,2020-06-21,12.0
Italy,2020-06-28,10.0
Italy,2020-07-05,10.0
Italy,2020-07-12,11.0
Italy,2020-07-19,10.0
Italy,2020-07-26,9.0
Italy,2020-08-02,9.0
Italy,2020-08-09,9.0
Italy,2020-08-16,10.0
Italy,2020-08-23,11.0
Italy,2020-08-30,14.0
Italy,2020-09-06,17.0
Italy,2020-09-13,16.0
Italy,2020-09-20,19.0
Italy,2020-09-27,19.0
Italy,2020-10-04,18.0
Italy,2020-10-11,21.0
Italy,2020-10-18,19.0
Italy,2020-10-25,21.0
Italy,2020-11-01,18.0
Italy,2020-11-08,21.0
Italy,2020-11-15,20.0
Italy,2020-11-22,16.0
Italy,2020-11-29,16.0
Italy,2020-12-06,15.0
Italy,2020-12-13,14.0
Italy,2020-12-20,12.0
Italy,2020-12-27,11.0
Italy,2021-01-03,17.0
Italy,2021-01-10,17.0
Italy,2021-01-17,17.0
Italy,2021-01-24,16.0
Italy,2021-01-31,15.0
Italy,2021-02-07,15.0
Italy,2021-02-14,14.0
Italy,2021-02-21,14.0
Italy,2021-02-28,15.0
Italy,2021-03-07,15.0
Italy,2021-03-14,16.0
Italy,2021-03-21,16.0
Italy,2021-03-28,14.0
Italy,2021-04-04,15.0
Italy,2021-04-11,16.0
Italy,2021-04-18,14.0
Italy,2021-04-25,13.0
Italy,2021-05-02,12.0
Italy,2021-05-09,12.0
Italy,2021-05-16,10.0
Italy,2021-05-23,11.0
Italy,2021-05-30,10.0
Italy,2021-06-06,9.0
Italy,2021-06-13,9.0
Italy,2021-06-20,11.0
Italy,2021-06-27,9.0
Italy,2021-07-04,8.0
Italy,2021-07-11,8.0
Italy,2021-07-18,9.0
Italy,2021-07-25,9.0
Italy,2021-08-01,7.0
Italy,2021-08-08,8.0
Italy,2021-08-15,8.0
Italy,2021-08-22,12.0
Italy,2021-08-29,14.0
Italy,2021-09-05,19.0
Italy,2021-09-12,61.0
Italy,2021-09-19,100.0
Italy,2021-09-26,56.0
Italy,2021-10-03,35.0
Italy,2021-10-10,27.0
Italy,2021-10-17,23.0
Italy,2021-10-24,18.0
Italy,2021-10-31,18.0
Italy,2021-11-07,17.0
Italy,2021-11-14,17.0
Italy,2021-11-21,15.0
Italy,2021-11-28,14.0
Italy,2021-12-05,14.0
Italy,2021-12-12,14.0
Italy,2021-12-19,11.0
Italy,2021-12-26,12.0
Italy,2022-01-02,15.0
Italy,2022-01-09,15.0
Italy,2022-01-16,15.0
Italy,2022-01-23,17.0
Italy,2022-01-30,12.0
Italy,2022-02-06,13.0
Italy,2022-02-13,15.0
Italy,2022-02-20,13.0
Italy,2022-02-27,13.0
Italy,2022-03-06,13.0
Italy,2022-03-13,13.0
Italy,2022-03-20,16.0
Italy,2022-03-27,15.0
Italy,2022-04-03,14.0
Italy,2022-04-10,13.0
