Country,Date,search_index
Poland,2020-01-26,78.0
Poland,2020-02-02,49.0
Poland,2020-02-09,35.0
Poland,2020-02-16,33.0
Poland,2020-02-23,27.0
Poland,2020-03-01,21.0
Poland,2020-03-08,22.0
Poland,2020-03-15,31.0
Poland,2020-03-22,30.0
Poland,2020-03-29,27.0
Poland,2020-04-05,23.0
Poland,2020-04-12,21.0
Poland,2020-04-19,22.0
Poland,2020-04-26,19.0
Poland,2020-05-03,16.0
Poland,2020-05-10,15.0
Poland,2020-05-17,15.0
Poland,2020-05-24,15.0
Poland,2020-05-31,13.0
Poland,2020-06-07,13.0
Poland,2020-06-14,13.0
Poland,2020-06-21,13.0
Poland,2020-06-28,11.0
Poland,2020-07-05,11.0
Poland,2020-07-12,10.0
Poland,2020-07-19,11.0
Poland,2020-07-26,11.0
Poland,2020-08-02,12.0
Poland,2020-08-09,13.0
Poland,2020-08-16,12.0
Poland,2020-08-23,12.0
Poland,2020-08-30,13.0
Poland,2020-09-06,15.0
Poland,2020-09-13,16.0
Poland,2020-09-20,15.0
Poland,2020-09-27,13.0
Poland,2020-10-04,15.0
Poland,2020-10-11,14.0
Poland,2020-10-18,15.0
Poland,2020-10-25,13.0
Poland,2020-11-01,14.0
Poland,2020-11-08,12.0
Poland,2020-11-15,15.0
Poland,2020-11-22,13.0
Poland,2020-11-29,15.0
Poland,2020-12-06,12.0
Poland,2020-12-13,13.0
Poland,2020-12-20,11.0
Poland,2020-12-27,14.0
Poland,2021-01-03,16.0
Poland,2021-01-10,16.0
Poland,2021-01-17,16.0
Poland,2021-01-24,15.0
Poland,2021-01-31,14.0
Poland,2021-02-07,15.0
Poland,2021-02-14,14.0
Poland,2021-02-21,13.0
Poland,2021-02-28,13.0
Poland,2021-03-07,14.0
Poland,2021-03-14,14.0
Poland,2021-03-21,13.0
Poland,2021-03-28,12.0
Poland,2021-04-04,12.0
Poland,2021-04-11,13.0
Poland,2021-04-18,14.0
Poland,2021-04-25,13.0
Poland,2021-05-02,14.0
Poland,2021-05-09,14.0
Poland,2021-05-16,13.0
Poland,2021-05-23,11.0
Poland,2021-05-30,11.0
Poland,2021-06-06,13.0
Poland,2021-06-13,10.0
Poland,2021-06-20,11.0
Poland,2021-06-27,11.0
Poland,2021-07-04,9.0
Poland,2021-07-11,9.0
Poland,2021-07-18,11.0
Poland,2021-07-25,9.0
Poland,2021-08-01,7.0
Poland,2021-08-08,8.0
Poland,2021-08-15,12.0
Poland,2021-08-22,11.0
Poland,2021-08-29,17.0
Poland,2021-09-05,21.0
Poland,2021-09-12,58.0
Poland,2021-09-19,100.0
Poland,2021-09-26,47.0
Poland,2021-10-03,34.0
Poland,2021-10-10,28.0
Poland,2021-10-17,24.0
Poland,2021-10-24,21.0
Poland,2021-10-31,23.0
Poland,2021-11-07,20.0
Poland,2021-11-14,21.0
Poland,2021-11-21,16.0
Poland,2021-11-28,19.0
Poland,2021-12-05,18.0
Poland,2021-12-12,15.0
Poland,2021-12-19,16.0
Poland,2021-12-26,12.0
Poland,2022-01-02,14.0
Poland,2022-01-09,17.0
Poland,2022-01-16,18.0
Poland,2022-01-23,16.0
Poland,2022-01-30,17.0
Poland,2022-02-06,16.0
Poland,2022-02-13,14.0
Poland,2022-02-20,15.0
Poland,2022-02-27,16.0
Poland,2022-03-06,15.0
Poland,2022-03-13,15.0
Poland,2022-03-20,15.0
Poland,2022-03-27,18.0
Poland,2022-04-03,17.0
Poland,2022-04-10,13.0
