Country,Date,search_index
Turkey,2020-01-26,98.0
Turkey,2020-02-02,64.0
Turkey,2020-02-09,54.0
Turkey,2020-02-16,48.0
Turkey,2020-02-23,40.0
Turkey,2020-03-01,43.0
Turkey,2020-03-08,34.0
Turkey,2020-03-15,46.0
Turkey,2020-03-22,55.0
Turkey,2020-03-29,50.0
Turkey,2020-04-05,45.0
Turkey,2020-04-12,40.0
Turkey,2020-04-19,37.0
Turkey,2020-04-26,42.0
Turkey,2020-05-03,38.0
Turkey,2020-05-10,33.0
Turkey,2020-05-17,35.0
Turkey,2020-05-24,32.0
Turkey,2020-05-31,32.0
Turkey,2020-06-07,28.0
Turkey,2020-06-14,25.0
Turkey,2020-06-21,29.0
Turkey,2020-06-28,26.0
Turkey,2020-07-05,25.0
Turkey,2020-07-12,22.0
Turkey,2020-07-19,23.0
Turkey,2020-07-26,22.0
Turkey,2020-08-02,25.0
Turkey,2020-08-09,24.0
Turkey,2020-08-16,27.0
Turkey,2020-08-23,25.0
Turkey,2020-08-30,27.0
Turkey,2020-09-06,31.0
Turkey,2020-09-13,26.0
Turkey,2020-09-20,28.0
Turkey,2020-09-27,27.0
Turkey,2020-10-04,29.0
Turkey,2020-10-11,26.0
Turkey,2020-10-18,26.0
Turkey,2020-10-25,24.0
Turkey,2020-11-01,26.0
Turkey,2020-11-08,23.0
Turkey,2020-11-15,25.0
Turkey,2020-11-22,26.0
Turkey,2020-11-29,31.0
Turkey,2020-12-06,30.0
Turkey,2020-12-13,28.0
Turkey,2020-12-20,25.0
Turkey,2020-12-27,25.0
Turkey,2021-01-03,26.0
Turkey,2021-01-10,27.0
Turkey,2021-01-17,31.0
Turkey,2021-01-24,26.0
Turkey,2021-01-31,27.0
Turkey,2021-02-07,28.0
Turkey,2021-02-14,26.0
Turkey,2021-02-21,24.0
Turkey,2021-02-28,24.0
Turkey,2021-03-07,23.0
Turkey,2021-03-14,24.0
Turkey,2021-03-21,25.0
Turkey,2021-03-28,27.0
Turkey,2021-04-04,24.0
Turkey,2021-04-11,24.0
Turkey,2021-04-18,23.0
Turkey,2021-04-25,23.0
Turkey,2021-05-02,26.0
Turkey,2021-05-09,24.0
Turkey,2021-05-16,27.0
Turkey,2021-05-23,27.0
Turkey,2021-05-30,29.0
Turkey,2021-06-06,23.0
Turkey,2021-06-13,21.0
Turkey,2021-06-20,21.0
Turkey,2021-06-27,21.0
Turkey,2021-07-04,19.0
Turkey,2021-07-11,16.0
Turkey,2021-07-18,19.0
Turkey,2021-07-25,19.0
Turkey,2021-08-01,17.0
Turkey,2021-08-08,17.0
Turkey,2021-08-15,22.0
Turkey,2021-08-22,23.0
Turkey,2021-08-29,23.0
Turkey,2021-09-05,26.0
Turkey,2021-09-12,62.0
Turkey,2021-09-19,100.0
Turkey,2021-09-26,67.0
Turkey,2021-10-03,55.0
Turkey,2021-10-10,47.0
Turkey,2021-10-17,40.0
Turkey,2021-10-24,35.0
Turkey,2021-10-31,35.0
Turkey,2021-11-07,34.0
Turkey,2021-11-14,30.0
Turkey,2021-11-21,26.0
Turkey,2021-11-28,26.0
Turkey,2021-12-05,26.0
Turkey,2021-12-12,23.0
Turkey,2021-12-19,21.0
Turkey,2021-12-26,23.0
Turkey,2022-01-02,25.0
Turkey,2022-01-09,30.0
Turkey,2022-01-16,23.0
Turkey,2022-01-23,24.0
Turkey,2022-01-30,21.0
Turkey,2022-02-06,21.0
Turkey,2022-02-13,21.0
Turkey,2022-02-20,20.0
Turkey,2022-02-27,20.0
Turkey,2022-03-06,19.0
Turkey,2022-03-13,21.0
Turkey,2022-03-20,21.0
Turkey,2022-03-27,23.0
Turkey,2022-04-03,22.0
Turkey,2022-04-10,22.0
