Country,Date,search_index
United Arab Emirates,2020-01-26,89.0
United Arab Emirates,2020-02-02,91.0
United Arab Emirates,2020-02-09,83.0
United Arab Emirates,2020-02-16,83.0
United Arab Emirates,2020-02-23,88.0
United Arab Emirates,2020-03-01,100.0
United Arab Emirates,2020-03-08,75.0
United Arab Emirates,2020-03-15,69.0
United Arab Emirates,2020-03-22,78.0
United Arab Emirates,2020-03-29,84.0
United Arab Emirates,2020-04-05,70.0
United Arab Emirates,2020-04-12,70.0
United Arab Emirates,2020-04-19,72.0
United Arab Emirates,2020-04-26,74.0
United Arab Emirates,2020-05-03,69.0
United Arab Emirates,2020-05-10,74.0
United Arab Emirates,2020-05-17,73.0
United Arab Emirates,2020-05-24,67.0
United Arab Emirates,2020-05-31,78.0
United Arab Emirates,2020-06-07,85.0
United Arab Emirates,2020-06-14,73.0
United Arab Emirates,2020-06-21,76.0
United Arab Emirates,2020-06-28,70.0
United Arab Emirates,2020-07-05,70.0
United Arab Emirates,2020-07-12,73.0
United Arab Emirates,2020-07-19,67.0
United Arab Emirates,2020-07-26,73.0
United Arab Emirates,2020-08-02,63.0
United Arab Emirates,2020-08-09,68.0
United Arab Emirates,2020-08-16,64.0
United Arab Emirates,2020-08-23,80.0
United Arab Emirates,2020-08-30,85.0
United Arab Emirates,2020-09-06,86.0
United Arab Emirates,2020-09-13,86.0
United Arab Emirates,2020-09-20,78.0
United Arab Emirates,2020-09-27,77.0
United Arab Emirates,2020-10-04,76.0
United Arab Emirates,2020-10-11,69.0
United Arab Emirates,2020-10-18,70.0
United Arab Emirates,2020-10-25,67.0
United Arab Emirates,2020-11-01,67.0
United Arab Emirates,2020-11-08,67.0
United Arab Emirates,2020-11-15,70.0
United Arab Emirates,2020-11-22,72.0
United Arab Emirates,2020-11-29,54.0
United Arab Emirates,2020-12-06,73.0
United Arab Emirates,2020-12-13,56.0
United Arab Emirates,2020-12-20,46.0
United Arab Emirates,2020-12-27,51.0
United Arab Emirates,2021-01-03,69.0
United Arab Emirates,2021-01-10,68.0
United Arab Emirates,2021-01-17,75.0
United Arab Emirates,2021-01-24,66.0
United Arab Emirates,2021-01-31,66.0
United Arab Emirates,2021-02-07,68.0
United Arab Emirates,2021-02-14,63.0
United Arab Emirates,2021-02-21,67.0
United Arab Emirates,2021-02-28,67.0
United Arab Emirates,2021-03-07,74.0
United Arab Emirates,2021-03-14,62.0
United Arab Emirates,2021-03-21,59.0
United Arab Emirates,2021-03-28,52.0
United Arab Emirates,2021-04-04,55.0
United Arab Emirates,2021-04-11,58.0
United Arab Emirates,2021-04-18,68.0
United Arab Emirates,2021-04-25,56.0
United Arab Emirates,2021-05-02,56.0
United Arab Emirates,2021-05-09,49.0
United Arab Emirates,2021-05-16,80.0
United Arab Emirates,2021-05-23,74.0
United Arab Emirates,2021-05-30,75.0
United Arab Emirates,2021-06-06,70.0
United Arab Emirates,2021-06-13,64.0
United Arab Emirates,2021-06-20,60.0
United Arab Emirates,2021-06-27,55.0
United Arab Emirates,2021-07-04,52.0
United Arab Emirates,2021-07-11,50.0
United Arab Emirates,2021-07-18,43.0
United Arab Emirates,2021-07-25,52.0
United Arab Emirates,2021-08-01,50.0
United Arab Emirates,2021-08-08,46.0
United Arab Emirates,2021-08-15,60.0
United Arab Emirates,2021-08-22,59.0
United Arab Emirates,2021-08-29,64.0
United Arab Emirates,2021-09-05,81.0
United Arab Emirates,2021-09-12,89.0
United Arab Emirates,2021-09-19,90.0
United Arab Emirates,2021-09-26,80.0
United Arab Emirates,2021-10-03,71.0
United Arab Emirates,2021-10-10,73.0
United Arab Emirates,2021-10-17,64.0
United Arab Emirates,2021-10-24,63.0
United Arab Emirates,2021-10-31,59.0
United Arab Emirates,2021-11-07,65.0
United Arab Emirates,2021-11-14,66.0
United Arab Emirates,2021-11-21,66.0
United Arab Emirates,2021-11-28,49.0
United Arab Emirates,2021-12-05,56.0
United Arab Emirates,2021-12-12,48.0
United Arab Emirates,2021-12-19,41.0
United Arab Emirates,2021-12-26,42.0
United Arab Emirates,2022-01-02,56.0
United Arab Emirates,2022-01-09,58.0
United Arab Emirates,2022-01-16,64.0
United Arab Emirates,2022-01-23,65.0
United Arab Emirates,2022-01-30,64.0
United Arab Emirates,2022-02-06,62.0
United Arab Emirates,2022-02-13,62.0
United Arab Emirates,2022-02-20,68.0
United Arab Emirates,2022-02-27,57.0
United Arab Emirates,2022-03-06,57.0
United Arab Emirates,2022-03-13,64.0
United Arab Emirates,2022-03-20,59.0
United Arab Emirates,2022-03-27,48.0
United Arab Emirates,2022-04-03,50.0
United Arab Emirates,2022-04-10,55.0
