Category: All categories

Week,export: (Belgium)
2020-01-26,79
2020-02-02,84
2020-02-09,82
2020-02-16,81
2020-02-23,87
2020-03-01,100
2020-03-08,91
2020-03-15,88
2020-03-22,72
2020-03-29,91
2020-04-05,82
2020-04-12,70
2020-04-19,81
2020-04-26,88
2020-05-03,82
2020-05-10,76
2020-05-17,72
2020-05-24,91
2020-05-31,83
2020-06-07,79
2020-06-14,85
2020-06-21,79
2020-06-28,80
2020-07-05,78
2020-07-12,68
2020-07-19,78
2020-07-26,77
2020-08-02,81
2020-08-09,74
2020-08-16,77
2020-08-23,79
2020-08-30,84
2020-09-06,79
2020-09-13,82
2020-09-20,73
2020-09-27,75
2020-10-04,86
2020-10-11,96
2020-10-18,71
2020-10-25,83
2020-11-01,54
2020-11-08,73
2020-11-15,76
2020-11-22,78
2020-11-29,75
2020-12-06,74
2020-12-13,86
2020-12-20,47
2020-12-27,61
2021-01-03,90
2021-01-10,87
2021-01-17,74
2021-01-24,76
2021-01-31,78
2021-02-07,82
2021-02-14,79
2021-02-21,70
2021-02-28,84
2021-03-07,92
2021-03-14,76
2021-03-21,80
2021-03-28,76
2021-04-04,70
2021-04-11,74
2021-04-18,82
2021-04-25,77
2021-05-02,88
2021-05-09,82
2021-05-16,84
2021-05-23,75
2021-05-30,80
2021-06-06,74
2021-06-13,70
2021-06-20,59
2021-06-27,50
2021-07-04,63
2021-07-11,60
2021-07-18,63
2021-07-25,49
2021-08-01,54
2021-08-08,68
2021-08-15,60
2021-08-22,74
2021-08-29,61
2021-09-05,70
2021-09-12,79
2021-09-19,70
2021-09-26,79
2021-10-03,86
2021-10-10,70
2021-10-17,74
2021-10-24,73
2021-10-31,53
2021-11-07,79
2021-11-14,66
2021-11-21,67
2021-11-28,59
2021-12-05,67
2021-12-12,68
2021-12-19,52
2021-12-26,54
2022-01-02,66
2022-01-09,67
2022-01-16,86
2022-01-23,86
2022-01-30,86
2022-02-06,79
2022-02-13,72
2022-02-20,92
2022-02-27,90
2022-03-06,96
2022-03-13,95
2022-03-20,84
2022-03-27,92
2022-04-03,72
2022-04-10,77
