Category: All categories

Week,export: (Brazil)
2020-01-26,91
2020-02-02,83
2020-02-09,93
2020-02-16,79
2020-02-23,82
2020-03-01,86
2020-03-08,83
2020-03-15,77
2020-03-22,77
2020-03-29,82
2020-04-05,66
2020-04-12,83
2020-04-19,84
2020-04-26,88
2020-05-03,85
2020-05-10,80
2020-05-17,90
2020-05-24,77
2020-05-31,74
2020-06-07,79
2020-06-14,100
2020-06-21,98
2020-06-28,83
2020-07-05,98
2020-07-12,93
2020-07-19,89
2020-07-26,86
2020-08-02,86
2020-08-09,84
2020-08-16,88
2020-08-23,87
2020-08-30,85
2020-09-06,88
2020-09-13,70
2020-09-20,82
2020-09-27,78
2020-10-04,87
2020-10-11,64
2020-10-18,70
2020-10-25,73
2020-11-01,52
2020-11-08,80
2020-11-15,57
2020-11-22,58
2020-11-29,65
2020-12-06,55
2020-12-13,59
2020-12-20,40
2020-12-27,43
2021-01-03,59
2021-01-10,58
2021-01-17,65
2021-01-24,61
2021-01-31,69
2021-02-07,65
2021-02-14,56
2021-02-21,62
2021-02-28,70
2021-03-07,67
2021-03-14,53
2021-03-21,62
2021-03-28,59
2021-04-04,73
2021-04-11,64
2021-04-18,69
2021-04-25,76
2021-05-02,66
2021-05-09,57
2021-05-16,60
2021-05-23,68
2021-05-30,58
2021-06-06,65
2021-06-13,67
2021-06-20,69
2021-06-27,63
2021-07-04,69
2021-07-11,74
2021-07-18,94
2021-07-25,65
2021-08-01,74
2021-08-08,75
2021-08-15,64
2021-08-22,84
2021-08-29,92
2021-09-05,61
2021-09-12,81
2021-09-19,80
2021-09-26,72
2021-10-03,76
2021-10-10,70
2021-10-17,72
2021-10-24,67
2021-10-31,58
2021-11-07,88
2021-11-14,64
2021-11-21,71
2021-11-28,64
2021-12-05,71
2021-12-12,58
2021-12-19,63
2021-12-26,54
2022-01-02,63
2022-01-09,69
2022-01-16,62
2022-01-23,66
2022-01-30,73
2022-02-06,82
2022-02-13,69
2022-02-20,74
2022-02-27,67
2022-03-06,68
2022-03-13,89
2022-03-20,76
2022-03-27,65
2022-04-03,70
2022-04-10,68
