Category: All categories

Week,export: (Canada)
2020-01-26,89
2020-02-02,96
2020-02-09,96
2020-02-16,89
2020-02-23,99
2020-03-01,98
2020-03-08,97
2020-03-15,85
2020-03-22,87
2020-03-29,100
2020-04-05,89
2020-04-12,95
2020-04-19,92
2020-04-26,89
2020-05-03,95
2020-05-10,95
2020-05-17,81
2020-05-24,90
2020-05-31,88
2020-06-07,89
2020-06-14,93
2020-06-21,78
2020-06-28,80
2020-07-05,81
2020-07-12,85
2020-07-19,85
2020-07-26,85
2020-08-02,84
2020-08-09,86
2020-08-16,80
2020-08-23,89
2020-08-30,78
2020-09-06,78
2020-09-13,94
2020-09-20,86
2020-09-27,86
2020-10-04,86
2020-10-11,74
2020-10-18,81
2020-10-25,88
2020-11-01,67
2020-11-08,73
2020-11-15,81
2020-11-22,83
2020-11-29,83
2020-12-06,81
2020-12-13,75
2020-12-20,52
2020-12-27,57
2021-01-03,69
2021-01-10,74
2021-01-17,75
2021-01-24,84
2021-01-31,81
2021-02-07,78
2021-02-14,74
2021-02-21,87
2021-02-28,85
2021-03-07,81
2021-03-14,82
2021-03-21,84
2021-03-28,71
2021-04-04,76
2021-04-11,80
2021-04-18,65
2021-04-25,76
2021-05-02,82
2021-05-09,74
2021-05-16,70
2021-05-23,69
2021-05-30,69
2021-06-06,77
2021-06-13,75
2021-06-20,74
2021-06-27,61
2021-07-04,68
2021-07-11,70
2021-07-18,66
2021-07-25,72
2021-08-01,63
2021-08-08,71
2021-08-15,73
2021-08-22,73
2021-08-29,68
2021-09-05,65
2021-09-12,71
2021-09-19,74
2021-09-26,86
2021-10-03,81
2021-10-10,71
2021-10-17,86
2021-10-24,71
2021-10-31,78
2021-11-07,70
2021-11-14,76
2021-11-21,78
2021-11-28,72
2021-12-05,82
2021-12-12,71
2021-12-19,59
2021-12-26,49
2022-01-02,65
2022-01-09,75
2022-01-16,81
2022-01-23,79
2022-01-30,85
2022-02-06,80
2022-02-13,79
2022-02-20,87
2022-02-27,93
2022-03-06,92
2022-03-13,88
2022-03-20,80
2022-03-27,79
2022-04-03,86
2022-04-10,74
