Category: All categories

Week,export: (Germany)
2020-01-26,93
2020-02-02,89
2020-02-09,75
2020-02-16,93
2020-02-23,86
2020-03-01,87
2020-03-08,80
2020-03-15,67
2020-03-22,72
2020-03-29,86
2020-04-05,80
2020-04-12,75
2020-04-19,88
2020-04-26,78
2020-05-03,83
2020-05-10,83
2020-05-17,76
2020-05-24,85
2020-05-31,76
2020-06-07,75
2020-06-14,75
2020-06-21,87
2020-06-28,87
2020-07-05,79
2020-07-12,87
2020-07-19,82
2020-07-26,82
2020-08-02,71
2020-08-09,78
2020-08-16,79
2020-08-23,84
2020-08-30,74
2020-09-06,79
2020-09-13,83
2020-09-20,78
2020-09-27,73
2020-10-04,75
2020-10-11,68
2020-10-18,72
2020-10-25,69
2020-11-01,67
2020-11-08,76
2020-11-15,70
2020-11-22,73
2020-11-29,76
2020-12-06,73
2020-12-13,73
2020-12-20,53
2020-12-27,48
2021-01-03,67
2021-01-10,79
2021-01-17,75
2021-01-24,75
2021-01-31,85
2021-02-07,70
2021-02-14,75
2021-02-21,74
2021-02-28,76
2021-03-07,78
2021-03-14,87
2021-03-21,76
2021-03-28,69
2021-04-04,66
2021-04-11,73
2021-04-18,74
2021-04-25,74
2021-05-02,74
2021-05-09,65
2021-05-16,72
2021-05-23,68
2021-05-30,70
2021-06-06,74
2021-06-13,70
2021-06-20,67
2021-06-27,72
2021-07-04,72
2021-07-11,65
2021-07-18,67
2021-07-25,74
2021-08-01,66
2021-08-08,65
2021-08-15,63
2021-08-22,62
2021-08-29,70
2021-09-05,67
2021-09-12,77
2021-09-19,73
2021-09-26,69
2021-10-03,74
2021-10-10,73
2021-10-17,74
2021-10-24,82
2021-10-31,71
2021-11-07,79
2021-11-14,75
2021-11-21,75
2021-11-28,77
2021-12-05,78
2021-12-12,82
2021-12-19,84
2021-12-26,56
2022-01-02,77
2022-01-09,84
2022-01-16,84
2022-01-23,92
2022-01-30,88
2022-02-06,88
2022-02-13,84
2022-02-20,100
2022-02-27,98
2022-03-06,95
2022-03-13,98
2022-03-20,97
2022-03-27,88
2022-04-03,82
2022-04-10,77
