Category: All categories

Week,export: (Iran)
2020-01-26,67
2020-02-02,100
2020-02-09,63
2020-02-16,53
2020-02-23,69
2020-03-01,75
2020-03-08,63
2020-03-15,48
2020-03-22,64
2020-03-29,70
2020-04-05,63
2020-04-12,45
2020-04-19,69
2020-04-26,70
2020-05-03,83
2020-05-10,84
2020-05-17,62
2020-05-24,50
2020-05-31,68
2020-06-07,70
2020-06-14,60
2020-06-21,89
2020-06-28,63
2020-07-05,59
2020-07-12,77
2020-07-19,59
2020-07-26,64
2020-08-02,46
2020-08-09,76
2020-08-16,71
2020-08-23,50
2020-08-30,88
2020-09-06,56
2020-09-13,65
2020-09-20,65
2020-09-27,67
2020-10-04,85
2020-10-11,46
2020-10-18,55
2020-10-25,60
2020-11-01,72
2020-11-08,57
2020-11-15,53
2020-11-22,57
2020-11-29,57
2020-12-06,69
2020-12-13,43
2020-12-20,54
2020-12-27,73
2021-01-03,55
2021-01-10,70
2021-01-17,59
2021-01-24,67
2021-01-31,60
2021-02-07,59
2021-02-14,58
2021-02-21,70
2021-02-28,60
2021-03-07,57
2021-03-14,40
2021-03-21,57
2021-03-28,53
2021-04-04,59
2021-04-11,61
2021-04-18,62
2021-04-25,70
2021-05-02,54
2021-05-09,61
2021-05-16,51
2021-05-23,54
2021-05-30,56
2021-06-06,83
2021-06-13,64
2021-06-20,80
2021-06-27,66
2021-07-04,80
2021-07-11,65
2021-07-18,55
2021-07-25,54
2021-08-01,61
2021-08-08,51
2021-08-15,54
2021-08-22,84
2021-08-29,67
2021-09-05,49
2021-09-12,58
2021-09-19,72
2021-09-26,42
2021-10-03,66
2021-10-10,47
2021-10-17,58
2021-10-24,45
2021-10-31,48
2021-11-07,66
2021-11-14,53
2021-11-21,58
2021-11-28,67
2021-12-05,68
2021-12-12,52
2021-12-19,52
2021-12-26,54
2022-01-02,58
2022-01-09,38
2022-01-16,58
2022-01-23,40
2022-01-30,40
2022-02-06,68
2022-02-13,58
2022-02-20,49
2022-02-27,47
2022-03-06,68
2022-03-13,42
2022-03-20,28
2022-03-27,44
2022-04-03,62
2022-04-10,54
