Category: All categories

Week,export: (Israel)
2020-01-26,65
2020-02-02,77
2020-02-09,63
2020-02-16,61
2020-02-23,54
2020-03-01,75
2020-03-08,82
2020-03-15,62
2020-03-22,67
2020-03-29,84
2020-04-05,68
2020-04-12,72
2020-04-19,76
2020-04-26,54
2020-05-03,81
2020-05-10,84
2020-05-17,87
2020-05-24,100
2020-05-31,73
2020-06-07,96
2020-06-14,92
2020-06-21,97
2020-06-28,79
2020-07-05,95
2020-07-12,95
2020-07-19,87
2020-07-26,85
2020-08-02,92
2020-08-09,72
2020-08-16,86
2020-08-23,60
2020-08-30,67
2020-09-06,77
2020-09-13,70
2020-09-20,65
2020-09-27,52
2020-10-04,49
2020-10-11,54
2020-10-18,68
2020-10-25,62
2020-11-01,60
2020-11-08,60
2020-11-15,51
2020-11-22,50
2020-11-29,62
2020-12-06,44
2020-12-13,32
2020-12-20,79
2020-12-27,59
2021-01-03,63
2021-01-10,64
2021-01-17,53
2021-01-24,58
2021-01-31,51
2021-02-07,46
2021-02-14,38
2021-02-21,58
2021-02-28,41
2021-03-07,48
2021-03-14,55
2021-03-21,51
2021-03-28,53
2021-04-04,67
2021-04-11,50
2021-04-18,68
2021-04-25,62
2021-05-02,59
2021-05-09,61
2021-05-16,60
2021-05-23,42
2021-05-30,61
2021-06-06,82
2021-06-13,57
2021-06-20,58
2021-06-27,77
2021-07-04,55
2021-07-11,51
2021-07-18,80
2021-07-25,75
2021-08-01,71
2021-08-08,67
2021-08-15,60
2021-08-22,63
2021-08-29,67
2021-09-05,47
2021-09-12,41
2021-09-19,44
2021-09-26,48
2021-10-03,63
2021-10-10,53
2021-10-17,75
2021-10-24,67
2021-10-31,69
2021-11-07,91
2021-11-14,59
2021-11-21,78
2021-11-28,93
2021-12-05,64
2021-12-12,56
2021-12-19,61
2021-12-26,62
2022-01-02,66
2022-01-09,58
2022-01-16,50
2022-01-23,55
2022-01-30,73
2022-02-06,73
2022-02-13,68
2022-02-20,75
2022-02-27,65
2022-03-06,68
2022-03-13,56
2022-03-20,64
2022-03-27,49
2022-04-03,81
2022-04-10,55
