Category: All categories

Week,export: (Netherlands)
2020-01-26,88
2020-02-02,99
2020-02-09,100
2020-02-16,88
2020-02-23,85
2020-03-01,88
2020-03-08,83
2020-03-15,85
2020-03-22,87
2020-03-29,86
2020-04-05,85
2020-04-12,89
2020-04-19,90
2020-04-26,75
2020-05-03,81
2020-05-10,90
2020-05-17,78
2020-05-24,87
2020-05-31,81
2020-06-07,88
2020-06-14,85
2020-06-21,83
2020-06-28,86
2020-07-05,81
2020-07-12,81
2020-07-19,80
2020-07-26,70
2020-08-02,73
2020-08-09,62
2020-08-16,65
2020-08-23,67
2020-08-30,77
2020-09-06,75
2020-09-13,86
2020-09-20,86
2020-09-27,76
2020-10-04,74
2020-10-11,69
2020-10-18,64
2020-10-25,76
2020-11-01,72
2020-11-08,70
2020-11-15,80
2020-11-22,75
2020-11-29,75
2020-12-06,78
2020-12-13,73
2020-12-20,63
2020-12-27,59
2021-01-03,73
2021-01-10,78
2021-01-17,73
2021-01-24,83
2021-01-31,73
2021-02-07,78
2021-02-14,79
2021-02-21,72
2021-02-28,81
2021-03-07,81
2021-03-14,78
2021-03-21,84
2021-03-28,67
2021-04-04,67
2021-04-11,85
2021-04-18,68
2021-04-25,69
2021-05-02,75
2021-05-09,63
2021-05-16,63
2021-05-23,63
2021-05-30,70
2021-06-06,70
2021-06-13,65
2021-06-20,65
2021-06-27,67
2021-07-04,64
2021-07-11,62
2021-07-18,63
2021-07-25,59
2021-08-01,60
2021-08-08,58
2021-08-15,65
2021-08-22,56
2021-08-29,69
2021-09-05,74
2021-09-12,70
2021-09-19,69
2021-09-26,72
2021-10-03,82
2021-10-10,74
2021-10-17,82
2021-10-24,81
2021-10-31,72
2021-11-07,83
2021-11-14,76
2021-11-21,70
2021-11-28,75
2021-12-05,75
2021-12-12,75
2021-12-19,59
2021-12-26,43
2022-01-02,81
2022-01-09,95
2022-01-16,91
2022-01-23,84
2022-01-30,85
2022-02-06,82
2022-02-13,80
2022-02-20,99
2022-02-27,88
2022-03-06,93
2022-03-13,86
2022-03-20,78
2022-03-27,86
2022-04-03,92
2022-04-10,74
