Category: All categories

Week,export: (Qatar)
2020-01-26,39
2020-02-02,39
2020-02-09,51
2020-02-16,82
2020-02-23,41
2020-03-01,30
2020-03-08,48
2020-03-15,35
2020-03-22,52
2020-03-29,49
2020-04-05,62
2020-04-12,72
2020-04-19,47
2020-04-26,45
2020-05-03,45
2020-05-10,55
2020-05-17,36
2020-05-24,53
2020-05-31,67
2020-06-07,59
2020-06-14,83
2020-06-21,36
2020-06-28,47
2020-07-05,61
2020-07-12,44
2020-07-19,38
2020-07-26,51
2020-08-02,43
2020-08-09,58
2020-08-16,55
2020-08-23,52
2020-08-30,45
2020-09-06,60
2020-09-13,52
2020-09-20,41
2020-09-27,55
2020-10-04,29
2020-10-11,84
2020-10-18,52
2020-10-25,57
2020-11-01,55
2020-11-08,41
2020-11-15,39
2020-11-22,55
2020-11-29,34
2020-12-06,50
2020-12-13,33
2020-12-20,42
2020-12-27,45
2021-01-03,39
2021-01-10,52
2021-01-17,81
2021-01-24,52
2021-01-31,17
2021-02-07,50
2021-02-14,71
2021-02-21,57
2021-02-28,50
2021-03-07,38
2021-03-14,48
2021-03-21,64
2021-03-28,51
2021-04-04,52
2021-04-11,41
2021-04-18,40
2021-04-25,30
2021-05-02,35
2021-05-09,14
2021-05-16,27
2021-05-23,54
2021-05-30,36
2021-06-06,59
2021-06-13,54
2021-06-20,60
2021-06-27,59
2021-07-04,50
2021-07-11,47
2021-07-18,21
2021-07-25,60
2021-08-01,56
2021-08-08,33
2021-08-15,46
2021-08-22,41
2021-08-29,56
2021-09-05,46
2021-09-12,73
2021-09-19,41
2021-09-26,47
2021-10-03,55
2021-10-10,100
2021-10-17,62
2021-10-24,64
2021-10-31,39
2021-11-07,55
2021-11-14,45
2021-11-21,61
2021-11-28,55
2021-12-05,57
2021-12-12,21
2021-12-19,38
2021-12-26,48
2022-01-02,33
2022-01-09,35
2022-01-16,60
2022-01-23,46
2022-01-30,42
2022-02-06,39
2022-02-13,55
2022-02-20,34
2022-02-27,47
2022-03-06,31
2022-03-13,24
2022-03-20,51
2022-03-27,47
2022-04-03,39
2022-04-10,44
