Category: All categories

Week,export: (United Arab Emirates)
2020-01-26,69
2020-02-02,83
2020-02-09,95
2020-02-16,94
2020-02-23,76
2020-03-01,76
2020-03-08,73
2020-03-15,79
2020-03-22,62
2020-03-29,70
2020-04-05,77
2020-04-12,65
2020-04-19,82
2020-04-26,84
2020-05-03,91
2020-05-10,80
2020-05-17,87
2020-05-24,63
2020-05-31,89
2020-06-07,84
2020-06-14,100
2020-06-21,95
2020-06-28,83
2020-07-05,78
2020-07-12,95
2020-07-19,98
2020-07-26,87
2020-08-02,74
2020-08-09,89
2020-08-16,69
2020-08-23,86
2020-08-30,59
2020-09-06,92
2020-09-13,76
2020-09-20,89
2020-09-27,85
2020-10-04,71
2020-10-11,85
2020-10-18,68
2020-10-25,76
2020-11-01,77
2020-11-08,68
2020-11-15,75
2020-11-22,80
2020-11-29,51
2020-12-06,79
2020-12-13,59
2020-12-20,64
2020-12-27,65
2021-01-03,82
2021-01-10,71
2021-01-17,83
2021-01-24,74
2021-01-31,79
2021-02-07,72
2021-02-14,86
2021-02-21,75
2021-02-28,74
2021-03-07,77
2021-03-14,87
2021-03-21,81
2021-03-28,74
2021-04-04,75
2021-04-11,73
2021-04-18,64
2021-04-25,65
2021-05-02,60
2021-05-09,48
2021-05-16,83
2021-05-23,83
2021-05-30,91
2021-06-06,83
2021-06-13,80
2021-06-20,66
2021-06-27,74
2021-07-04,80
2021-07-11,68
2021-07-18,44
2021-07-25,64
2021-08-01,67
2021-08-08,57
2021-08-15,58
2021-08-22,57
2021-08-29,80
2021-09-05,69
2021-09-12,57
2021-09-19,74
2021-09-26,83
2021-10-03,73
2021-10-10,77
2021-10-17,59
2021-10-24,58
2021-10-31,68
2021-11-07,76
2021-11-14,84
2021-11-21,82
2021-11-28,57
2021-12-05,76
2021-12-12,75
2021-12-19,71
2021-12-26,67
2022-01-02,70
2022-01-09,78
2022-01-16,74
2022-01-23,84
2022-01-30,69
2022-02-06,85
2022-02-13,73
2022-02-20,79
2022-02-27,79
2022-03-06,91
2022-03-13,83
2022-03-20,75
2022-03-27,69
2022-04-03,61
2022-04-10,65
