Category: All categories

Week,export: (Worldwide)
2020-01-26,92
2020-02-02,97
2020-02-09,98
2020-02-16,98
2020-02-23,100
2020-03-01,98
2020-03-08,92
2020-03-15,85
2020-03-22,81
2020-03-29,91
2020-04-05,93
2020-04-12,89
2020-04-19,96
2020-04-26,96
2020-05-03,94
2020-05-10,97
2020-05-17,94
2020-05-24,91
2020-05-31,92
2020-06-07,96
2020-06-14,99
2020-06-21,96
2020-06-28,92
2020-07-05,91
2020-07-12,93
2020-07-19,94
2020-07-26,90
2020-08-02,88
2020-08-09,85
2020-08-16,91
2020-08-23,93
2020-08-30,88
2020-09-06,93
2020-09-13,98
2020-09-20,95
2020-09-27,86
2020-10-04,88
2020-10-11,81
2020-10-18,80
2020-10-25,78
2020-11-01,74
2020-11-08,76
2020-11-15,83
2020-11-22,74
2020-11-29,79
2020-12-06,78
2020-12-13,78
2020-12-20,64
2020-12-27,61
2021-01-03,73
2021-01-10,79
2021-01-17,81
2021-01-24,85
2021-01-31,85
2021-02-07,78
2021-02-14,82
2021-02-21,80
2021-02-28,83
2021-03-07,83
2021-03-14,82
2021-03-21,84
2021-03-28,78
2021-04-04,76
2021-04-11,78
2021-04-18,80
2021-04-25,79
2021-05-02,77
2021-05-09,76
2021-05-16,82
2021-05-23,78
2021-05-30,78
2021-06-06,79
2021-06-13,79
2021-06-20,76
2021-06-27,76
2021-07-04,74
2021-07-11,75
2021-07-18,75
2021-07-25,78
2021-08-01,74
2021-08-08,73
2021-08-15,74
2021-08-22,75
2021-08-29,77
2021-09-05,79
2021-09-12,81
2021-09-19,82
2021-09-26,81
2021-10-03,81
2021-10-10,80
2021-10-17,79
2021-10-24,79
2021-10-31,76
2021-11-07,82
2021-11-14,82
2021-11-21,77
2021-11-28,78
2021-12-05,78
2021-12-12,81
2021-12-19,69
2021-12-26,59
2022-01-02,74
2022-01-09,81
2022-01-16,82
2022-01-23,83
2022-01-30,84
2022-02-06,86
2022-02-13,87
2022-02-20,90
2022-02-27,93
2022-03-06,98
2022-03-13,88
2022-03-20,90
2022-03-27,90
2022-04-03,87
2022-04-10,81
