Country,Date,search_index
Australia,2020-01-26,63.0
Australia,2020-02-02,69.0
Australia,2020-02-09,72.0
Australia,2020-02-16,82.0
Australia,2020-02-23,82.0
Australia,2020-03-01,80.0
Australia,2020-03-08,74.0
Australia,2020-03-15,79.0
Australia,2020-03-22,71.0
Australia,2020-03-29,82.0
Australia,2020-04-05,75.0
Australia,2020-04-12,75.0
Australia,2020-04-19,78.0
Australia,2020-04-26,80.0
Australia,2020-05-03,86.0
Australia,2020-05-10,89.0
Australia,2020-05-17,100.0
Australia,2020-05-24,86.0
Australia,2020-05-31,86.0
Australia,2020-06-07,77.0
Australia,2020-06-14,83.0
Australia,2020-06-21,83.0
Australia,2020-06-28,70.0
Australia,2020-07-05,70.0
Australia,2020-07-12,72.0
Australia,2020-07-19,73.0
Australia,2020-07-26,78.0
Australia,2020-08-02,80.0
Australia,2020-08-09,79.0
Australia,2020-08-16,75.0
Australia,2020-08-23,75.0
Australia,2020-08-30,93.0
Australia,2020-09-06,81.0
Australia,2020-09-13,80.0
Australia,2020-09-20,71.0
Australia,2020-09-27,63.0
Australia,2020-10-04,69.0
Australia,2020-10-11,65.0
Australia,2020-10-18,66.0
Australia,2020-10-25,58.0
Australia,2020-11-01,61.0
Australia,2020-11-08,62.0
Australia,2020-11-15,65.0
Australia,2020-11-22,62.0
Australia,2020-11-29,56.0
Australia,2020-12-06,58.0
Australia,2020-12-13,57.0
Australia,2020-12-20,41.0
Australia,2020-12-27,31.0
Australia,2021-01-03,44.0
Australia,2021-01-10,53.0
Australia,2021-01-17,55.0
Australia,2021-01-24,54.0
Australia,2021-01-31,56.0
Australia,2021-02-07,55.0
Australia,2021-02-14,63.0
Australia,2021-02-21,65.0
Australia,2021-02-28,62.0
Australia,2021-03-07,57.0
Australia,2021-03-14,64.0
Australia,2021-03-21,67.0
Australia,2021-03-28,57.0
Australia,2021-04-04,54.0
Australia,2021-04-11,56.0
Australia,2021-04-18,67.0
Australia,2021-04-25,61.0
Australia,2021-05-02,61.0
Australia,2021-05-09,70.0
Australia,2021-05-16,70.0
Australia,2021-05-23,66.0
Australia,2021-05-30,65.0
Australia,2021-06-06,64.0
Australia,2021-06-13,58.0
Australia,2021-06-20,69.0
Australia,2021-06-27,59.0
Australia,2021-07-04,57.0
Australia,2021-07-11,58.0
Australia,2021-07-18,59.0
Australia,2021-07-25,69.0
Australia,2021-08-01,59.0
Australia,2021-08-08,62.0
Australia,2021-08-15,61.0
Australia,2021-08-22,62.0
Australia,2021-08-29,69.0
Australia,2021-09-05,67.0
Australia,2021-09-12,65.0
Australia,2021-09-19,63.0
Australia,2021-09-26,64.0
Australia,2021-10-03,60.0
Australia,2021-10-10,60.0
Australia,2021-10-17,64.0
Australia,2021-10-24,62.0
Australia,2021-10-31,58.0
Australia,2021-11-07,65.0
Australia,2021-11-14,69.0
Australia,2021-11-21,55.0
Australia,2021-11-28,61.0
Australia,2021-12-05,51.0
Australia,2021-12-12,59.0
Australia,2021-12-19,48.0
Australia,2021-12-26,28.0
Australia,2022-01-02,36.0
Australia,2022-01-09,49.0
Australia,2022-01-16,54.0
Australia,2022-01-23,51.0
Australia,2022-01-30,62.0
Australia,2022-02-06,61.0
Australia,2022-02-13,63.0
Australia,2022-02-20,72.0
Australia,2022-02-27,62.0
Australia,2022-03-06,70.0
Australia,2022-03-13,61.0
Australia,2022-03-20,67.0
Australia,2022-03-27,69.0
Australia,2022-04-03,59.0
Australia,2022-04-10,52.0
