Country,Date,search_index
Belgium,2020-01-26,79.0
Belgium,2020-02-02,84.0
Belgium,2020-02-09,82.0
Belgium,2020-02-16,81.0
Belgium,2020-02-23,87.0
Belgium,2020-03-01,100.0
Belgium,2020-03-08,91.0
Belgium,2020-03-15,88.0
Belgium,2020-03-22,72.0
Belgium,2020-03-29,91.0
Belgium,2020-04-05,82.0
Belgium,2020-04-12,70.0
Belgium,2020-04-19,81.0
Belgium,2020-04-26,88.0
Belgium,2020-05-03,82.0
Belgium,2020-05-10,76.0
Belgium,2020-05-17,72.0
Belgium,2020-05-24,91.0
Belgium,2020-05-31,83.0
Belgium,2020-06-07,79.0
Belgium,2020-06-14,85.0
Belgium,2020-06-21,79.0
Belgium,2020-06-28,80.0
Belgium,2020-07-05,78.0
Belgium,2020-07-12,68.0
Belgium,2020-07-19,78.0
Belgium,2020-07-26,77.0
Belgium,2020-08-02,81.0
Belgium,2020-08-09,74.0
Belgium,2020-08-16,77.0
Belgium,2020-08-23,79.0
Belgium,2020-08-30,84.0
Belgium,2020-09-06,79.0
Belgium,2020-09-13,82.0
Belgium,2020-09-20,73.0
Belgium,2020-09-27,75.0
Belgium,2020-10-04,86.0
Belgium,2020-10-11,96.0
Belgium,2020-10-18,71.0
Belgium,2020-10-25,83.0
Belgium,2020-11-01,54.0
Belgium,2020-11-08,73.0
Belgium,2020-11-15,76.0
Belgium,2020-11-22,78.0
Belgium,2020-11-29,75.0
Belgium,2020-12-06,74.0
Belgium,2020-12-13,86.0
Belgium,2020-12-20,47.0
Belgium,2020-12-27,61.0
Belgium,2021-01-03,90.0
Belgium,2021-01-10,87.0
Belgium,2021-01-17,74.0
Belgium,2021-01-24,76.0
Belgium,2021-01-31,78.0
Belgium,2021-02-07,82.0
Belgium,2021-02-14,79.0
Belgium,2021-02-21,70.0
Belgium,2021-02-28,84.0
Belgium,2021-03-07,92.0
Belgium,2021-03-14,76.0
Belgium,2021-03-21,80.0
Belgium,2021-03-28,76.0
Belgium,2021-04-04,70.0
Belgium,2021-04-11,74.0
Belgium,2021-04-18,82.0
Belgium,2021-04-25,77.0
Belgium,2021-05-02,88.0
Belgium,2021-05-09,82.0
Belgium,2021-05-16,84.0
Belgium,2021-05-23,75.0
Belgium,2021-05-30,80.0
Belgium,2021-06-06,74.0
Belgium,2021-06-13,70.0
Belgium,2021-06-20,59.0
Belgium,2021-06-27,50.0
Belgium,2021-07-04,63.0
Belgium,2021-07-11,60.0
Belgium,2021-07-18,63.0
Belgium,2021-07-25,49.0
Belgium,2021-08-01,54.0
Belgium,2021-08-08,68.0
Belgium,2021-08-15,60.0
Belgium,2021-08-22,74.0
Belgium,2021-08-29,61.0
Belgium,2021-09-05,70.0
Belgium,2021-09-12,79.0
Belgium,2021-09-19,70.0
Belgium,2021-09-26,79.0
Belgium,2021-10-03,86.0
Belgium,2021-10-10,70.0
Belgium,2021-10-17,74.0
Belgium,2021-10-24,73.0
Belgium,2021-10-31,53.0
Belgium,2021-11-07,79.0
Belgium,2021-11-14,66.0
Belgium,2021-11-21,67.0
Belgium,2021-11-28,59.0
Belgium,2021-12-05,67.0
Belgium,2021-12-12,68.0
Belgium,2021-12-19,52.0
Belgium,2021-12-26,54.0
Belgium,2022-01-02,66.0
Belgium,2022-01-09,67.0
Belgium,2022-01-16,86.0
Belgium,2022-01-23,86.0
Belgium,2022-01-30,86.0
Belgium,2022-02-06,79.0
Belgium,2022-02-13,72.0
Belgium,2022-02-20,92.0
Belgium,2022-02-27,90.0
Belgium,2022-03-06,96.0
Belgium,2022-03-13,95.0
Belgium,2022-03-20,84.0
Belgium,2022-03-27,92.0
Belgium,2022-04-03,72.0
Belgium,2022-04-10,77.0
