Country,Date,search_index
Cuba,2020-01-26,35.0
Cuba,2020-02-02,34.0
Cuba,2020-02-09,72.0
Cuba,2020-02-16,0.0
Cuba,2020-02-23,68.0
Cuba,2020-03-01,98.0
Cuba,2020-03-08,32.0
Cuba,2020-03-15,32.0
Cuba,2020-03-22,100.0
Cuba,2020-03-29,33.0
Cuba,2020-04-05,68.0
Cuba,2020-04-12,35.0
Cuba,2020-04-19,34.0
Cuba,2020-04-26,0.0
Cuba,2020-05-03,35.0
Cuba,2020-05-10,0.0
Cuba,2020-05-17,30.0
Cuba,2020-05-24,30.0
Cuba,2020-05-31,30.0
Cuba,2020-06-07,0.0
Cuba,2020-06-14,0.0
Cuba,2020-06-21,34.0
Cuba,2020-06-28,100.0
Cuba,2020-07-05,36.0
Cuba,2020-07-12,0.0
Cuba,2020-07-19,35.0
Cuba,2020-07-26,32.0
Cuba,2020-08-02,0.0
Cuba,2020-08-09,59.0
Cuba,2020-08-16,30.0
Cuba,2020-08-23,31.0
Cuba,2020-08-30,0.0
Cuba,2020-09-06,62.0
Cuba,2020-09-13,63.0
Cuba,2020-09-20,33.0
Cuba,2020-09-27,32.0
Cuba,2020-10-04,0.0
Cuba,2020-10-11,0.0
Cuba,2020-10-18,0.0
Cuba,2020-10-25,30.0
Cuba,2020-11-01,0.0
Cuba,2020-11-08,0.0
Cuba,2020-11-15,63.0
Cuba,2020-11-22,0.0
Cuba,2020-11-29,30.0
Cuba,2020-12-06,27.0
Cuba,2020-12-13,48.0
Cuba,2020-12-20,27.0
Cuba,2020-12-27,0.0
Cuba,2021-01-03,0.0
Cuba,2021-01-10,0.0
Cuba,2021-01-17,49.0
Cuba,2021-01-24,49.0
Cuba,2021-01-31,49.0
Cuba,2021-02-07,71.0
Cuba,2021-02-14,24.0
Cuba,2021-02-21,0.0
Cuba,2021-02-28,0.0
Cuba,2021-03-07,43.0
Cuba,2021-03-14,41.0
Cuba,2021-03-21,23.0
Cuba,2021-03-28,23.0
Cuba,2021-04-04,22.0
Cuba,2021-04-11,90.0
Cuba,2021-04-18,23.0
Cuba,2021-04-25,24.0
Cuba,2021-05-02,46.0
Cuba,2021-05-09,47.0
Cuba,2021-05-16,23.0
Cuba,2021-05-23,0.0
Cuba,2021-05-30,68.0
Cuba,2021-06-06,68.0
Cuba,2021-06-13,0.0
Cuba,2021-06-20,45.0
Cuba,2021-06-27,43.0
Cuba,2021-07-04,83.0
Cuba,2021-07-11,33.0
Cuba,2021-07-18,91.0
Cuba,2021-07-25,42.0
Cuba,2021-08-01,21.0
Cuba,2021-08-08,41.0
Cuba,2021-08-15,20.0
Cuba,2021-08-22,0.0
Cuba,2021-08-29,38.0
Cuba,2021-09-05,60.0
Cuba,2021-09-12,59.0
Cuba,2021-09-19,20.0
Cuba,2021-09-26,19.0
Cuba,2021-10-03,40.0
Cuba,2021-10-10,0.0
Cuba,2021-10-17,56.0
Cuba,2021-10-24,0.0
Cuba,2021-10-31,56.0
Cuba,2021-11-07,0.0
Cuba,2021-11-14,78.0
Cuba,2021-11-21,19.0
Cuba,2021-11-28,58.0
Cuba,2021-12-05,37.0
Cuba,2021-12-12,55.0
Cuba,2021-12-19,61.0
Cuba,2021-12-26,43.0
Cuba,2022-01-02,18.0
Cuba,2022-01-09,32.0
Cuba,2022-01-16,79.0
Cuba,2022-01-23,17.0
Cuba,2022-01-30,17.0
Cuba,2022-02-06,17.0
Cuba,2022-02-13,50.0
Cuba,2022-02-20,16.0
Cuba,2022-02-27,17.0
Cuba,2022-03-06,17.0
Cuba,2022-03-13,32.0
Cuba,2022-03-20,17.0
Cuba,2022-03-27,53.0
Cuba,2022-04-03,49.0
Cuba,2022-04-10,0.0
