Country,Date,search_index
India,2020-01-26,84.0
India,2020-02-02,88.0
India,2020-02-09,88.0
India,2020-02-16,89.0
India,2020-02-23,95.0
India,2020-03-01,92.0
India,2020-03-08,87.0
India,2020-03-15,85.0
India,2020-03-22,56.0
India,2020-03-29,69.0
India,2020-04-05,94.0
India,2020-04-12,81.0
India,2020-04-19,85.0
India,2020-04-26,81.0
India,2020-05-03,85.0
India,2020-05-10,98.0
India,2020-05-17,93.0
India,2020-05-24,90.0
India,2020-05-31,100.0
India,2020-06-07,97.0
India,2020-06-14,100.0
India,2020-06-21,97.0
India,2020-06-28,91.0
India,2020-07-05,89.0
India,2020-07-12,89.0
India,2020-07-19,89.0
India,2020-07-26,83.0
India,2020-08-02,85.0
India,2020-08-09,85.0
India,2020-08-16,92.0
India,2020-08-23,95.0
India,2020-08-30,91.0
India,2020-09-06,92.0
India,2020-09-13,96.0
India,2020-09-20,87.0
India,2020-09-27,82.0
India,2020-10-04,83.0
India,2020-10-11,79.0
India,2020-10-18,77.0
India,2020-10-25,85.0
India,2020-11-01,71.0
India,2020-11-08,65.0
India,2020-11-15,71.0
India,2020-11-22,74.0
India,2020-11-29,75.0
India,2020-12-06,77.0
India,2020-12-13,82.0
India,2020-12-20,76.0
India,2020-12-27,74.0
India,2021-01-03,81.0
India,2021-01-10,76.0
India,2021-01-17,80.0
India,2021-01-24,82.0
India,2021-01-31,85.0
India,2021-02-07,81.0
India,2021-02-14,82.0
India,2021-02-21,81.0
India,2021-02-28,84.0
India,2021-03-07,84.0
India,2021-03-14,84.0
India,2021-03-21,81.0
India,2021-03-28,75.0
India,2021-04-04,83.0
India,2021-04-11,72.0
India,2021-04-18,83.0
India,2021-04-25,75.0
India,2021-05-02,74.0
India,2021-05-09,83.0
India,2021-05-16,83.0
India,2021-05-23,82.0
India,2021-05-30,86.0
India,2021-06-06,84.0
India,2021-06-13,87.0
India,2021-06-20,83.0
India,2021-06-27,87.0
India,2021-07-04,82.0
India,2021-07-11,84.0
India,2021-07-18,76.0
India,2021-07-25,95.0
India,2021-08-01,87.0
India,2021-08-08,83.0
India,2021-08-15,84.0
India,2021-08-22,79.0
India,2021-08-29,81.0
India,2021-09-05,78.0
India,2021-09-12,76.0
India,2021-09-19,80.0
India,2021-09-26,74.0
India,2021-10-03,76.0
India,2021-10-10,64.0
India,2021-10-17,72.0
India,2021-10-24,72.0
India,2021-10-31,56.0
India,2021-11-07,72.0
India,2021-11-14,74.0
India,2021-11-21,80.0
India,2021-11-28,72.0
India,2021-12-05,74.0
India,2021-12-12,79.0
India,2021-12-19,74.0
India,2021-12-26,65.0
India,2022-01-02,73.0
India,2022-01-09,69.0
India,2022-01-16,81.0
India,2022-01-23,77.0
India,2022-01-30,82.0
India,2022-02-06,84.0
India,2022-02-13,79.0
India,2022-02-20,89.0
India,2022-02-27,84.0
India,2022-03-06,84.0
India,2022-03-13,82.0
India,2022-03-20,92.0
India,2022-03-27,88.0
India,2022-04-03,94.0
India,2022-04-10,76.0
