Country,Date,search_index
Japan,2020-01-26,91.0
Japan,2020-02-02,97.0
Japan,2020-02-09,80.0
Japan,2020-02-16,100.0
Japan,2020-02-23,76.0
Japan,2020-03-01,93.0
Japan,2020-03-08,88.0
Japan,2020-03-15,78.0
Japan,2020-03-22,75.0
Japan,2020-03-29,100.0
Japan,2020-04-05,82.0
Japan,2020-04-12,85.0
Japan,2020-04-19,82.0
Japan,2020-04-26,69.0
Japan,2020-05-03,51.0
Japan,2020-05-10,83.0
Japan,2020-05-17,97.0
Japan,2020-05-24,82.0
Japan,2020-05-31,87.0
Japan,2020-06-07,84.0
Japan,2020-06-14,86.0
Japan,2020-06-21,86.0
Japan,2020-06-28,97.0
Japan,2020-07-05,99.0
Japan,2020-07-12,89.0
Japan,2020-07-19,74.0
Japan,2020-07-26,81.0
Japan,2020-08-02,66.0
Japan,2020-08-09,62.0
Japan,2020-08-16,82.0
Japan,2020-08-23,80.0
Japan,2020-08-30,83.0
Japan,2020-09-06,84.0
Japan,2020-09-13,74.0
Japan,2020-09-20,68.0
Japan,2020-09-27,75.0
Japan,2020-10-04,71.0
Japan,2020-10-11,67.0
Japan,2020-10-18,72.0
Japan,2020-10-25,73.0
Japan,2020-11-01,66.0
Japan,2020-11-08,75.0
Japan,2020-11-15,64.0
Japan,2020-11-22,66.0
Japan,2020-11-29,74.0
Japan,2020-12-06,62.0
Japan,2020-12-13,80.0
Japan,2020-12-20,61.0
Japan,2020-12-27,24.0
Japan,2021-01-03,65.0
Japan,2021-01-10,65.0
Japan,2021-01-17,62.0
Japan,2021-01-24,71.0
Japan,2021-01-31,79.0
Japan,2021-02-07,61.0
Japan,2021-02-14,72.0
Japan,2021-02-21,65.0
Japan,2021-02-28,64.0
Japan,2021-03-07,79.0
Japan,2021-03-14,75.0
Japan,2021-03-21,66.0
Japan,2021-03-28,57.0
Japan,2021-04-04,70.0
Japan,2021-04-11,75.0
Japan,2021-04-18,95.0
Japan,2021-04-25,65.0
Japan,2021-05-02,54.0
Japan,2021-05-09,96.0
Japan,2021-05-16,81.0
Japan,2021-05-23,70.0
Japan,2021-05-30,70.0
Japan,2021-06-06,80.0
Japan,2021-06-13,80.0
Japan,2021-06-20,82.0
Japan,2021-06-27,79.0
Japan,2021-07-04,62.0
Japan,2021-07-11,82.0
Japan,2021-07-18,44.0
Japan,2021-07-25,66.0
Japan,2021-08-01,51.0
Japan,2021-08-08,39.0
Japan,2021-08-15,56.0
Japan,2021-08-22,69.0
Japan,2021-08-29,76.0
Japan,2021-09-05,77.0
Japan,2021-09-12,60.0
Japan,2021-09-19,48.0
Japan,2021-09-26,59.0
Japan,2021-10-03,63.0
Japan,2021-10-10,79.0
Japan,2021-10-17,64.0
Japan,2021-10-24,74.0
Japan,2021-10-31,65.0
Japan,2021-11-07,73.0
Japan,2021-11-14,62.0
Japan,2021-11-21,53.0
Japan,2021-11-28,62.0
Japan,2021-12-05,69.0
Japan,2021-12-12,77.0
Japan,2021-12-19,72.0
Japan,2021-12-26,37.0
Japan,2022-01-02,51.0
Japan,2022-01-09,63.0
Japan,2022-01-16,64.0
Japan,2022-01-23,78.0
Japan,2022-01-30,68.0
Japan,2022-02-06,63.0
Japan,2022-02-13,81.0
Japan,2022-02-20,70.0
Japan,2022-02-27,78.0
Japan,2022-03-06,81.0
Japan,2022-03-13,61.0
Japan,2022-03-20,59.0
Japan,2022-03-27,62.0
Japan,2022-04-03,66.0
Japan,2022-04-10,76.0
