Country,Date,search_index
Mexico,2020-01-26,71.0
Mexico,2020-02-02,85.0
Mexico,2020-02-09,90.0
Mexico,2020-02-16,77.0
Mexico,2020-02-23,100.0
Mexico,2020-03-01,88.0
Mexico,2020-03-08,86.0
Mexico,2020-03-15,69.0
Mexico,2020-03-22,69.0
Mexico,2020-03-29,73.0
Mexico,2020-04-05,75.0
Mexico,2020-04-12,78.0
Mexico,2020-04-19,74.0
Mexico,2020-04-26,68.0
Mexico,2020-05-03,75.0
Mexico,2020-05-10,87.0
Mexico,2020-05-17,89.0
Mexico,2020-05-24,71.0
Mexico,2020-05-31,73.0
Mexico,2020-06-07,71.0
Mexico,2020-06-14,95.0
Mexico,2020-06-21,82.0
Mexico,2020-06-28,81.0
Mexico,2020-07-05,82.0
Mexico,2020-07-12,76.0
Mexico,2020-07-19,86.0
Mexico,2020-07-26,89.0
Mexico,2020-08-02,81.0
Mexico,2020-08-09,62.0
Mexico,2020-08-16,79.0
Mexico,2020-08-23,68.0
Mexico,2020-08-30,67.0
Mexico,2020-09-06,60.0
Mexico,2020-09-13,66.0
Mexico,2020-09-20,71.0
Mexico,2020-09-27,51.0
Mexico,2020-10-04,56.0
Mexico,2020-10-11,56.0
Mexico,2020-10-18,61.0
Mexico,2020-10-25,46.0
Mexico,2020-11-01,48.0
Mexico,2020-11-08,46.0
Mexico,2020-11-15,68.0
Mexico,2020-11-22,50.0
Mexico,2020-11-29,58.0
Mexico,2020-12-06,50.0
Mexico,2020-12-13,46.0
Mexico,2020-12-20,48.0
Mexico,2020-12-27,46.0
Mexico,2021-01-03,55.0
Mexico,2021-01-10,49.0
Mexico,2021-01-17,53.0
Mexico,2021-01-24,70.0
Mexico,2021-01-31,57.0
Mexico,2021-02-07,51.0
Mexico,2021-02-14,57.0
Mexico,2021-02-21,55.0
Mexico,2021-02-28,43.0
Mexico,2021-03-07,55.0
Mexico,2021-03-14,57.0
Mexico,2021-03-21,57.0
Mexico,2021-03-28,59.0
Mexico,2021-04-04,70.0
Mexico,2021-04-11,58.0
Mexico,2021-04-18,50.0
Mexico,2021-04-25,52.0
Mexico,2021-05-02,65.0
Mexico,2021-05-09,49.0
Mexico,2021-05-16,70.0
Mexico,2021-05-23,69.0
Mexico,2021-05-30,55.0
Mexico,2021-06-06,54.0
Mexico,2021-06-13,55.0
Mexico,2021-06-20,52.0
Mexico,2021-06-27,57.0
Mexico,2021-07-04,66.0
Mexico,2021-07-11,59.0
Mexico,2021-07-18,63.0
Mexico,2021-07-25,72.0
Mexico,2021-08-01,52.0
Mexico,2021-08-08,61.0
Mexico,2021-08-15,67.0
Mexico,2021-08-22,52.0
Mexico,2021-08-29,74.0
Mexico,2021-09-05,66.0
Mexico,2021-09-12,54.0
Mexico,2021-09-19,62.0
Mexico,2021-09-26,65.0
Mexico,2021-10-03,65.0
Mexico,2021-10-10,48.0
Mexico,2021-10-17,69.0
Mexico,2021-10-24,88.0
Mexico,2021-10-31,55.0
Mexico,2021-11-07,65.0
Mexico,2021-11-14,50.0
Mexico,2021-11-21,76.0
Mexico,2021-11-28,80.0
Mexico,2021-12-05,72.0
Mexico,2021-12-12,61.0
Mexico,2021-12-19,66.0
Mexico,2021-12-26,47.0
Mexico,2022-01-02,60.0
Mexico,2022-01-09,59.0
Mexico,2022-01-16,66.0
Mexico,2022-01-23,62.0
Mexico,2022-01-30,70.0
Mexico,2022-02-06,52.0
Mexico,2022-02-13,75.0
Mexico,2022-02-20,73.0
Mexico,2022-02-27,73.0
Mexico,2022-03-06,79.0
Mexico,2022-03-13,77.0
Mexico,2022-03-20,52.0
Mexico,2022-03-27,76.0
Mexico,2022-04-03,65.0
Mexico,2022-04-10,67.0
