Country,Date,search_index
Russia,2020-01-26,84.0
Russia,2020-02-02,77.0
Russia,2020-02-09,86.0
Russia,2020-02-16,90.0
Russia,2020-02-23,90.0
Russia,2020-03-01,80.0
Russia,2020-03-08,72.0
Russia,2020-03-15,81.0
Russia,2020-03-22,84.0
Russia,2020-03-29,86.0
Russia,2020-04-05,78.0
Russia,2020-04-12,80.0
Russia,2020-04-19,60.0
Russia,2020-04-26,95.0
Russia,2020-05-03,76.0
Russia,2020-05-10,70.0
Russia,2020-05-17,72.0
Russia,2020-05-24,86.0
Russia,2020-05-31,81.0
Russia,2020-06-07,80.0
Russia,2020-06-14,87.0
Russia,2020-06-21,80.0
Russia,2020-06-28,82.0
Russia,2020-07-05,92.0
Russia,2020-07-12,99.0
Russia,2020-07-19,66.0
Russia,2020-07-26,96.0
Russia,2020-08-02,70.0
Russia,2020-08-09,81.0
Russia,2020-08-16,83.0
Russia,2020-08-23,72.0
Russia,2020-08-30,93.0
Russia,2020-09-06,88.0
Russia,2020-09-13,87.0
Russia,2020-09-20,80.0
Russia,2020-09-27,83.0
Russia,2020-10-04,56.0
Russia,2020-10-11,62.0
Russia,2020-10-18,59.0
Russia,2020-10-25,53.0
Russia,2020-11-01,57.0
Russia,2020-11-08,61.0
Russia,2020-11-15,57.0
Russia,2020-11-22,48.0
Russia,2020-11-29,55.0
Russia,2020-12-06,71.0
Russia,2020-12-13,67.0
Russia,2020-12-20,67.0
Russia,2020-12-27,55.0
Russia,2021-01-03,35.0
Russia,2021-01-10,50.0
Russia,2021-01-17,61.0
Russia,2021-01-24,62.0
Russia,2021-01-31,71.0
Russia,2021-02-07,67.0
Russia,2021-02-14,74.0
Russia,2021-02-21,67.0
Russia,2021-02-28,70.0
Russia,2021-03-07,63.0
Russia,2021-03-14,72.0
Russia,2021-03-21,82.0
Russia,2021-03-28,82.0
Russia,2021-04-04,71.0
Russia,2021-04-11,76.0
Russia,2021-04-18,74.0
Russia,2021-04-25,80.0
Russia,2021-05-02,60.0
Russia,2021-05-09,72.0
Russia,2021-05-16,69.0
Russia,2021-05-23,75.0
Russia,2021-05-30,78.0
Russia,2021-06-06,73.0
Russia,2021-06-13,57.0
Russia,2021-06-20,69.0
Russia,2021-06-27,71.0
Russia,2021-07-04,61.0
Russia,2021-07-11,67.0
Russia,2021-07-18,68.0
Russia,2021-07-25,79.0
Russia,2021-08-01,59.0
Russia,2021-08-08,64.0
Russia,2021-08-15,70.0
Russia,2021-08-22,68.0
Russia,2021-08-29,77.0
Russia,2021-09-05,67.0
Russia,2021-09-12,71.0
Russia,2021-09-19,79.0
Russia,2021-09-26,61.0
Russia,2021-10-03,52.0
Russia,2021-10-10,71.0
Russia,2021-10-17,83.0
Russia,2021-10-24,70.0
Russia,2021-10-31,55.0
Russia,2021-11-07,82.0
Russia,2021-11-14,78.0
Russia,2021-11-21,71.0
Russia,2021-11-28,84.0
Russia,2021-12-05,82.0
Russia,2021-12-12,89.0
Russia,2021-12-19,89.0
Russia,2021-12-26,71.0
Russia,2022-01-02,44.0
Russia,2022-01-09,79.0
Russia,2022-01-16,77.0
Russia,2022-01-23,79.0
Russia,2022-01-30,82.0
Russia,2022-02-06,90.0
Russia,2022-02-13,90.0
Russia,2022-02-20,77.0
Russia,2022-02-27,100.0
Russia,2022-03-06,94.0
Russia,2022-03-13,98.0
Russia,2022-03-20,93.0
Russia,2022-03-27,92.0
Russia,2022-04-03,94.0
Russia,2022-04-10,92.0
