Country,Date,search_index
Spain,2020-01-26,86.0
Spain,2020-02-02,80.0
Spain,2020-02-09,89.0
Spain,2020-02-16,82.0
Spain,2020-02-23,95.0
Spain,2020-03-01,75.0
Spain,2020-03-08,73.0
Spain,2020-03-15,64.0
Spain,2020-03-22,78.0
Spain,2020-03-29,68.0
Spain,2020-04-05,60.0
Spain,2020-04-12,83.0
Spain,2020-04-19,93.0
Spain,2020-04-26,78.0
Spain,2020-05-03,85.0
Spain,2020-05-10,82.0
Spain,2020-05-17,87.0
Spain,2020-05-24,80.0
Spain,2020-05-31,80.0
Spain,2020-06-07,85.0
Spain,2020-06-14,72.0
Spain,2020-06-21,78.0
Spain,2020-06-28,69.0
Spain,2020-07-05,75.0
Spain,2020-07-12,71.0
Spain,2020-07-19,79.0
Spain,2020-07-26,63.0
Spain,2020-08-02,75.0
Spain,2020-08-09,65.0
Spain,2020-08-16,53.0
Spain,2020-08-23,70.0
Spain,2020-08-30,65.0
Spain,2020-09-06,76.0
Spain,2020-09-13,75.0
Spain,2020-09-20,73.0
Spain,2020-09-27,68.0
Spain,2020-10-04,67.0
Spain,2020-10-11,75.0
Spain,2020-10-18,72.0
Spain,2020-10-25,62.0
Spain,2020-11-01,60.0
Spain,2020-11-08,63.0
Spain,2020-11-15,69.0
Spain,2020-11-22,70.0
Spain,2020-11-29,60.0
Spain,2020-12-06,59.0
Spain,2020-12-13,60.0
Spain,2020-12-20,50.0
Spain,2020-12-27,37.0
Spain,2021-01-03,53.0
Spain,2021-01-10,63.0
Spain,2021-01-17,66.0
Spain,2021-01-24,73.0
Spain,2021-01-31,70.0
Spain,2021-02-07,62.0
Spain,2021-02-14,69.0
Spain,2021-02-21,76.0
Spain,2021-02-28,66.0
Spain,2021-03-07,70.0
Spain,2021-03-14,64.0
Spain,2021-03-21,70.0
Spain,2021-03-28,44.0
Spain,2021-04-04,61.0
Spain,2021-04-11,63.0
Spain,2021-04-18,66.0
Spain,2021-04-25,66.0
Spain,2021-05-02,66.0
Spain,2021-05-09,69.0
Spain,2021-05-16,71.0
Spain,2021-05-23,60.0
Spain,2021-05-30,71.0
Spain,2021-06-06,69.0
Spain,2021-06-13,65.0
Spain,2021-06-20,61.0
Spain,2021-06-27,64.0
Spain,2021-07-04,58.0
Spain,2021-07-11,49.0
Spain,2021-07-18,61.0
Spain,2021-07-25,63.0
Spain,2021-08-01,45.0
Spain,2021-08-08,51.0
Spain,2021-08-15,46.0
Spain,2021-08-22,51.0
Spain,2021-08-29,58.0
Spain,2021-09-05,58.0
Spain,2021-09-12,65.0
Spain,2021-09-19,62.0
Spain,2021-09-26,67.0
Spain,2021-10-03,59.0
Spain,2021-10-10,60.0
Spain,2021-10-17,69.0
Spain,2021-10-24,66.0
Spain,2021-10-31,73.0
Spain,2021-11-07,89.0
Spain,2021-11-14,71.0
Spain,2021-11-21,81.0
Spain,2021-11-28,78.0
Spain,2021-12-05,44.0
Spain,2021-12-12,69.0
Spain,2021-12-19,67.0
Spain,2021-12-26,51.0
Spain,2022-01-02,62.0
Spain,2022-01-09,82.0
Spain,2022-01-16,87.0
Spain,2022-01-23,90.0
Spain,2022-01-30,100.0
Spain,2022-02-06,90.0
Spain,2022-02-13,84.0
Spain,2022-02-20,99.0
Spain,2022-02-27,90.0
Spain,2022-03-06,88.0
Spain,2022-03-13,85.0
Spain,2022-03-20,99.0
Spain,2022-03-27,89.0
Spain,2022-04-03,93.0
Spain,2022-04-10,69.0
