Country,Date,search_index
Switzerland,2020-01-26,90.0
Switzerland,2020-02-02,89.0
Switzerland,2020-02-09,100.0
Switzerland,2020-02-16,97.0
Switzerland,2020-02-23,80.0
Switzerland,2020-03-01,100.0
Switzerland,2020-03-08,78.0
Switzerland,2020-03-15,73.0
Switzerland,2020-03-22,71.0
Switzerland,2020-03-29,84.0
Switzerland,2020-04-05,83.0
Switzerland,2020-04-12,92.0
Switzerland,2020-04-19,84.0
Switzerland,2020-04-26,87.0
Switzerland,2020-05-03,93.0
Switzerland,2020-05-10,88.0
Switzerland,2020-05-17,84.0
Switzerland,2020-05-24,91.0
Switzerland,2020-05-31,86.0
Switzerland,2020-06-07,82.0
Switzerland,2020-06-14,86.0
Switzerland,2020-06-21,84.0
Switzerland,2020-06-28,97.0
Switzerland,2020-07-05,98.0
Switzerland,2020-07-12,91.0
Switzerland,2020-07-19,79.0
Switzerland,2020-07-26,78.0
Switzerland,2020-08-02,73.0
Switzerland,2020-08-09,84.0
Switzerland,2020-08-16,89.0
Switzerland,2020-08-23,85.0
Switzerland,2020-08-30,87.0
Switzerland,2020-09-06,75.0
Switzerland,2020-09-13,90.0
Switzerland,2020-09-20,90.0
Switzerland,2020-09-27,88.0
Switzerland,2020-10-04,94.0
Switzerland,2020-10-11,77.0
Switzerland,2020-10-18,74.0
Switzerland,2020-10-25,71.0
Switzerland,2020-11-01,68.0
Switzerland,2020-11-08,75.0
Switzerland,2020-11-15,83.0
Switzerland,2020-11-22,88.0
Switzerland,2020-11-29,83.0
Switzerland,2020-12-06,84.0
Switzerland,2020-12-13,67.0
Switzerland,2020-12-20,50.0
Switzerland,2020-12-27,50.0
Switzerland,2021-01-03,74.0
Switzerland,2021-01-10,90.0
Switzerland,2021-01-17,75.0
Switzerland,2021-01-24,81.0
Switzerland,2021-01-31,74.0
Switzerland,2021-02-07,66.0
Switzerland,2021-02-14,77.0
Switzerland,2021-02-21,84.0
Switzerland,2021-02-28,73.0
Switzerland,2021-03-07,73.0
Switzerland,2021-03-14,74.0
Switzerland,2021-03-21,69.0
Switzerland,2021-03-28,65.0
Switzerland,2021-04-04,59.0
Switzerland,2021-04-11,65.0
Switzerland,2021-04-18,77.0
Switzerland,2021-04-25,72.0
Switzerland,2021-05-02,80.0
Switzerland,2021-05-09,74.0
Switzerland,2021-05-16,74.0
Switzerland,2021-05-23,79.0
Switzerland,2021-05-30,77.0
Switzerland,2021-06-06,67.0
Switzerland,2021-06-13,63.0
Switzerland,2021-06-20,65.0
Switzerland,2021-06-27,55.0
Switzerland,2021-07-04,53.0
Switzerland,2021-07-11,59.0
Switzerland,2021-07-18,65.0
Switzerland,2021-07-25,57.0
Switzerland,2021-08-01,63.0
Switzerland,2021-08-08,78.0
Switzerland,2021-08-15,62.0
Switzerland,2021-08-22,79.0
Switzerland,2021-08-29,59.0
Switzerland,2021-09-05,69.0
Switzerland,2021-09-12,56.0
Switzerland,2021-09-19,84.0
Switzerland,2021-09-26,72.0
Switzerland,2021-10-03,83.0
Switzerland,2021-10-10,72.0
Switzerland,2021-10-17,83.0
Switzerland,2021-10-24,82.0
Switzerland,2021-10-31,73.0
Switzerland,2021-11-07,77.0
Switzerland,2021-11-14,71.0
Switzerland,2021-11-21,69.0
Switzerland,2021-11-28,75.0
Switzerland,2021-12-05,78.0
Switzerland,2021-12-12,63.0
Switzerland,2021-12-19,62.0
Switzerland,2021-12-26,47.0
Switzerland,2022-01-02,65.0
Switzerland,2022-01-09,72.0
Switzerland,2022-01-16,74.0
Switzerland,2022-01-23,82.0
Switzerland,2022-01-30,80.0
Switzerland,2022-02-06,85.0
Switzerland,2022-02-13,69.0
Switzerland,2022-02-20,89.0
Switzerland,2022-02-27,90.0
Switzerland,2022-03-06,96.0
Switzerland,2022-03-13,88.0
Switzerland,2022-03-20,92.0
Switzerland,2022-03-27,71.0
Switzerland,2022-04-03,76.0
Switzerland,2022-04-10,79.0
