Country,Date,search_index
Turkey,2020-01-26,84.0
Turkey,2020-02-02,79.0
Turkey,2020-02-09,76.0
Turkey,2020-02-16,96.0
Turkey,2020-02-23,86.0
Turkey,2020-03-01,87.0
Turkey,2020-03-08,72.0
Turkey,2020-03-15,70.0
Turkey,2020-03-22,65.0
Turkey,2020-03-29,76.0
Turkey,2020-04-05,88.0
Turkey,2020-04-12,64.0
Turkey,2020-04-19,66.0
Turkey,2020-04-26,71.0
Turkey,2020-05-03,71.0
Turkey,2020-05-10,79.0
Turkey,2020-05-17,73.0
Turkey,2020-05-24,77.0
Turkey,2020-05-31,87.0
Turkey,2020-06-07,99.0
Turkey,2020-06-14,78.0
Turkey,2020-06-21,76.0
Turkey,2020-06-28,82.0
Turkey,2020-07-05,97.0
Turkey,2020-07-12,85.0
Turkey,2020-07-19,97.0
Turkey,2020-07-26,66.0
Turkey,2020-08-02,79.0
Turkey,2020-08-09,76.0
Turkey,2020-08-16,95.0
Turkey,2020-08-23,77.0
Turkey,2020-08-30,90.0
Turkey,2020-09-06,79.0
Turkey,2020-09-13,75.0
Turkey,2020-09-20,81.0
Turkey,2020-09-27,71.0
Turkey,2020-10-04,66.0
Turkey,2020-10-11,84.0
Turkey,2020-10-18,81.0
Turkey,2020-10-25,69.0
Turkey,2020-11-01,77.0
Turkey,2020-11-08,69.0
Turkey,2020-11-15,75.0
Turkey,2020-11-22,76.0
Turkey,2020-11-29,68.0
Turkey,2020-12-06,79.0
Turkey,2020-12-13,79.0
Turkey,2020-12-20,71.0
Turkey,2020-12-27,73.0
Turkey,2021-01-03,73.0
Turkey,2021-01-10,67.0
Turkey,2021-01-17,79.0
Turkey,2021-01-24,80.0
Turkey,2021-01-31,81.0
Turkey,2021-02-07,86.0
Turkey,2021-02-14,77.0
Turkey,2021-02-21,73.0
Turkey,2021-02-28,84.0
Turkey,2021-03-07,80.0
Turkey,2021-03-14,84.0
Turkey,2021-03-21,69.0
Turkey,2021-03-28,72.0
Turkey,2021-04-04,73.0
Turkey,2021-04-11,77.0
Turkey,2021-04-18,66.0
Turkey,2021-04-25,63.0
Turkey,2021-05-02,66.0
Turkey,2021-05-09,70.0
Turkey,2021-05-16,72.0
Turkey,2021-05-23,78.0
Turkey,2021-05-30,84.0
Turkey,2021-06-06,71.0
Turkey,2021-06-13,78.0
Turkey,2021-06-20,94.0
Turkey,2021-06-27,84.0
Turkey,2021-07-04,83.0
Turkey,2021-07-11,74.0
Turkey,2021-07-18,45.0
Turkey,2021-07-25,74.0
Turkey,2021-08-01,77.0
Turkey,2021-08-08,93.0
Turkey,2021-08-15,79.0
Turkey,2021-08-22,73.0
Turkey,2021-08-29,76.0
Turkey,2021-09-05,86.0
Turkey,2021-09-12,100.0
Turkey,2021-09-19,84.0
Turkey,2021-09-26,87.0
Turkey,2021-10-03,85.0
Turkey,2021-10-10,83.0
Turkey,2021-10-17,88.0
Turkey,2021-10-24,76.0
Turkey,2021-10-31,95.0
Turkey,2021-11-07,80.0
Turkey,2021-11-14,70.0
Turkey,2021-11-21,85.0
Turkey,2021-11-28,87.0
Turkey,2021-12-05,82.0
Turkey,2021-12-12,77.0
Turkey,2021-12-19,72.0
Turkey,2021-12-26,64.0
Turkey,2022-01-02,80.0
Turkey,2022-01-09,71.0
Turkey,2022-01-16,75.0
Turkey,2022-01-23,77.0
Turkey,2022-01-30,70.0
Turkey,2022-02-06,86.0
Turkey,2022-02-13,81.0
Turkey,2022-02-20,75.0
Turkey,2022-02-27,87.0
Turkey,2022-03-06,81.0
Turkey,2022-03-13,79.0
Turkey,2022-03-20,83.0
Turkey,2022-03-27,81.0
Turkey,2022-04-03,88.0
Turkey,2022-04-10,77.0
