Country,Date,Search_Index
Australia,2020-01-26,79.0
Australia,2020-02-02,74.0
Australia,2020-02-09,78.0
Australia,2020-02-16,73.0
Australia,2020-02-23,77.0
Australia,2020-03-01,73.0
Australia,2020-03-08,89.0
Australia,2020-03-15,100.0
Australia,2020-03-22,52.0
Australia,2020-03-29,30.0
Australia,2020-04-05,32.0
Australia,2020-04-12,31.0
Australia,2020-04-19,29.0
Australia,2020-04-26,28.0
Australia,2020-05-03,27.0
Australia,2020-05-10,27.0
Australia,2020-05-17,27.0
Australia,2020-05-24,29.0
Australia,2020-05-31,30.0
Australia,2020-06-07,31.0
Australia,2020-06-14,31.0
Australia,2020-06-21,28.0
Australia,2020-06-28,30.0
Australia,2020-07-05,32.0
Australia,2020-07-12,28.0
Australia,2020-07-19,30.0
Australia,2020-07-26,27.0
Australia,2020-08-02,27.0
Australia,2020-08-09,27.0
Australia,2020-08-16,35.0
Australia,2020-08-23,30.0
Australia,2020-08-30,27.0
Australia,2020-09-06,24.0
Australia,2020-09-13,27.0
Australia,2020-09-20,25.0
Australia,2020-09-27,28.0
Australia,2020-10-04,26.0
Australia,2020-10-11,25.0
Australia,2020-10-18,25.0
Australia,2020-10-25,25.0
Australia,2020-11-01,25.0
Australia,2020-11-08,27.0
Australia,2020-11-15,29.0
Australia,2020-11-22,36.0
Australia,2020-11-29,38.0
Australia,2020-12-06,38.0
Australia,2020-12-13,40.0
Australia,2020-12-20,35.0
Australia,2020-12-27,34.0
Australia,2021-01-03,33.0
Australia,2021-01-10,31.0
Australia,2021-01-17,29.0
Australia,2021-01-24,29.0
Australia,2021-01-31,32.0
Australia,2021-02-07,29.0
Australia,2021-02-14,26.0
Australia,2021-02-21,32.0
Australia,2021-02-28,34.0
Australia,2021-03-07,37.0
Australia,2021-03-14,34.0
Australia,2021-03-21,36.0
Australia,2021-03-28,41.0
Australia,2021-04-04,37.0
Australia,2021-04-11,36.0
Australia,2021-04-18,37.0
Australia,2021-04-25,34.0
Australia,2021-05-02,35.0
Australia,2021-05-09,34.0
Australia,2021-05-16,34.0
Australia,2021-05-23,34.0
Australia,2021-05-30,32.0
Australia,2021-06-06,30.0
Australia,2021-06-13,32.0
Australia,2021-06-20,35.0
Australia,2021-06-27,30.0
Australia,2021-07-04,29.0
Australia,2021-07-11,30.0
Australia,2021-07-18,27.0
Australia,2021-07-25,27.0
Australia,2021-08-01,24.0
Australia,2021-08-08,22.0
Australia,2021-08-15,23.0
Australia,2021-08-22,24.0
Australia,2021-08-29,23.0
Australia,2021-09-05,27.0
Australia,2021-09-12,28.0
Australia,2021-09-19,28.0
Australia,2021-09-26,30.0
Australia,2021-10-03,33.0
Australia,2021-10-10,32.0
Australia,2021-10-17,35.0
Australia,2021-10-24,36.0
Australia,2021-10-31,38.0
Australia,2021-11-07,37.0
Australia,2021-11-14,39.0
Australia,2021-11-21,39.0
Australia,2021-11-28,38.0
Australia,2021-12-05,37.0
Australia,2021-12-12,42.0
Australia,2021-12-19,45.0
Australia,2021-12-26,41.0
Australia,2022-01-02,39.0
Australia,2022-01-09,38.0
Australia,2022-01-16,40.0
Australia,2022-01-23,38.0
Australia,2022-01-30,43.0
Australia,2022-02-06,45.0
Australia,2022-02-13,47.0
Australia,2022-02-20,56.0
Australia,2022-02-27,50.0
Australia,2022-03-06,50.0
Australia,2022-03-13,54.0
Australia,2022-03-20,58.0
Australia,2022-03-27,57.0
Australia,2022-04-03,70.0
Australia,2022-04-10,67.0
Belgium,2020-01-26,76.0
Belgium,2020-02-02,82.0
Belgium,2020-02-09,87.0
Belgium,2020-02-16,84.0
Belgium,2020-02-23,71.0
Belgium,2020-03-01,67.0
Belgium,2020-03-08,79.0
Belgium,2020-03-15,63.0
Belgium,2020-03-22,46.0
Belgium,2020-03-29,44.0
Belgium,2020-04-05,46.0
Belgium,2020-04-12,40.0
Belgium,2020-04-19,40.0
Belgium,2020-04-26,39.0
Belgium,2020-05-03,34.0
Belgium,2020-05-10,30.0
Belgium,2020-05-17,40.0
Belgium,2020-05-24,40.0
Belgium,2020-05-31,39.0
Belgium,2020-06-07,36.0
Belgium,2020-06-14,42.0
Belgium,2020-06-21,45.0
Belgium,2020-06-28,44.0
Belgium,2020-07-05,44.0
Belgium,2020-07-12,44.0
Belgium,2020-07-19,56.0
Belgium,2020-07-26,49.0
Belgium,2020-08-02,53.0
Belgium,2020-08-09,57.0
Belgium,2020-08-16,100.0
Belgium,2020-08-23,76.0
Belgium,2020-08-30,56.0
Belgium,2020-09-06,50.0
Belgium,2020-09-13,36.0
Belgium,2020-09-20,43.0
Belgium,2020-09-27,39.0
Belgium,2020-10-04,48.0
Belgium,2020-10-11,31.0
Belgium,2020-10-18,38.0
Belgium,2020-10-25,31.0
Belgium,2020-11-01,29.0
Belgium,2020-11-08,36.0
Belgium,2020-11-15,33.0
Belgium,2020-11-22,36.0
Belgium,2020-11-29,39.0
Belgium,2020-12-06,43.0
Belgium,2020-12-13,41.0
Belgium,2020-12-20,39.0
Belgium,2020-12-27,41.0
Belgium,2021-01-03,39.0
Belgium,2021-01-10,35.0
Belgium,2021-01-17,39.0
Belgium,2021-01-24,31.0
Belgium,2021-01-31,30.0
Belgium,2021-02-07,30.0
Belgium,2021-02-14,34.0
Belgium,2021-02-21,34.0
Belgium,2021-02-28,34.0
Belgium,2021-03-07,34.0
Belgium,2021-03-14,39.0
Belgium,2021-03-21,36.0
Belgium,2021-03-28,33.0
Belgium,2021-04-04,30.0
Belgium,2021-04-11,35.0
Belgium,2021-04-18,45.0
Belgium,2021-04-25,42.0
Belgium,2021-05-02,38.0
Belgium,2021-05-09,45.0
Belgium,2021-05-16,46.0
Belgium,2021-05-23,54.0
Belgium,2021-05-30,54.0
Belgium,2021-06-06,48.0
Belgium,2021-06-13,66.0
Belgium,2021-06-20,54.0
Belgium,2021-06-27,61.0
Belgium,2021-07-04,64.0
Belgium,2021-07-11,66.0
