Country,Date,Search_Index
Australia,2020-01-26,51.0
Australia,2020-02-02,52.0
Australia,2020-02-09,49.0
Australia,2020-02-16,47.0
Australia,2020-02-23,72.0
Australia,2020-03-01,80.0
Australia,2020-03-08,100.0
Australia,2020-03-15,95.0
Australia,2020-03-22,49.0
Australia,2020-03-29,29.0
Australia,2020-04-05,31.0
Australia,2020-04-12,27.0
Australia,2020-04-19,25.0
Australia,2020-04-26,26.0
Australia,2020-05-03,31.0
Australia,2020-05-10,40.0
Australia,2020-05-17,37.0
Australia,2020-05-24,35.0
Australia,2020-05-31,31.0
Australia,2020-06-07,29.0
Australia,2020-06-14,31.0
Australia,2020-06-21,31.0
Australia,2020-06-28,30.0
Australia,2020-07-05,31.0
Australia,2020-07-12,25.0
Australia,2020-07-19,26.0
Australia,2020-07-26,26.0
Australia,2020-08-02,28.0
Australia,2020-08-09,25.0
Australia,2020-08-16,25.0
Australia,2020-08-23,25.0
Australia,2020-08-30,24.0
Australia,2020-09-06,26.0
Australia,2020-09-13,26.0
Australia,2020-09-20,25.0
Australia,2020-09-27,31.0
Australia,2020-10-04,26.0
Australia,2020-10-11,28.0
Australia,2020-10-18,28.0
Australia,2020-10-25,27.0
Australia,2020-11-01,25.0
Australia,2020-11-08,26.0
Australia,2020-11-15,28.0
Australia,2020-11-22,27.0
Australia,2020-11-29,27.0
Australia,2020-12-06,38.0
Australia,2020-12-13,33.0
Australia,2020-12-20,35.0
Australia,2020-12-27,33.0
Australia,2021-01-03,34.0
Australia,2021-01-10,32.0
Australia,2021-01-17,36.0
Australia,2021-01-24,30.0
Australia,2021-01-31,32.0
Australia,2021-02-07,32.0
Australia,2021-02-14,29.0
Australia,2021-02-21,29.0
Australia,2021-02-28,27.0
Australia,2021-03-07,33.0
Australia,2021-03-14,28.0
Australia,2021-03-21,30.0
Australia,2021-03-28,41.0
Australia,2021-04-04,33.0
Australia,2021-04-11,30.0
Australia,2021-04-18,31.0
Australia,2021-04-25,30.0
Australia,2021-05-02,31.0
Australia,2021-05-09,30.0
Australia,2021-05-16,27.0
Australia,2021-05-23,35.0
Australia,2021-05-30,31.0
Australia,2021-06-06,37.0
Australia,2021-06-13,45.0
Australia,2021-06-20,67.0
Australia,2021-06-27,60.0
Australia,2021-07-04,45.0
Australia,2021-07-11,40.0
Australia,2021-07-18,36.0
Australia,2021-07-25,33.0
Australia,2021-08-01,33.0
Australia,2021-08-08,36.0
Australia,2021-08-15,40.0
Australia,2021-08-22,37.0
Australia,2021-08-29,34.0
Australia,2021-09-05,35.0
Australia,2021-09-12,36.0
Australia,2021-09-19,37.0
Australia,2021-09-26,48.0
Australia,2021-10-03,43.0
Australia,2021-10-10,51.0
Australia,2021-10-17,54.0
Australia,2021-10-24,56.0
Australia,2021-10-31,47.0
Australia,2021-11-07,41.0
Australia,2021-11-14,43.0
Australia,2021-11-21,50.0
Australia,2021-11-28,42.0
Australia,2021-12-05,41.0
Australia,2021-12-12,50.0
Australia,2021-12-19,45.0
Australia,2021-12-26,42.0
Australia,2022-01-02,38.0
Australia,2022-01-09,33.0
Australia,2022-01-16,35.0
Australia,2022-01-23,33.0
Australia,2022-01-30,34.0
Australia,2022-02-06,37.0
Australia,2022-02-13,34.0
Australia,2022-02-20,36.0
Australia,2022-02-27,34.0
Australia,2022-03-06,36.0
Australia,2022-03-13,40.0
Australia,2022-03-20,48.0
Australia,2022-03-27,44.0
Australia,2022-04-03,48.0
Australia,2022-04-10,46.0
Brazil,2020-01-26,91.0
Brazil,2020-02-02,86.0
Brazil,2020-02-09,89.0
Brazil,2020-02-16,89.0
Brazil,2020-02-23,95.0
Brazil,2020-03-01,99.0
Brazil,2020-03-08,100.0
Brazil,2020-03-15,81.0
Brazil,2020-03-22,59.0
Brazil,2020-03-29,60.0
Brazil,2020-04-05,52.0
Brazil,2020-04-12,62.0
Brazil,2020-04-19,59.0
Brazil,2020-04-26,55.0
Brazil,2020-05-03,58.0
Brazil,2020-05-10,61.0
Brazil,2020-05-17,62.0
Brazil,2020-05-24,60.0
Brazil,2020-05-31,54.0
Brazil,2020-06-07,61.0
Brazil,2020-06-14,61.0
Brazil,2020-06-21,64.0
Brazil,2020-06-28,63.0
Brazil,2020-07-05,59.0
Brazil,2020-07-12,60.0
Brazil,2020-07-19,63.0
Brazil,2020-07-26,65.0
Brazil,2020-08-02,67.0
Brazil,2020-08-09,62.0
Brazil,2020-08-16,63.0
Brazil,2020-08-23,67.0
Brazil,2020-08-30,68.0
Brazil,2020-09-06,66.0
Brazil,2020-09-13,61.0
Brazil,2020-09-20,76.0
Brazil,2020-09-27,77.0
Brazil,2020-10-04,78.0
Brazil,2020-10-11,74.0
Brazil,2020-10-18,82.0
Brazil,2020-10-25,80.0
Brazil,2020-11-01,79.0
Brazil,2020-11-08,84.0
Brazil,2020-11-15,62.0
Brazil,2020-11-22,74.0
Brazil,2020-11-29,65.0
Brazil,2020-12-06,65.0
Brazil,2020-12-13,63.0
Brazil,2020-12-20,63.0
Brazil,2020-12-27,68.0
Brazil,2021-01-03,65.0
Brazil,2021-01-10,79.0
Brazil,2021-01-17,73.0
Brazil,2021-01-24,74.0
Brazil,2021-01-31,62.0
Brazil,2021-02-07,66.0
Brazil,2021-02-14,66.0
Brazil,2021-02-21,60.0
Brazil,2021-02-28,65.0
Brazil,2021-03-07,60.0
Brazil,2021-03-14,56.0
Brazil,2021-03-21,62.0
Brazil,2021-03-28,60.0
Brazil,2021-04-04,60.0
Brazil,2021-04-11,63.0
Brazil,2021-04-18,68.0
Brazil,2021-04-25,75.0
Brazil,2021-05-02,60.0
Brazil,2021-05-09,66.0
Brazil,2021-05-16,67.0
Brazil,2021-05-23,69.0
Brazil,2021-05-30,66.0
Brazil,2021-06-06,68.0
Brazil,2021-06-13,73.0
Brazil,2021-06-20,71.0
Brazil,2021-06-27,71.0
Brazil,2021-07-04,67.0
Brazil,2021-07-11,63.0
Brazil,2021-07-18,74.0
Brazil,2021-07-25,64.0
Brazil,2021-08-01,71.0
Brazil,2021-08-08,68.0
Brazil,2021-08-15,70.0
Brazil,2021-08-22,68.0
Brazil,2021-08-29,74.0
Brazil,2021-09-05,75.0
Brazil,2021-09-12,80.0
Brazil,2021-09-19,75.0
Brazil,2021-09-26,76.0
Brazil,2021-10-03,76.0
Brazil,2021-10-10,72.0
Brazil,2021-10-17,70.0
Brazil,2021-10-24,85.0
Brazil,2021-10-31,74.0
Brazil,2021-11-07,85.0
Brazil,2021-11-14,79.0
Brazil,2021-11-21,83.0
Brazil,2021-11-28,87.0
Brazil,2021-12-05,80.0
Brazil,2021-12-12,72.0
Brazil,2021-12-19,72.0
Brazil,2021-12-26,75.0
Brazil,2022-01-02,79.0
Brazil,2022-01-09,81.0
Brazil,2022-01-16,77.0
Brazil,2022-01-23,77.0
Brazil,2022-01-30,83.0
Brazil,2022-02-06,77.0
Brazil,2022-02-13,82.0
Brazil,2022-02-20,78.0
Brazil,2022-02-27,74.0
Brazil,2022-03-06,78.0
Brazil,2022-03-13,83.0
Brazil,2022-03-20,79.0
Brazil,2022-03-27,75.0
Brazil,2022-04-03,81.0
Brazil,2022-04-10,80.0
Canada,2020-01-26,37.0
Canada,2020-02-02,37.0
Canada,2020-02-09,34.0
Canada,2020-02-16,36.0
Canada,2020-02-23,46.0
Canada,2020-03-01,53.0
Canada,2020-03-08,100.0
Canada,2020-03-15,50.0
Canada,2020-03-22,21.0
Canada,2020-03-29,17.0
Canada,2020-04-05,16.0
Canada,2020-04-12,17.0
Canada,2020-04-19,16.0
Canada,2020-04-26,17.0
Canada,2020-05-03,20.0
Canada,2020-05-10,21.0
Canada,2020-05-17,24.0
Canada,2020-05-24,23.0
Canada,2020-05-31,27.0
Canada,2020-06-07,29.0
Canada,2020-06-14,29.0
Canada,2020-06-21,30.0
Canada,2020-06-28,33.0
Canada,2020-07-05,27.0
Canada,2020-07-12,28.0
Canada,2020-07-19,26.0
Canada,2020-07-26,25.0
Canada,2020-08-02,27.0
Canada,2020-08-09,25.0
Canada,2020-08-16,22.0
Canada,2020-08-23,22.0
Canada,2020-08-30,21.0
Canada,2020-09-06,20.0
Canada,2020-09-13,20.0
Canada,2020-09-20,19.0
Canada,2020-09-27,20.0
Canada,2020-10-04,19.0
Canada,2020-10-11,20.0
Canada,2020-10-18,20.0
Canada,2020-10-25,19.0
Canada,2020-11-01,16.0
Canada,2020-11-08,19.0
Canada,2020-11-15,22.0
Canada,2020-11-22,20.0
Canada,2020-11-29,19.0
Canada,2020-12-06,21.0
Canada,2020-12-13,20.0
Canada,2020-12-20,20.0
Canada,2020-12-27,21.0
Canada,2021-01-03,22.0
Canada,2021-01-10,20.0
Canada,2021-01-17,22.0
Canada,2021-01-24,35.0
Canada,2021-01-31,22.0
Canada,2021-02-07,19.0
Canada,2021-02-14,18.0
Canada,2021-02-21,19.0
Canada,2021-02-28,19.0
Canada,2021-03-07,19.0
Canada,2021-03-14,20.0
Canada,2021-03-21,20.0
Canada,2021-03-28,20.0
Canada,2021-04-04,21.0
Canada,2021-04-11,22.0
Canada,2021-04-18,38.0
Canada,2021-04-25,23.0
Canada,2021-05-02,23.0
