CountryName,Date,new_cases,Search Index
Australia,2020-01-26,12.0,3.0
Australia,2020-02-02,3.0,2.0
Australia,2020-02-09,0.0,5.0
Australia,2020-02-16,0.0,6.0
Australia,2020-02-23,10.0,5.0
Australia,2020-03-01,38.0,8.0
Australia,2020-03-08,187.0,24.0
Australia,2020-03-15,821.0,100.0
Australia,2020-03-22,2569.0,100.0
Australia,2020-03-29,1910.0,92.0
Australia,2020-04-05,753.0,82.0
Australia,2020-04-12,265.0,52.0
Australia,2020-04-19,126.0,36.0
Australia,2020-04-26,105.0,33.0
Australia,2020-05-03,140.0,21.0
Australia,2020-05-10,105.0,22.0
Australia,2020-05-17,70.0,28.0
Australia,2020-05-24,78.0,31.0
Australia,2020-05-31,67.0,27.0
Australia,2020-06-07,61.0,20.0
Australia,2020-06-14,141.0,25.0
Australia,2020-06-21,225.0,28.0
Australia,2020-06-28,757.0,31.0
Australia,2020-07-05,1354.0,30.0
Australia,2020-07-12,2005.0,40.0
Australia,2020-07-19,2601.0,41.0
Australia,2020-07-26,3492.0,27.0
Australia,2020-08-02,3189.0,22.0
Australia,2020-08-09,2203.0,22.0
Australia,2020-08-16,1524.0,29.0
Australia,2020-08-23,859.0,23.0
Australia,2020-08-30,608.0,20.0
Australia,2020-09-06,373.0,24.0
Australia,2020-09-13,247.0,17.0
Australia,2020-09-20,142.0,22.0
Australia,2020-09-27,95.0,16.0
Australia,2020-10-04,128.0,16.0
Australia,2020-10-11,127.0,18.0
Australia,2020-10-18,123.0,21.0
Australia,2020-10-25,82.0,35.0
Australia,2020-11-01,63.0,14.0
Australia,2020-11-08,53.0,19.0
Australia,2020-11-15,110.0,15.0
Australia,2020-11-22,71.0,17.0
Australia,2020-11-29,73.0,12.0
Australia,2020-12-06,65.0,13.0
Australia,2020-12-13,138.0,20.0
Australia,2020-12-20,140.0,7.0
Australia,2020-12-27,176.0,6.0
Australia,2021-01-03,111.0,7.0
Australia,2021-01-10,113.0,15.0
Australia,2021-01-17,58.0,12.0
Australia,2021-01-24,45.0,12.0
Australia,2021-01-31,40.0,22.0
Australia,2021-02-07,47.0,19.0
Australia,2021-02-14,28.0,12.0
Australia,2021-02-21,44.0,5.0
Australia,2021-02-28,64.0,11.0
Australia,2021-03-07,83.0,15.0
Australia,2021-03-14,79.0,10.0
Australia,2021-03-21,63.0,12.0
Australia,2021-03-28,89.0,14.0
Australia,2021-04-04,57.0,7.0
Australia,2021-04-11,114.0,13.0
Australia,2021-04-18,144.0,12.0
Australia,2021-04-25,161.0,16.0
Australia,2021-05-02,98.0,16.0
Australia,2021-05-09,53.0,15.0
Australia,2021-05-16,32.0,15.0
Australia,2021-05-23,89.0,20.0
Australia,2021-05-30,77.0,22.0
Australia,2021-06-06,75.0,21.0
Australia,2021-06-13,83.0,19.0
Australia,2021-06-20,168.0,21.0
Australia,2021-06-27,254.0,45.0
Australia,2021-07-04,347.0,42.0
Australia,2021-07-11,799.0,44.0
Australia,2021-07-18,1019.0,47.0
Australia,2021-07-25,1465.0,38.0
Australia,2021-08-01,1945.0,44.0
Australia,2021-08-08,2769.0,25.0
Australia,2021-08-15,4929.0,35.0
Australia,2021-08-22,7230.0,22.0
Australia,2021-08-29,10363.0,24.0
Australia,2021-09-05,11984.0,21.0
Australia,2021-09-12,12025.0,25.0
Australia,2021-09-19,11931.0,25.0
Australia,2021-09-26,13829.0,27.0
Australia,2021-10-03,16083.0,16.0
Australia,2021-10-10,15733.0,33.0
Australia,2021-10-17,15342.0,20.0
Australia,2021-10-24,12018.0,27.0
Australia,2021-10-31,9750.0,20.0
Australia,2021-11-07,9294.0,21.0
Australia,2021-11-14,8834.0,22.0
Australia,2021-11-21,9542.0,21.0
Australia,2021-11-28,9852.0,17.0
Australia,2021-12-05,11089.0,21.0
Australia,2021-12-12,21726.0,17.0
Australia,2021-12-19,49943.0,13.0
Australia,2021-12-26,162361.0,14.0
Australia,2022-01-02,509502.0,40.0
Australia,2022-01-09,753659.0,44.0
Australia,2022-01-16,470754.0,31.0
Australia,2022-01-23,373653.0,27.0
Australia,2022-01-30,183593.0,20.0
Australia,2022-02-06,175034.0,27.0
Australia,2022-02-13,130918.0,31.0
Australia,2022-02-20,157479.0,34.0
Australia,2022-02-27,173918.0,24.0
Australia,2022-03-06,234431.0,31.0
Australia,2022-03-13,303672.0,29.0
Australia,2022-03-20,375072.0,23.0
Australia,2022-03-27,401050.0,26.0
Australia,2022-04-03,383382.0,19.0
Australia,2022-04-10,249216.0,14.0
Belgium,2020-01-26,0.0,32.0
Belgium,2020-02-02,1.0,0.0
Belgium,2020-02-09,0.0,16.0
Belgium,2020-02-16,0.0,0.0
Belgium,2020-02-23,0.0,0.0
Belgium,2020-03-01,168.0,0.0
Belgium,2020-03-08,520.0,31.0
Belgium,2020-03-15,2126.0,62.0
Belgium,2020-03-22,6319.0,75.0
Belgium,2020-03-29,9297.0,29.0
Belgium,2020-04-05,9587.0,46.0
Belgium,2020-04-12,9165.0,59.0
Belgium,2020-04-19,8142.0,29.0
Belgium,2020-04-26,4192.0,100.0
Belgium,2020-05-03,3079.0,0.0
Belgium,2020-05-10,2393.0,43.0
Belgium,2020-05-17,1821.0,30.0
Belgium,2020-05-24,1376.0,15.0
Belgium,2020-05-31,886.0,0.0
Belgium,2020-06-07,846.0,55.0
Belgium,2020-06-14,632.0,0.0
Belgium,2020-06-21,659.0,30.0
Belgium,2020-06-28,629.0,15.0
Belgium,2020-07-05,631.0,16.0
Belgium,2020-07-12,1237.0,16.0
Belgium,2020-07-19,2021.0,17.0
Belgium,2020-07-26,3675.0,0.0
Belgium,2020-08-02,3999.0,48.0
Belgium,2020-08-09,4468.0,15.0
Belgium,2020-08-16,3599.0,0.0
Belgium,2020-08-23,3131.0,46.0
Belgium,2020-08-30,3226.0,16.0
Belgium,2020-09-06,4653.0,0.0
Belgium,2020-09-13,8270.0,16.0
Belgium,2020-09-20,12055.0,31.0
Belgium,2020-09-27,14820.0,15.0
Belgium,2020-10-04,29308.0,0.0
Belgium,2020-10-11,56184.0,17.0
Belgium,2020-10-18,92294.0,66.0
Belgium,2020-10-25,123820.0,16.0
Belgium,2020-11-01,64939.0,0.0
Belgium,2020-11-08,37112.0,47.0
Belgium,2020-11-15,25624.0,0.0
Belgium,2020-11-22,17544.0,0.0
Belgium,2020-11-29,15494.0,0.0
Belgium,2020-12-06,13217.0,0.0
Belgium,2020-12-13,20601.0,16.0
Belgium,2020-12-20,14270.0,17.0
Belgium,2020-12-27,11139.0,34.0
Belgium,2021-01-03,13525.0,16.0
Belgium,2021-01-10,14515.0,16.0
Belgium,2021-01-17,14645.0,0.0
Belgium,2021-01-24,15983.0,0.0
Belgium,2021-01-31,16033.0,31.0
Belgium,2021-02-07,13245.0,16.0
Belgium,2021-02-14,15264.0,16.0
Belgium,2021-02-21,17035.0,0.0
Belgium,2021-02-28,16395.0,16.0
Belgium,2021-03-07,19512.0,0.0
Belgium,2021-03-14,22620.0,30.0
Belgium,2021-03-21,38122.0,16.0
Belgium,2021-03-28,31411.0,0.0
Belgium,2021-04-04,25013.0,32.0
Belgium,2021-04-11,24513.0,0.0
Belgium,2021-04-18,25041.0,0.0
Belgium,2021-04-25,21393.0,16.0
Belgium,2021-05-02,20917.0,0.0
Belgium,2021-05-09,15720.0,33.0
Belgium,2021-05-16,17057.0,0.0
Belgium,2021-05-23,12635.0,0.0
Belgium,2021-05-30,10111.0,33.0
Belgium,2021-06-06,5891.0,0.0
Belgium,2021-06-13,3319.0,0.0
Belgium,2021-06-20,3392.0,32.0
Belgium,2021-06-27,4032.0,33.0
Belgium,2021-07-04,7192.0,0.0
Belgium,2021-07-11,9713.0,0.0
Belgium,2021-07-18,10052.0,0.0
Belgium,2021-07-25,11250.0,0.0
Belgium,2021-08-01,12011.0,0.0
Belgium,2021-08-08,13143.0,0.0
Belgium,2021-08-15,13857.0,0.0
Belgium,2021-08-22,14183.0,0.0
Belgium,2021-08-29,14099.0,0.0
Belgium,2021-09-05,13508.0,20.0
Belgium,2021-09-12,14298.0,0.0
Belgium,2021-09-19,13909.0,0.0
Belgium,2021-09-26,13474.0,0.0
Belgium,2021-10-03,13905.0,19.0
Belgium,2021-10-10,18767.0,0.0
Belgium,2021-10-17,32491.0,37.0
Belgium,2021-10-24,48290.0,37.0
Belgium,2021-10-31,53813.0,38.0
Belgium,2021-11-07,70249.0,19.0
Belgium,2021-11-14,96788.0,0.0
Belgium,2021-11-21,120133.0,18.0
Belgium,2021-11-28,125834.0,0.0
Belgium,2021-12-05,102305.0,0.0
Belgium,2021-12-12,69992.0,0.0
Belgium,2021-12-19,38347.0,0.0
Belgium,2021-12-26,67232.0,0.0
Belgium,2022-01-02,126343.0,20.0
Belgium,2022-01-09,179045.0,59.0
Belgium,2022-01-16,286508.0,0.0
Belgium,2022-01-23,358686.0,58.0
Belgium,2022-01-30,240113.0,0.0
Belgium,2022-02-06,125043.0,0.0
Belgium,2022-02-13,73142.0,20.0
Belgium,2022-02-20,49811.0,0.0
Belgium,2022-02-27,42258.0,21.0
Belgium,2022-03-06,53760.0,0.0
Belgium,2022-03-13,67509.0,40.0
Belgium,2022-03-20,74524.0,62.0
Belgium,2022-03-27,68963.0,39.0
Belgium,2022-04-03,64684.0,0.0
Belgium,2022-04-10,57231.0,0.0
Brazil,2020-01-26,0.0,0.0
Brazil,2020-02-02,0.0,6.0
Brazil,2020-02-09,0.0,6.0
Brazil,2020-02-16,0.0,6.0
Brazil,2020-02-23,2.0,12.0
Brazil,2020-03-01,11.0,11.0
Brazil,2020-03-08,138.0,28.0
Brazil,2020-03-15,870.0,100.0
Brazil,2020-03-22,2883.0,49.0
Brazil,2020-03-29,6456.0,26.0
Brazil,2020-04-05,10367.0,32.0
Brazil,2020-04-12,15931.0,26.0
Brazil,2020-04-19,22666.0,21.0
Brazil,2020-04-26,37776.0,21.0
Brazil,2020-05-03,58961.0,30.0
Brazil,2020-05-10,77450.0,36.0
Brazil,2020-05-17,118054.0,20.0
Brazil,2020-05-24,151349.0,31.0
Brazil,2020-05-31,173979.0,10.0
Brazil,2020-06-07,175018.0,10.0
Brazil,2020-06-14,254421.0,15.0
Brazil,2020-06-21,232020.0,5.0
Brazil,2020-06-28,261946.0,21.0
Brazil,2020-07-05,263816.0,22.0
Brazil,2020-07-12,233669.0,11.0
Brazil,2020-07-19,321006.0,22.0
Brazil,2020-07-26,312999.0,28.0
Brazil,2020-08-02,306405.0,6.0
Brazil,2020-08-09,301711.0,11.0
Brazil,2020-08-16,266478.0,32.0
Brazil,2020-08-23,263484.0,5.0
Brazil,2020-08-30,275746.0,11.0
Brazil,2020-09-06,193155.0,11.0
Brazil,2020-09-13,212174.0,16.0
Brazil,2020-09-20,189813.0,27.0
Brazil,2020-09-27,188016.0,16.0
Brazil,2020-10-04,175539.0,50.0
Brazil,2020-10-11,141828.0,0.0
Brazil,2020-10-18,158001.0,12.0
Brazil,2020-10-25,153421.0,6.0
Brazil,2020-11-01,118124.0,0.0
Brazil,2020-11-08,195502.0,6.0
Brazil,2020-11-15,204746.0,0.0
Brazil,2020-11-22,241123.0,16.0
Brazil,2020-11-29,283259.0,11.0
Brazil,2020-12-06,304265.0,23.0
Brazil,2020-12-13,333359.0,17.0
Brazil,2020-12-20,251400.0,20.0
Brazil,2020-12-27,249783.0,0.0
Brazil,2021-01-03,361767.0,18.0
Brazil,2021-01-10,379896.0,6.0
Brazil,2021-01-17,360828.0,0.0
Brazil,2021-01-24,358806.0,12.0
Brazil,2021-01-31,322189.0,6.0
Brazil,2021-02-07,314475.0,6.0
Brazil,2021-02-14,327047.0,6.0
Brazil,2021-02-21,380394.0,11.0
Brazil,2021-02-28,421775.0,40.0
Brazil,2021-03-07,500915.0,11.0
Brazil,2021-03-14,511398.0,0.0
Brazil,2021-03-21,539839.0,0.0
Brazil,2021-03-28,461242.0,0.0
Brazil,2021-04-04,492037.0,6.0
Brazil,2021-04-11,460227.0,0.0
Brazil,2021-04-18,403161.0,11.0
Brazil,2021-04-25,418076.0,5.0
Brazil,2021-05-02,425079.0,16.0
Brazil,2021-05-09,440670.0,6.0
Brazil,2021-05-16,456144.0,0.0
Brazil,2021-05-23,424543.0,6.0
Brazil,2021-05-30,434152.0,12.0
Brazil,2021-06-06,471968.0,0.0
Brazil,2021-06-13,503215.0,11.0
Brazil,2021-06-20,503991.0,11.0
Brazil,2021-06-27,355573.0,11.0
Brazil,2021-07-04,325967.0,6.0
Brazil,2021-07-11,289386.0,11.0
Brazil,2021-07-18,310937.0,0.0
Brazil,2021-07-25,247125.0,0.0
Brazil,2021-08-01,233949.0,11.0
Brazil,2021-08-08,198496.0,34.0
Brazil,2021-08-15,206682.0,28.0
Brazil,2021-08-22,173013.0,12.0
Brazil,2021-08-29,147610.0,13.0
Brazil,2021-09-05,113659.0,14.0
Brazil,2021-09-12,114140.0,0.0
Brazil,2021-09-19,123868.0,20.0
Brazil,2021-09-26,104369.0,7.0
Brazil,2021-10-03,109317.0,20.0
Brazil,2021-10-10,70423.0,7.0
Brazil,2021-10-17,86734.0,26.0
Brazil,2021-10-24,79211.0,13.0
Brazil,2021-10-31,70402.0,13.0
Brazil,2021-11-07,78827.0,13.0
Brazil,2021-11-14,58715.0,13.0
Brazil,2021-11-21,65394.0,31.0
Brazil,2021-11-28,60552.0,25.0
Brazil,2021-12-05,49480.0,7.0
Brazil,2021-12-12,24247.0,7.0
Brazil,2021-12-19,22185.0,8.0
Brazil,2021-12-26,57324.0,0.0
Brazil,2022-01-02,203904.0,34.0
Brazil,2022-01-09,482326.0,20.0
Brazil,2022-01-16,949758.0,7.0
Brazil,2022-01-23,1324589.0,19.0
Brazil,2022-01-30,1228348.0,26.0
Brazil,2022-02-06,949740.0,26.0
Brazil,2022-02-13,743081.0,19.0
Brazil,2022-02-20,572185.0,13.0
Brazil,2022-02-27,291248.0,27.0
Brazil,2022-03-06,320224.0,0.0
Brazil,2022-03-13,263411.0,6.0
Brazil,2022-03-20,214668.0,6.0
Brazil,2022-03-27,156472.0,17.0
Brazil,2022-04-03,151194.0,16.0
Brazil,2022-04-10,87255.0,12.0
Canada,2020-01-26,1.0,6.0
Canada,2020-02-02,4.0,2.0
Canada,2020-02-09,1.0,4.0
Canada,2020-02-16,5.0,2.0
Canada,2020-02-23,19.0,6.0
Canada,2020-03-01,65.0,11.0
Canada,2020-03-08,355.0,49.0
Canada,2020-03-15,1742.0,100.0
Canada,2020-03-22,5115.0,69.0
Canada,2020-03-29,9100.0,49.0
Canada,2020-04-05,9214.0,28.0
Canada,2020-04-12,11993.0,35.0
Canada,2020-04-19,11879.0,30.0
Canada,2020-04-26,10885.0,18.0
Canada,2020-05-03,9163.0,19.0
Canada,2020-05-10,7942.0,26.0
Canada,2020-05-17,7664.0,29.0
Canada,2020-05-24,6187.0,25.0
Canada,2020-05-31,4468.0,15.0
Canada,2020-06-07,3001.0,17.0
Canada,2020-06-14,2535.0,22.0
Canada,2020-06-21,2324.0,23.0
Canada,2020-06-28,2060.0,13.0
Canada,2020-07-05,2065.0,18.0
Canada,2020-07-12,2983.0,24.0
Canada,2020-07-19,3399.0,22.0
Canada,2020-07-26,2968.0,19.0
Canada,2020-08-02,2512.0,14.0
Canada,2020-08-09,2617.0,20.0
Canada,2020-08-16,2791.0,15.0
Canada,2020-08-23,3223.0,19.0
Canada,2020-08-30,4085.0,12.0
Canada,2020-09-06,5268.0,13.0
Canada,2020-09-13,7201.0,18.0
Canada,2020-09-20,10109.0,16.0
Canada,2020-09-27,13426.0,21.0
Canada,2020-10-04,14958.0,18.0
Canada,2020-10-11,16147.0,22.0
Canada,2020-10-18,17877.0,23.0
Canada,2020-10-25,20490.0,20.0
Canada,2020-11-01,26480.0,21.0
Canada,2020-11-08,32244.0,22.0
Canada,2020-11-15,33977.0,17.0
Canada,2020-11-22,39796.0,18.0
Canada,2020-11-29,44830.0,24.0
Canada,2020-12-06,46127.0,14.0
Canada,2020-12-13,48459.0,23.0
Canada,2020-12-20,44564.0,17.0
Canada,2020-12-27,48075.0,19.0
Canada,2021-01-03,60792.0,12.0
Canada,2021-01-10,47487.0,19.0
Canada,2021-01-17,37892.0,17.0
Canada,2021-01-24,31146.0,22.0
Canada,2021-01-31,25309.0,14.0
Canada,2021-02-07,21849.0,19.0
Canada,2021-02-14,20185.0,23.0
Canada,2021-02-21,20834.0,25.0
Canada,2021-02-28,20863.0,26.0
Canada,2021-03-07,22401.0,18.0
Canada,2021-03-14,24989.0,17.0
Canada,2021-03-21,32135.0,10.0
Canada,2021-03-28,39324.0,16.0
Canada,2021-04-04,57266.0,16.0
Canada,2021-04-11,60968.0,21.0
Canada,2021-04-18,57357.0,16.0
Canada,2021-04-25,55109.0,28.0
Canada,2021-05-02,51382.0,14.0
Canada,2021-05-09,42323.0,16.0
Canada,2021-05-16,31013.0,18.0
Canada,2021-05-23,19870.0,17.0
Canada,2021-05-30,13696.0,19.0
Canada,2021-06-06,9547.0,11.0
Canada,2021-06-13,6792.0,12.0
Canada,2021-06-20,4530.0,10.0
Canada,2021-06-27,3610.0,11.0
Canada,2021-07-04,3235.0,11.0
Canada,2021-07-11,2572.0,10.0
Canada,2021-07-18,3112.0,15.0
Canada,2021-07-25,4983.0,12.0
Canada,2021-08-01,7773.0,22.0
Canada,2021-08-08,12754.0,13.0
Canada,2021-08-15,16811.0,10.0
Canada,2021-08-22,20960.0,12.0
Canada,2021-08-29,25015.0,12.0
Canada,2021-09-05,26318.0,10.0
Canada,2021-09-12,31929.0,11.0
Canada,2021-09-19,28743.0,16.0
Canada,2021-09-26,30831.0,10.0
Canada,2021-10-03,26146.0,16.0
Canada,2021-10-10,21095.0,12.0
Canada,2021-10-17,18981.0,18.0
Canada,2021-10-24,16280.0,11.0
Canada,2021-10-31,15599.0,11.0
Canada,2021-11-07,17927.0,13.0
Canada,2021-11-14,17506.0,16.0
Canada,2021-11-21,20434.0,18.0
Canada,2021-11-28,21184.0,18.0
Canada,2021-12-05,27533.0,15.0
Canada,2021-12-12,48300.0,19.0
Canada,2021-12-19,127052.0,15.0
Canada,2021-12-26,242609.0,11.0
Canada,2022-01-02,271897.0,24.0
Canada,2022-01-09,242701.0,19.0
Canada,2022-01-16,158962.0,19.0
Canada,2022-01-23,114776.0,18.0
Canada,2022-01-30,88753.0,18.0
Canada,2022-02-06,69446.0,16.0
Canada,2022-02-13,47502.0,16.0
Canada,2022-02-20,40113.0,24.0
Canada,2022-02-27,43581.0,26.0
Canada,2022-03-06,37451.0,17.0
Canada,2022-03-13,30782.0,12.0
Canada,2022-03-20,47067.0,25.0
Canada,2022-03-27,56504.0,18.0
Canada,2022-04-03,39228.0,21.0
Canada,2022-04-10,82753.0,17.0
France,2020-01-26,3.0,11.0
France,2020-02-02,5.0,11.0
France,2020-02-09,1.0,23.0
France,2020-02-16,0.0,6.0
