Week,Flight tracking: (Brazil)
2020-01-26,100
2020-02-02,82
2020-02-09,53
2020-02-16,89
2020-02-23,50
2020-03-01,50
2020-03-08,58
2020-03-15,73
2020-03-22,44
2020-03-29,38
2020-04-05,0
2020-04-12,34
2020-04-19,21
2020-04-26,13
2020-05-03,21
2020-05-10,16
2020-05-17,12
2020-05-24,25
2020-05-31,32
2020-06-07,13
2020-06-14,33
2020-06-21,4
2020-06-28,21
2020-07-05,9
2020-07-12,36
2020-07-19,27
2020-07-26,27
2020-08-02,14
2020-08-09,9
2020-08-16,39
2020-08-23,9
2020-08-30,47
2020-09-06,22
2020-09-13,30
2020-09-20,31
2020-09-27,40
2020-10-04,27
2020-10-11,20
2020-10-18,33
2020-10-25,23
2020-11-01,29
2020-11-08,18
2020-11-15,22
2020-11-22,18
2020-11-29,18
2020-12-06,51
2020-12-13,52
2020-12-20,49
2020-12-27,61
2021-01-03,33
2021-01-10,48
2021-01-17,38
2021-01-24,24
2021-01-31,24
2021-02-07,19
2021-02-14,10
2021-02-21,32
2021-02-28,32
2021-03-07,19
2021-03-14,17
2021-03-21,18
2021-03-28,19
2021-04-04,18
2021-04-11,22
2021-04-18,5
2021-04-25,22
2021-05-02,9
2021-05-09,28
2021-05-16,23
2021-05-23,18
2021-05-30,33
2021-06-06,9
2021-06-13,5
2021-06-20,32
2021-06-27,9
2021-07-04,19
2021-07-11,28
2021-07-18,54
2021-07-25,23
2021-08-01,23
2021-08-08,14
2021-08-15,14
2021-08-22,29
2021-08-29,20
2021-09-05,17
2021-09-12,5
2021-09-19,32
2021-09-26,5
2021-10-03,37
2021-10-10,28
2021-10-17,11
2021-10-24,26
2021-10-31,27
2021-11-07,47
2021-11-14,26
2021-11-21,45
2021-11-28,31
2021-12-05,58
2021-12-12,50
2021-12-19,83
2021-12-26,45
2022-01-02,66
2022-01-09,48
2022-01-16,32
2022-01-23,15
2022-01-30,48
2022-02-06,37
2022-02-13,21
2022-02-20,47
2022-02-27,39
2022-03-06,26
2022-03-13,35
2022-03-20,46
2022-03-27,38
2022-04-03,26
2022-04-10,40
