Category: All categories

Week,flight: (France)
2020-01-26,64
2020-02-02,67
2020-02-09,67
2020-02-16,71
2020-02-23,62
2020-03-01,60
2020-03-08,65
2020-03-15,53
2020-03-22,42
2020-03-29,35
2020-04-05,42
2020-04-12,35
2020-04-19,37
2020-04-26,33
2020-05-03,29
2020-05-10,30
2020-05-17,32
2020-05-24,32
2020-05-31,32
2020-06-07,32
2020-06-14,39
2020-06-21,38
2020-06-28,38
2020-07-05,42
2020-07-12,47
2020-07-19,42
2020-07-26,51
2020-08-02,53
2020-08-09,54
2020-08-16,100
2020-08-23,71
2020-08-30,59
2020-09-06,50
2020-09-13,43
2020-09-20,40
2020-09-27,37
2020-10-04,38
2020-10-11,34
2020-10-18,36
2020-10-25,33
2020-11-01,26
2020-11-08,27
2020-11-15,29
2020-11-22,34
2020-11-29,36
2020-12-06,34
2020-12-13,39
2020-12-20,42
2020-12-27,39
2021-01-03,39
2021-01-10,33
2021-01-17,34
2021-01-24,32
2021-01-31,28
2021-02-07,32
2021-02-14,33
2021-02-21,30
2021-02-28,30
2021-03-07,28
2021-03-14,34
2021-03-21,33
2021-03-28,30
2021-04-04,31
2021-04-11,37
2021-04-18,42
2021-04-25,41
2021-05-02,40
2021-05-09,37
2021-05-16,40
2021-05-23,41
2021-05-30,41
2021-06-06,46
2021-06-13,54
2021-06-20,49
2021-06-27,48
2021-07-04,52
2021-07-11,51
2021-07-18,52
2021-07-25,67
2021-08-01,56
2021-08-08,64
2021-08-15,55
2021-08-22,57
2021-08-29,51
2021-09-05,49
2021-09-12,48
2021-09-19,49
2021-09-26,48
2021-10-03,47
2021-10-10,49
2021-10-17,53
2021-10-24,55
2021-10-31,51
2021-11-07,50
2021-11-14,52
2021-11-21,46
2021-11-28,44
2021-12-05,42
2021-12-12,47
2021-12-19,58
2021-12-26,61
2022-01-02,76
2022-01-09,62
2022-01-16,67
2022-01-23,64
2022-01-30,67
2022-02-06,68
2022-02-13,69
2022-02-20,84
2022-02-27,84
2022-03-06,82
2022-03-13,93
2022-03-20,91
2022-03-27,83
2022-04-03,87
2022-04-10,87
