Category: All categories

Week,flight: (India)
2020-01-26,85
2020-02-02,86
2020-02-09,85
2020-02-16,95
2020-02-23,100
2020-03-01,86
2020-03-08,91
2020-03-15,97
2020-03-22,68
2020-03-29,33
2020-04-05,34
2020-04-12,30
2020-04-19,24
2020-04-26,23
2020-05-03,27
2020-05-10,39
2020-05-17,63
2020-05-24,76
2020-05-31,57
2020-06-07,51
2020-06-14,44
2020-06-21,46
2020-06-28,50
2020-07-05,43
2020-07-12,41
2020-07-19,40
2020-07-26,44
2020-08-02,58
2020-08-09,43
2020-08-16,46
2020-08-23,50
2020-08-30,51
2020-09-06,52
2020-09-13,52
2020-09-20,48
2020-09-27,50
2020-10-04,49
2020-10-11,51
2020-10-18,51
2020-10-25,52
2020-11-01,55
2020-11-08,59
2020-11-15,70
2020-11-22,65
2020-11-29,63
2020-12-06,64
2020-12-13,63
2020-12-20,67
2020-12-27,65
2021-01-03,72
2021-01-10,74
2021-01-17,73
2021-01-24,72
2021-01-31,72
2021-02-07,71
2021-02-14,69
2021-02-21,66
2021-02-28,64
2021-03-07,67
2021-03-14,60
2021-03-21,61
2021-03-28,63
2021-04-04,58
2021-04-11,52
2021-04-18,52
2021-04-25,47
2021-05-02,45
2021-05-09,40
2021-05-16,41
2021-05-23,47
2021-05-30,49
2021-06-06,51
2021-06-13,50
2021-06-20,54
2021-06-27,59
2021-07-04,57
2021-07-11,61
2021-07-18,59
2021-07-25,62
2021-08-01,69
2021-08-08,66
2021-08-15,67
2021-08-22,67
2021-08-29,63
2021-09-05,64
2021-09-12,67
2021-09-19,67
2021-09-26,68
2021-10-03,67
2021-10-10,67
2021-10-17,73
2021-10-24,69
2021-10-31,72
2021-11-07,82
2021-11-14,79
2021-11-21,82
2021-11-28,77
2021-12-05,78
2021-12-12,78
2021-12-19,74
2021-12-26,67
2022-01-02,66
2022-01-09,51
2022-01-16,55
2022-01-23,59
2022-01-30,66
2022-02-06,67
2022-02-13,69
2022-02-20,81
2022-02-27,81
2022-03-06,77
2022-03-13,80
2022-03-20,84
2022-03-27,76
2022-04-03,81
2022-04-10,82
