Week,Flight tracking: (Italy)
2020-01-26,65
2020-02-02,75
2020-02-09,100
2020-02-16,67
2020-02-23,58
2020-03-01,55
2020-03-08,59
2020-03-15,23
2020-03-22,24
2020-03-29,28
2020-04-05,13
2020-04-12,17
2020-04-19,13
2020-04-26,10
2020-05-03,11
2020-05-10,7
2020-05-17,24
2020-05-24,17
2020-05-31,10
2020-06-07,10
2020-06-14,9
2020-06-21,17
2020-06-28,37
2020-07-05,48
2020-07-12,28
2020-07-19,36
2020-07-26,39
2020-08-02,45
2020-08-09,43
2020-08-16,43
2020-08-23,34
2020-08-30,34
2020-09-06,29
2020-09-13,32
2020-09-20,26
2020-09-27,27
2020-10-04,33
2020-10-11,21
2020-10-18,28
2020-10-25,15
2020-11-01,11
2020-11-08,12
2020-11-15,10
2020-11-22,9
2020-11-29,15
2020-12-06,13
2020-12-13,22
2020-12-20,25
2020-12-27,24
2021-01-03,25
2021-01-10,14
2021-01-17,16
2021-01-24,12
2021-01-31,18
2021-02-07,18
2021-02-14,12
2021-02-21,11
2021-02-28,13
2021-03-07,19
2021-03-14,14
2021-03-21,17
2021-03-28,18
2021-04-04,13
2021-04-11,17
2021-04-18,13
2021-04-25,10
2021-05-02,17
2021-05-09,14
2021-05-16,18
2021-05-23,14
2021-05-30,19
2021-06-06,25
2021-06-13,39
2021-06-20,36
2021-06-27,36
2021-07-04,62
2021-07-11,55
2021-07-18,60
2021-07-25,91
2021-08-01,70
2021-08-08,79
2021-08-15,79
2021-08-22,77
2021-08-29,67
2021-09-05,71
2021-09-12,46
2021-09-19,62
2021-09-26,55
2021-10-03,51
2021-10-10,61
2021-10-17,50
2021-10-24,52
2021-10-31,41
2021-11-07,44
2021-11-14,49
2021-11-21,46
2021-11-28,51
2021-12-05,53
2021-12-12,37
2021-12-19,75
2021-12-26,69
2022-01-02,61
2022-01-09,37
2022-01-16,29
2022-01-23,21
2022-01-30,43
2022-02-06,35
2022-02-13,50
2022-02-20,62
2022-02-27,57
2022-03-06,58
2022-03-13,44
2022-03-20,42
2022-03-27,62
2022-04-03,59
2022-04-10,91
