Week,Flight tracking: (Mexico)
2020-01-26,74
2020-02-02,80
2020-02-09,81
2020-02-16,68
2020-02-23,74
2020-03-01,61
2020-03-08,70
2020-03-15,61
2020-03-22,24
2020-03-29,13
2020-04-05,21
2020-04-12,18
2020-04-19,14
2020-04-26,14
2020-05-03,4
2020-05-10,16
2020-05-17,11
2020-05-24,5
2020-05-31,8
2020-06-07,9
2020-06-14,10
2020-06-21,10
2020-06-28,24
2020-07-05,21
2020-07-12,15
2020-07-19,20
2020-07-26,15
2020-08-02,13
2020-08-09,19
2020-08-16,18
2020-08-23,11
2020-08-30,15
2020-09-06,13
2020-09-13,4
2020-09-20,12
2020-09-27,23
2020-10-04,22
2020-10-11,19
2020-10-18,13
2020-10-25,19
2020-11-01,23
2020-11-08,15
2020-11-15,24
2020-11-22,20
2020-11-29,25
2020-12-06,19
2020-12-13,30
2020-12-20,42
2020-12-27,35
2021-01-03,26
2021-01-10,20
2021-01-17,12
2021-01-24,27
2021-01-31,16
2021-02-07,23
2021-02-14,30
2021-02-21,22
2021-02-28,11
2021-03-07,25
2021-03-14,36
2021-03-21,25
2021-03-28,21
2021-04-04,37
2021-04-11,17
2021-04-18,17
2021-04-25,19
2021-05-02,27
2021-05-09,29
2021-05-16,32
2021-05-23,25
2021-05-30,21
2021-06-06,42
2021-06-13,30
2021-06-20,29
2021-06-27,39
2021-07-04,50
2021-07-11,36
2021-07-18,59
2021-07-25,43
2021-08-01,28
2021-08-08,30
2021-08-15,48
2021-08-22,30
2021-08-29,32
2021-09-05,27
2021-09-12,48
2021-09-19,20
2021-09-26,32
2021-10-03,28
2021-10-10,54
2021-10-17,44
2021-10-24,30
2021-10-31,56
2021-11-07,39
2021-11-14,45
2021-11-21,38
2021-11-28,67
2021-12-05,46
2021-12-12,84
2021-12-19,100
2021-12-26,98
2022-01-02,92
2022-01-09,44
2022-01-16,61
2022-01-23,45
2022-01-30,45
2022-02-06,50
2022-02-13,62
2022-02-20,65
2022-02-27,40
2022-03-06,56
2022-03-13,65
2022-03-20,60
2022-03-27,61
2022-04-03,69
2022-04-10,61
