Category: All categories

Week,flight: (South Korea)
2020-01-26,88
2020-02-02,86
2020-02-09,79
2020-02-16,80
2020-02-23,100
2020-03-01,79
2020-03-08,70
2020-03-15,69
2020-03-22,61
2020-03-29,53
2020-04-05,45
2020-04-12,43
2020-04-19,47
2020-04-26,40
2020-05-03,48
2020-05-10,41
2020-05-17,47
2020-05-24,49
2020-05-31,45
2020-06-07,50
2020-06-14,44
2020-06-21,44
2020-06-28,53
2020-07-05,42
2020-07-12,57
2020-07-19,46
2020-07-26,58
2020-08-02,55
2020-08-09,54
2020-08-16,70
2020-08-23,53
2020-08-30,48
2020-09-06,53
2020-09-13,44
2020-09-20,47
2020-09-27,44
2020-10-04,41
2020-10-11,40
2020-10-18,34
2020-10-25,44
2020-11-01,32
2020-11-08,43
2020-11-15,40
2020-11-22,44
2020-11-29,42
2020-12-06,40
2020-12-13,40
2020-12-20,39
2020-12-27,39
2021-01-03,35
2021-01-10,43
2021-01-17,33
2021-01-24,33
2021-01-31,33
2021-02-07,46
2021-02-14,41
2021-02-21,41
2021-02-28,37
2021-03-07,36
2021-03-14,44
2021-03-21,44
2021-03-28,46
2021-04-04,54
2021-04-11,48
2021-04-18,46
2021-04-25,48
2021-05-02,45
2021-05-09,47
2021-05-16,50
2021-05-23,48
2021-05-30,44
2021-06-06,40
2021-06-13,44
2021-06-20,47
2021-06-27,52
2021-07-04,45
2021-07-11,55
2021-07-18,51
2021-07-25,56
2021-08-01,53
2021-08-08,45
2021-08-15,46
2021-08-22,51
2021-08-29,46
2021-09-05,38
2021-09-12,47
2021-09-19,41
2021-09-26,46
2021-10-03,48
2021-10-10,47
2021-10-17,47
2021-10-24,44
2021-10-31,47
2021-11-07,47
2021-11-14,54
2021-11-21,50
2021-11-28,45
2021-12-05,43
2021-12-12,43
2021-12-19,50
2021-12-26,36
2022-01-02,51
2022-01-09,48
2022-01-16,45
2022-01-23,48
2022-01-30,41
2022-02-06,37
2022-02-13,48
2022-02-20,39
2022-02-27,46
2022-03-06,44
2022-03-13,50
2022-03-20,58
2022-03-27,51
2022-04-03,62
2022-04-10,63
