Category: All categories

Week,flight: (Spain)
2020-01-26,60
2020-02-02,81
2020-02-09,88
2020-02-16,82
2020-02-23,89
2020-03-01,66
2020-03-08,100
2020-03-15,100
2020-03-22,39
2020-03-29,33
2020-04-05,35
2020-04-12,30
2020-04-19,30
2020-04-26,33
2020-05-03,31
2020-05-10,29
2020-05-17,29
2020-05-24,28
2020-05-31,27
2020-06-07,30
2020-06-14,29
2020-06-21,35
2020-06-28,37
2020-07-05,39
2020-07-12,46
2020-07-19,43
2020-07-26,53
2020-08-02,48
2020-08-09,47
2020-08-16,90
2020-08-23,73
2020-08-30,53
2020-09-06,44
2020-09-13,38
2020-09-20,37
2020-09-27,34
2020-10-04,36
2020-10-11,37
2020-10-18,33
2020-10-25,33
2020-11-01,35
2020-11-08,35
2020-11-15,32
2020-11-22,45
2020-11-29,49
2020-12-06,46
2020-12-13,46
2020-12-20,56
2020-12-27,45
2021-01-03,49
2021-01-10,44
2021-01-17,34
2021-01-24,33
2021-01-31,31
2021-02-07,32
2021-02-14,34
2021-02-21,33
2021-02-28,27
2021-03-07,30
2021-03-14,32
2021-03-21,31
2021-03-28,34
2021-04-04,29
2021-04-11,29
2021-04-18,29
2021-04-25,29
2021-05-02,30
2021-05-09,31
2021-05-16,32
2021-05-23,37
2021-05-30,37
2021-06-06,39
2021-06-13,42
2021-06-20,43
2021-06-27,48
2021-07-04,47
2021-07-11,53
2021-07-18,61
2021-07-25,66
2021-08-01,59
2021-08-08,62
2021-08-15,63
2021-08-22,60
2021-08-29,57
2021-09-05,57
2021-09-12,55
2021-09-19,57
2021-09-26,58
2021-10-03,57
2021-10-10,57
2021-10-17,63
2021-10-24,55
2021-10-31,62
2021-11-07,56
2021-11-14,55
2021-11-21,56
2021-11-28,52
2021-12-05,57
2021-12-12,51
2021-12-19,65
2021-12-26,71
2022-01-02,67
2022-01-09,56
2022-01-16,56
2022-01-23,52
2022-01-30,58
2022-02-06,53
2022-02-13,74
2022-02-20,76
2022-02-27,68
2022-03-06,66
2022-03-13,67
2022-03-20,69
2022-03-27,71
2022-04-03,80
2022-04-10,87
