Category: All categories

Week,flight: (United Arab Emirates)
2020-01-26,75
2020-02-02,83
2020-02-09,87
2020-02-16,82
2020-02-23,81
2020-03-01,84
2020-03-08,94
2020-03-15,100
2020-03-22,43
2020-03-29,42
2020-04-05,40
2020-04-12,39
2020-04-19,41
2020-04-26,39
2020-05-03,50
2020-05-10,46
2020-05-17,45
2020-05-24,54
2020-05-31,55
2020-06-07,56
2020-06-14,54
2020-06-21,60
2020-06-28,61
2020-07-05,58
2020-07-12,65
2020-07-19,57
2020-07-26,53
2020-08-02,69
2020-08-09,56
2020-08-16,49
2020-08-23,49
2020-08-30,48
2020-09-06,44
2020-09-13,42
2020-09-20,41
2020-09-27,45
2020-10-04,43
2020-10-11,40
2020-10-18,45
2020-10-25,41
2020-11-01,43
2020-11-08,44
2020-11-15,47
2020-11-22,52
2020-11-29,53
2020-12-06,55
2020-12-13,56
2020-12-20,72
2020-12-27,63
2021-01-03,63
2021-01-10,56
2021-01-17,53
2021-01-24,53
2021-01-31,60
2021-02-07,51
2021-02-14,52
2021-02-21,51
2021-02-28,53
2021-03-07,53
2021-03-14,54
2021-03-21,57
2021-03-28,62
2021-04-04,54
2021-04-11,47
2021-04-18,61
2021-04-25,58
2021-05-02,56
2021-05-09,50
2021-05-16,49
2021-05-23,50
2021-05-30,55
2021-06-06,51
2021-06-13,56
2021-06-20,71
2021-06-27,70
2021-07-04,68
2021-07-11,73
2021-07-18,63
2021-07-25,72
2021-08-01,91
2021-08-08,71
2021-08-15,68
2021-08-22,63
2021-08-29,69
2021-09-05,64
2021-09-12,64
2021-09-19,64
2021-09-26,69
2021-10-03,73
2021-10-10,74
2021-10-17,74
2021-10-24,71
2021-10-31,72
2021-11-07,79
2021-11-14,78
2021-11-21,84
2021-11-28,90
2021-12-05,86
2021-12-12,88
2021-12-19,82
2021-12-26,72
2022-01-02,74
2022-01-09,64
2022-01-16,66
2022-01-23,63
2022-01-30,65
2022-02-06,66
2022-02-13,71
2022-02-20,72
2022-02-27,74
2022-03-06,76
2022-03-13,78
2022-03-20,82
2022-03-27,84
2022-04-03,82
2022-04-10,78
