Category: All categories

Week,flight: (United Kingdom)
2020-01-26,62
2020-02-02,67
2020-02-09,100
2020-02-16,73
2020-02-23,63
2020-03-01,64
2020-03-08,77
2020-03-15,82
2020-03-22,40
2020-03-29,33
2020-04-05,32
2020-04-12,30
2020-04-19,31
2020-04-26,28
2020-05-03,31
2020-05-10,27
2020-05-17,29
2020-05-24,34
2020-05-31,29
2020-06-07,28
2020-06-14,31
2020-06-21,33
2020-06-28,35
2020-07-05,34
2020-07-12,40
2020-07-19,41
2020-07-26,40
2020-08-02,40
2020-08-09,40
2020-08-16,52
2020-08-23,42
2020-08-30,39
2020-09-06,35
2020-09-13,34
2020-09-20,30
2020-09-27,30
2020-10-04,28
2020-10-11,24
2020-10-18,24
2020-10-25,23
2020-11-01,21
2020-11-08,20
2020-11-15,20
2020-11-22,23
2020-11-29,24
2020-12-06,25
2020-12-13,26
2020-12-20,37
2020-12-27,29
2021-01-03,30
2021-01-10,27
2021-01-17,24
2021-01-24,21
2021-01-31,19
2021-02-07,20
2021-02-14,20
2021-02-21,24
2021-02-28,22
2021-03-07,23
2021-03-14,29
2021-03-21,34
2021-03-28,35
2021-04-04,34
2021-04-11,22
2021-04-18,24
2021-04-25,20
2021-05-02,22
2021-05-09,21
2021-05-16,23
2021-05-23,24
2021-05-30,27
2021-06-06,25
2021-06-13,24
2021-06-20,26
2021-06-27,29
2021-07-04,32
2021-07-11,38
2021-07-18,41
2021-07-25,42
2021-08-01,43
2021-08-08,41
2021-08-15,42
2021-08-22,44
2021-08-29,43
2021-09-05,42
2021-09-12,44
2021-09-19,44
2021-09-26,40
2021-10-03,43
2021-10-10,45
2021-10-17,44
2021-10-24,41
2021-10-31,41
2021-11-07,44
2021-11-14,41
2021-11-21,40
2021-11-28,39
2021-12-05,37
2021-12-12,39
2021-12-19,39
2021-12-26,44
2022-01-02,50
2022-01-09,46
2022-01-16,49
2022-01-23,47
2022-01-30,49
2022-02-06,53
2022-02-13,66
2022-02-20,70
2022-02-27,61
2022-03-06,57
2022-03-13,61
2022-03-20,63
2022-03-27,67
2022-04-03,78
2022-04-10,69
