Category: All categories

Week,flight: (Worldwide)
2020-01-26,86
2020-02-02,90
2020-02-09,94
2020-02-16,88
2020-02-23,90
2020-03-01,83
2020-03-08,100
2020-03-15,94
2020-03-22,54
2020-03-29,39
2020-04-05,39
2020-04-12,37
2020-04-19,35
2020-04-26,36
2020-05-03,37
2020-05-10,40
2020-05-17,44
2020-05-24,47
2020-05-31,45
2020-06-07,46
2020-06-14,44
2020-06-21,46
2020-06-28,47
2020-07-05,46
2020-07-12,48
2020-07-19,47
2020-07-26,48
2020-08-02,53
2020-08-09,48
2020-08-16,66
2020-08-23,56
2020-08-30,51
2020-09-06,51
2020-09-13,48
2020-09-20,46
2020-09-27,46
2020-10-04,45
2020-10-11,43
2020-10-18,43
2020-10-25,42
2020-11-01,40
2020-11-08,43
2020-11-15,45
2020-11-22,48
2020-11-29,51
2020-12-06,50
2020-12-13,52
2020-12-20,59
2020-12-27,57
2021-01-03,57
2021-01-10,52
2021-01-17,47
2021-01-24,46
2021-01-31,48
2021-02-07,47
2021-02-14,52
2021-02-21,49
2021-02-28,50
2021-03-07,49
2021-03-14,51
2021-03-21,51
2021-03-28,54
2021-04-04,53
2021-04-11,48
2021-04-18,50
2021-04-25,50
2021-05-02,49
2021-05-09,47
2021-05-16,51
2021-05-23,54
2021-05-30,55
2021-06-06,55
2021-06-13,58
2021-06-20,60
2021-06-27,64
2021-07-04,66
2021-07-11,71
2021-07-18,76
2021-07-25,70
2021-08-01,71
2021-08-08,68
2021-08-15,68
2021-08-22,65
2021-08-29,62
2021-09-05,64
2021-09-12,67
2021-09-19,65
2021-09-26,61
2021-10-03,62
2021-10-10,69
2021-10-17,65
2021-10-24,66
2021-10-31,65
2021-11-07,68
2021-11-14,67
2021-11-21,69
2021-11-28,70
2021-12-05,67
2021-12-12,71
2021-12-19,77
2021-12-26,84
2022-01-02,82
2022-01-09,65
2022-01-16,65
2022-01-23,63
2022-01-30,70
2022-02-06,69
2022-02-13,74
2022-02-20,84
2022-02-27,79
2022-03-06,84
2022-03-13,81
2022-03-20,85
2022-03-27,86
2022-04-03,88
2022-04-10,88
