Country,Date,search_index
Belgium,2020-01-26,76.0
Belgium,2020-02-02,82.0
Belgium,2020-02-09,87.0
Belgium,2020-02-16,84.0
Belgium,2020-02-23,71.0
Belgium,2020-03-01,67.0
Belgium,2020-03-08,79.0
Belgium,2020-03-15,63.0
Belgium,2020-03-22,46.0
Belgium,2020-03-29,44.0
Belgium,2020-04-05,46.0
Belgium,2020-04-12,40.0
Belgium,2020-04-19,40.0
Belgium,2020-04-26,39.0
Belgium,2020-05-03,34.0
Belgium,2020-05-10,30.0
Belgium,2020-05-17,40.0
Belgium,2020-05-24,40.0
Belgium,2020-05-31,39.0
Belgium,2020-06-07,36.0
Belgium,2020-06-14,42.0
Belgium,2020-06-21,45.0
Belgium,2020-06-28,44.0
Belgium,2020-07-05,44.0
Belgium,2020-07-12,44.0
Belgium,2020-07-19,56.0
Belgium,2020-07-26,49.0
Belgium,2020-08-02,53.0
Belgium,2020-08-09,57.0
Belgium,2020-08-16,100.0
Belgium,2020-08-23,76.0
Belgium,2020-08-30,56.0
Belgium,2020-09-06,50.0
Belgium,2020-09-13,36.0
Belgium,2020-09-20,43.0
Belgium,2020-09-27,39.0
Belgium,2020-10-04,48.0
Belgium,2020-10-11,31.0
Belgium,2020-10-18,38.0
Belgium,2020-10-25,31.0
Belgium,2020-11-01,29.0
Belgium,2020-11-08,36.0
Belgium,2020-11-15,33.0
Belgium,2020-11-22,36.0
Belgium,2020-11-29,39.0
Belgium,2020-12-06,43.0
Belgium,2020-12-13,41.0
Belgium,2020-12-20,39.0
Belgium,2020-12-27,41.0
Belgium,2021-01-03,39.0
Belgium,2021-01-10,35.0
Belgium,2021-01-17,39.0
Belgium,2021-01-24,31.0
Belgium,2021-01-31,30.0
Belgium,2021-02-07,30.0
Belgium,2021-02-14,34.0
Belgium,2021-02-21,34.0
Belgium,2021-02-28,34.0
Belgium,2021-03-07,34.0
Belgium,2021-03-14,39.0
Belgium,2021-03-21,36.0
Belgium,2021-03-28,33.0
Belgium,2021-04-04,30.0
Belgium,2021-04-11,35.0
Belgium,2021-04-18,45.0
Belgium,2021-04-25,42.0
Belgium,2021-05-02,38.0
Belgium,2021-05-09,45.0
Belgium,2021-05-16,46.0
Belgium,2021-05-23,54.0
Belgium,2021-05-30,54.0
Belgium,2021-06-06,48.0
Belgium,2021-06-13,66.0
Belgium,2021-06-20,54.0
Belgium,2021-06-27,61.0
Belgium,2021-07-04,64.0
Belgium,2021-07-11,66.0
Belgium,2021-07-18,69.0
Belgium,2021-07-25,73.0
Belgium,2021-08-01,65.0
Belgium,2021-08-08,69.0
Belgium,2021-08-15,67.0
Belgium,2021-08-22,67.0
Belgium,2021-08-29,67.0
Belgium,2021-09-05,63.0
Belgium,2021-09-12,58.0
Belgium,2021-09-19,54.0
Belgium,2021-09-26,59.0
Belgium,2021-10-03,52.0
Belgium,2021-10-10,50.0
Belgium,2021-10-17,60.0
Belgium,2021-10-24,58.0
Belgium,2021-10-31,63.0
Belgium,2021-11-07,54.0
Belgium,2021-11-14,55.0
Belgium,2021-11-21,51.0
Belgium,2021-11-28,49.0
Belgium,2021-12-05,49.0
Belgium,2021-12-12,57.0
Belgium,2021-12-19,57.0
Belgium,2021-12-26,62.0
Belgium,2022-01-02,70.0
Belgium,2022-01-09,70.0
Belgium,2022-01-16,64.0
Belgium,2022-01-23,62.0
Belgium,2022-01-30,68.0
Belgium,2022-02-06,70.0
Belgium,2022-02-13,70.0
Belgium,2022-02-20,95.0
Belgium,2022-02-27,83.0
Belgium,2022-03-06,78.0
Belgium,2022-03-13,74.0
Belgium,2022-03-20,85.0
Belgium,2022-03-27,74.0
Belgium,2022-04-03,84.0
Belgium,2022-04-10,95.0
