Country,Date,search_index
Brazil,2020-01-26,100.0
Brazil,2020-02-02,82.0
Brazil,2020-02-09,53.0
Brazil,2020-02-16,89.0
Brazil,2020-02-23,50.0
Brazil,2020-03-01,50.0
Brazil,2020-03-08,58.0
Brazil,2020-03-15,73.0
Brazil,2020-03-22,44.0
Brazil,2020-03-29,38.0
Brazil,2020-04-05,0.0
Brazil,2020-04-12,34.0
Brazil,2020-04-19,21.0
Brazil,2020-04-26,13.0
Brazil,2020-05-03,21.0
Brazil,2020-05-10,16.0
Brazil,2020-05-17,12.0
Brazil,2020-05-24,25.0
Brazil,2020-05-31,32.0
Brazil,2020-06-07,13.0
Brazil,2020-06-14,33.0
Brazil,2020-06-21,4.0
Brazil,2020-06-28,21.0
Brazil,2020-07-05,9.0
Brazil,2020-07-12,36.0
Brazil,2020-07-19,27.0
Brazil,2020-07-26,27.0
Brazil,2020-08-02,14.0
Brazil,2020-08-09,9.0
Brazil,2020-08-16,39.0
Brazil,2020-08-23,9.0
Brazil,2020-08-30,47.0
Brazil,2020-09-06,22.0
Brazil,2020-09-13,30.0
Brazil,2020-09-20,31.0
Brazil,2020-09-27,40.0
Brazil,2020-10-04,27.0
Brazil,2020-10-11,20.0
Brazil,2020-10-18,33.0
Brazil,2020-10-25,23.0
Brazil,2020-11-01,29.0
Brazil,2020-11-08,18.0
Brazil,2020-11-15,22.0
Brazil,2020-11-22,18.0
Brazil,2020-11-29,18.0
Brazil,2020-12-06,51.0
Brazil,2020-12-13,52.0
Brazil,2020-12-20,49.0
Brazil,2020-12-27,61.0
Brazil,2021-01-03,33.0
Brazil,2021-01-10,48.0
Brazil,2021-01-17,38.0
Brazil,2021-01-24,24.0
Brazil,2021-01-31,24.0
Brazil,2021-02-07,19.0
Brazil,2021-02-14,10.0
Brazil,2021-02-21,32.0
Brazil,2021-02-28,32.0
Brazil,2021-03-07,19.0
Brazil,2021-03-14,17.0
Brazil,2021-03-21,18.0
Brazil,2021-03-28,19.0
Brazil,2021-04-04,18.0
Brazil,2021-04-11,22.0
Brazil,2021-04-18,5.0
Brazil,2021-04-25,22.0
Brazil,2021-05-02,9.0
Brazil,2021-05-09,28.0
Brazil,2021-05-16,23.0
Brazil,2021-05-23,18.0
Brazil,2021-05-30,33.0
Brazil,2021-06-06,9.0
Brazil,2021-06-13,5.0
Brazil,2021-06-20,32.0
Brazil,2021-06-27,9.0
Brazil,2021-07-04,19.0
Brazil,2021-07-11,28.0
Brazil,2021-07-18,54.0
Brazil,2021-07-25,23.0
Brazil,2021-08-01,23.0
Brazil,2021-08-08,14.0
Brazil,2021-08-15,14.0
Brazil,2021-08-22,29.0
Brazil,2021-08-29,20.0
Brazil,2021-09-05,17.0
Brazil,2021-09-12,5.0
Brazil,2021-09-19,32.0
Brazil,2021-09-26,5.0
Brazil,2021-10-03,37.0
Brazil,2021-10-10,28.0
Brazil,2021-10-17,11.0
Brazil,2021-10-24,26.0
Brazil,2021-10-31,27.0
Brazil,2021-11-07,47.0
Brazil,2021-11-14,26.0
Brazil,2021-11-21,45.0
Brazil,2021-11-28,31.0
Brazil,2021-12-05,58.0
Brazil,2021-12-12,50.0
Brazil,2021-12-19,83.0
Brazil,2021-12-26,45.0
Brazil,2022-01-02,66.0
Brazil,2022-01-09,48.0
Brazil,2022-01-16,32.0
Brazil,2022-01-23,15.0
Brazil,2022-01-30,48.0
Brazil,2022-02-06,37.0
Brazil,2022-02-13,21.0
Brazil,2022-02-20,47.0
Brazil,2022-02-27,39.0
Brazil,2022-03-06,26.0
Brazil,2022-03-13,35.0
Brazil,2022-03-20,46.0
Brazil,2022-03-27,38.0
Brazil,2022-04-03,26.0
Brazil,2022-04-10,40.0
