Country,Date,search_index
China HongKong,2020-01-26,100.0
China HongKong,2020-02-02,93.0
China HongKong,2020-02-09,65.0
China HongKong,2020-02-16,66.0
China HongKong,2020-02-23,68.0
China HongKong,2020-03-01,58.0
China HongKong,2020-03-08,56.0
China HongKong,2020-03-15,64.0
China HongKong,2020-03-22,49.0
China HongKong,2020-03-29,35.0
China HongKong,2020-04-05,27.0
China HongKong,2020-04-12,28.0
China HongKong,2020-04-19,27.0
China HongKong,2020-04-26,29.0
China HongKong,2020-05-03,28.0
China HongKong,2020-05-10,31.0
China HongKong,2020-05-17,32.0
China HongKong,2020-05-24,27.0
China HongKong,2020-05-31,33.0
China HongKong,2020-06-07,29.0
China HongKong,2020-06-14,33.0
China HongKong,2020-06-21,27.0
China HongKong,2020-06-28,32.0
China HongKong,2020-07-05,32.0
China HongKong,2020-07-12,31.0
China HongKong,2020-07-19,34.0
China HongKong,2020-07-26,28.0
China HongKong,2020-08-02,35.0
China HongKong,2020-08-09,31.0
China HongKong,2020-08-16,48.0
China HongKong,2020-08-23,46.0
China HongKong,2020-08-30,38.0
China HongKong,2020-09-06,38.0
China HongKong,2020-09-13,30.0
China HongKong,2020-09-20,35.0
China HongKong,2020-09-27,31.0
China HongKong,2020-10-04,30.0
China HongKong,2020-10-11,26.0
China HongKong,2020-10-18,31.0
China HongKong,2020-10-25,27.0
China HongKong,2020-11-01,27.0
China HongKong,2020-11-08,31.0
China HongKong,2020-11-15,26.0
China HongKong,2020-11-22,31.0
China HongKong,2020-11-29,32.0
China HongKong,2020-12-06,28.0
China HongKong,2020-12-13,27.0
China HongKong,2020-12-20,27.0
China HongKong,2020-12-27,25.0
China HongKong,2021-01-03,31.0
China HongKong,2021-01-10,26.0
China HongKong,2021-01-17,22.0
China HongKong,2021-01-24,25.0
China HongKong,2021-01-31,25.0
China HongKong,2021-02-07,23.0
China HongKong,2021-02-14,26.0
China HongKong,2021-02-21,24.0
China HongKong,2021-02-28,26.0
China HongKong,2021-03-07,26.0
China HongKong,2021-03-14,23.0
China HongKong,2021-03-21,29.0
China HongKong,2021-03-28,28.0
China HongKong,2021-04-04,27.0
China HongKong,2021-04-11,25.0
China HongKong,2021-04-18,31.0
China HongKong,2021-04-25,31.0
China HongKong,2021-05-02,27.0
China HongKong,2021-05-09,26.0
China HongKong,2021-05-16,25.0
China HongKong,2021-05-23,27.0
China HongKong,2021-05-30,24.0
China HongKong,2021-06-06,28.0
China HongKong,2021-06-13,28.0
China HongKong,2021-06-20,30.0
China HongKong,2021-06-27,30.0
China HongKong,2021-07-04,30.0
China HongKong,2021-07-11,33.0
China HongKong,2021-07-18,31.0
China HongKong,2021-07-25,29.0
China HongKong,2021-08-01,28.0
China HongKong,2021-08-08,31.0
China HongKong,2021-08-15,36.0
China HongKong,2021-08-22,30.0
China HongKong,2021-08-29,26.0
China HongKong,2021-09-05,31.0
China HongKong,2021-09-12,29.0
China HongKong,2021-09-19,28.0
China HongKong,2021-09-26,26.0
China HongKong,2021-10-03,28.0
China HongKong,2021-10-10,31.0
China HongKong,2021-10-17,26.0
China HongKong,2021-10-24,29.0
China HongKong,2021-10-31,25.0
China HongKong,2021-11-07,25.0
China HongKong,2021-11-14,29.0
China HongKong,2021-11-21,28.0
China HongKong,2021-11-28,32.0
China HongKong,2021-12-05,32.0
China HongKong,2021-12-12,29.0
China HongKong,2021-12-19,25.0
China HongKong,2021-12-26,28.0
China HongKong,2022-01-02,40.0
China HongKong,2022-01-09,33.0
China HongKong,2022-01-16,28.0
China HongKong,2022-01-23,27.0
China HongKong,2022-01-30,29.0
China HongKong,2022-02-06,30.0
China HongKong,2022-02-13,35.0
China HongKong,2022-02-20,43.0
China HongKong,2022-02-27,38.0
China HongKong,2022-03-06,38.0
China HongKong,2022-03-13,33.0
China HongKong,2022-03-20,54.0
China HongKong,2022-03-27,48.0
China HongKong,2022-04-03,42.0
China HongKong,2022-04-10,44.0
