Country,Date,search_index
France,2020-01-26,64.0
France,2020-02-02,67.0
France,2020-02-09,67.0
France,2020-02-16,71.0
France,2020-02-23,62.0
France,2020-03-01,60.0
France,2020-03-08,65.0
France,2020-03-15,53.0
France,2020-03-22,42.0
France,2020-03-29,35.0
France,2020-04-05,42.0
France,2020-04-12,35.0
France,2020-04-19,37.0
France,2020-04-26,33.0
France,2020-05-03,29.0
France,2020-05-10,30.0
France,2020-05-17,32.0
France,2020-05-24,32.0
France,2020-05-31,32.0
France,2020-06-07,32.0
France,2020-06-14,39.0
France,2020-06-21,38.0
France,2020-06-28,38.0
France,2020-07-05,42.0
France,2020-07-12,47.0
France,2020-07-19,42.0
France,2020-07-26,51.0
France,2020-08-02,53.0
France,2020-08-09,54.0
France,2020-08-16,100.0
France,2020-08-23,71.0
France,2020-08-30,59.0
France,2020-09-06,50.0
France,2020-09-13,43.0
France,2020-09-20,40.0
France,2020-09-27,37.0
France,2020-10-04,38.0
France,2020-10-11,34.0
France,2020-10-18,36.0
France,2020-10-25,33.0
France,2020-11-01,26.0
France,2020-11-08,27.0
France,2020-11-15,29.0
France,2020-11-22,34.0
France,2020-11-29,36.0
France,2020-12-06,34.0
France,2020-12-13,39.0
France,2020-12-20,42.0
France,2020-12-27,39.0
France,2021-01-03,39.0
France,2021-01-10,33.0
France,2021-01-17,34.0
France,2021-01-24,32.0
France,2021-01-31,28.0
France,2021-02-07,32.0
France,2021-02-14,33.0
France,2021-02-21,30.0
France,2021-02-28,30.0
France,2021-03-07,28.0
France,2021-03-14,34.0
France,2021-03-21,33.0
France,2021-03-28,30.0
France,2021-04-04,31.0
France,2021-04-11,37.0
France,2021-04-18,42.0
France,2021-04-25,41.0
France,2021-05-02,40.0
France,2021-05-09,37.0
France,2021-05-16,40.0
France,2021-05-23,41.0
France,2021-05-30,41.0
France,2021-06-06,46.0
France,2021-06-13,54.0
France,2021-06-20,49.0
France,2021-06-27,48.0
France,2021-07-04,52.0
France,2021-07-11,51.0
France,2021-07-18,52.0
France,2021-07-25,67.0
France,2021-08-01,56.0
France,2021-08-08,64.0
France,2021-08-15,55.0
France,2021-08-22,57.0
France,2021-08-29,51.0
France,2021-09-05,49.0
France,2021-09-12,48.0
France,2021-09-19,49.0
France,2021-09-26,48.0
France,2021-10-03,47.0
France,2021-10-10,49.0
France,2021-10-17,53.0
France,2021-10-24,55.0
France,2021-10-31,51.0
France,2021-11-07,50.0
France,2021-11-14,52.0
France,2021-11-21,46.0
France,2021-11-28,44.0
France,2021-12-05,42.0
France,2021-12-12,47.0
France,2021-12-19,58.0
France,2021-12-26,61.0
France,2022-01-02,76.0
France,2022-01-09,62.0
France,2022-01-16,67.0
France,2022-01-23,64.0
France,2022-01-30,67.0
France,2022-02-06,68.0
France,2022-02-13,69.0
France,2022-02-20,84.0
France,2022-02-27,84.0
France,2022-03-06,82.0
France,2022-03-13,93.0
France,2022-03-20,91.0
France,2022-03-27,83.0
France,2022-04-03,87.0
France,2022-04-10,87.0
