Country,Date,search_index
Germany,2020-01-26,58.0
Germany,2020-02-02,63.0
Germany,2020-02-09,94.0
Germany,2020-02-16,82.0
Germany,2020-02-23,65.0
Germany,2020-03-01,58.0
Germany,2020-03-08,51.0
Germany,2020-03-15,100.0
Germany,2020-03-22,61.0
Germany,2020-03-29,39.0
Germany,2020-04-05,35.0
Germany,2020-04-12,30.0
Germany,2020-04-19,26.0
Germany,2020-04-26,16.0
Germany,2020-05-03,27.0
Germany,2020-05-10,15.0
Germany,2020-05-17,23.0
Germany,2020-05-24,25.0
Germany,2020-05-31,23.0
Germany,2020-06-07,16.0
Germany,2020-06-14,18.0
Germany,2020-06-21,20.0
Germany,2020-06-28,25.0
Germany,2020-07-05,21.0
Germany,2020-07-12,24.0
Germany,2020-07-19,38.0
Germany,2020-07-26,38.0
Germany,2020-08-02,38.0
Germany,2020-08-09,40.0
Germany,2020-08-16,29.0
Germany,2020-08-23,29.0
Germany,2020-08-30,27.0
Germany,2020-09-06,36.0
Germany,2020-09-13,21.0
Germany,2020-09-20,23.0
Germany,2020-09-27,24.0
Germany,2020-10-04,24.0
Germany,2020-10-11,22.0
Germany,2020-10-18,25.0
Germany,2020-10-25,16.0
Germany,2020-11-01,18.0
Germany,2020-11-08,20.0
Germany,2020-11-15,23.0
Germany,2020-11-22,21.0
Germany,2020-11-29,25.0
Germany,2020-12-06,22.0
Germany,2020-12-13,30.0
Germany,2020-12-20,25.0
Germany,2020-12-27,24.0
Germany,2021-01-03,17.0
Germany,2021-01-10,36.0
Germany,2021-01-17,22.0
Germany,2021-01-24,19.0
Germany,2021-01-31,26.0
Germany,2021-02-07,26.0
Germany,2021-02-14,18.0
Germany,2021-02-21,25.0
Germany,2021-02-28,23.0
Germany,2021-03-07,15.0
Germany,2021-03-14,21.0
Germany,2021-03-21,19.0
Germany,2021-03-28,24.0
Germany,2021-04-04,17.0
Germany,2021-04-11,22.0
Germany,2021-04-18,22.0
Germany,2021-04-25,21.0
Germany,2021-05-02,16.0
Germany,2021-05-09,28.0
Germany,2021-05-16,27.0
Germany,2021-05-23,23.0
Germany,2021-05-30,33.0
Germany,2021-06-06,34.0
Germany,2021-06-13,34.0
Germany,2021-06-20,39.0
Germany,2021-06-27,38.0
Germany,2021-07-04,32.0
Germany,2021-07-11,43.0
Germany,2021-07-18,50.0
Germany,2021-07-25,39.0
Germany,2021-08-01,43.0
Germany,2021-08-08,50.0
Germany,2021-08-15,48.0
Germany,2021-08-22,54.0
Germany,2021-08-29,55.0
Germany,2021-09-05,40.0
Germany,2021-09-12,39.0
Germany,2021-09-19,51.0
Germany,2021-09-26,47.0
Germany,2021-10-03,39.0
Germany,2021-10-10,46.0
Germany,2021-10-17,46.0
Germany,2021-10-24,42.0
Germany,2021-10-31,43.0
Germany,2021-11-07,40.0
Germany,2021-11-14,32.0
Germany,2021-11-21,35.0
Germany,2021-11-28,53.0
Germany,2021-12-05,41.0
Germany,2021-12-12,45.0
Germany,2021-12-19,58.0
Germany,2021-12-26,53.0
Germany,2022-01-02,38.0
Germany,2022-01-09,49.0
Germany,2022-01-16,40.0
Germany,2022-01-23,51.0
Germany,2022-01-30,37.0
Germany,2022-02-06,38.0
Germany,2022-02-13,58.0
Germany,2022-02-20,89.0
Germany,2022-02-27,92.0
Germany,2022-03-06,68.0
Germany,2022-03-13,48.0
Germany,2022-03-20,60.0
Germany,2022-03-27,63.0
Germany,2022-04-03,57.0
Germany,2022-04-10,66.0
