Country,Date,search_index
India,2020-01-26,85.0
India,2020-02-02,86.0
India,2020-02-09,85.0
India,2020-02-16,95.0
India,2020-02-23,100.0
India,2020-03-01,86.0
India,2020-03-08,91.0
India,2020-03-15,97.0
India,2020-03-22,68.0
India,2020-03-29,33.0
India,2020-04-05,34.0
India,2020-04-12,30.0
India,2020-04-19,24.0
India,2020-04-26,23.0
India,2020-05-03,27.0
India,2020-05-10,39.0
India,2020-05-17,63.0
India,2020-05-24,76.0
India,2020-05-31,57.0
India,2020-06-07,51.0
India,2020-06-14,44.0
India,2020-06-21,46.0
India,2020-06-28,50.0
India,2020-07-05,43.0
India,2020-07-12,41.0
India,2020-07-19,40.0
India,2020-07-26,44.0
India,2020-08-02,58.0
India,2020-08-09,43.0
India,2020-08-16,46.0
India,2020-08-23,50.0
India,2020-08-30,51.0
India,2020-09-06,52.0
India,2020-09-13,52.0
India,2020-09-20,48.0
India,2020-09-27,50.0
India,2020-10-04,49.0
India,2020-10-11,51.0
India,2020-10-18,51.0
India,2020-10-25,52.0
India,2020-11-01,55.0
India,2020-11-08,59.0
India,2020-11-15,70.0
India,2020-11-22,65.0
India,2020-11-29,63.0
India,2020-12-06,64.0
India,2020-12-13,63.0
India,2020-12-20,67.0
India,2020-12-27,65.0
India,2021-01-03,72.0
India,2021-01-10,74.0
India,2021-01-17,73.0
India,2021-01-24,72.0
India,2021-01-31,72.0
India,2021-02-07,71.0
India,2021-02-14,69.0
India,2021-02-21,66.0
India,2021-02-28,64.0
India,2021-03-07,67.0
India,2021-03-14,60.0
India,2021-03-21,61.0
India,2021-03-28,63.0
India,2021-04-04,58.0
India,2021-04-11,52.0
India,2021-04-18,52.0
India,2021-04-25,47.0
India,2021-05-02,45.0
India,2021-05-09,40.0
India,2021-05-16,41.0
India,2021-05-23,47.0
India,2021-05-30,49.0
India,2021-06-06,51.0
India,2021-06-13,50.0
India,2021-06-20,54.0
India,2021-06-27,59.0
India,2021-07-04,57.0
India,2021-07-11,61.0
India,2021-07-18,59.0
India,2021-07-25,62.0
India,2021-08-01,69.0
India,2021-08-08,66.0
India,2021-08-15,67.0
India,2021-08-22,67.0
India,2021-08-29,63.0
India,2021-09-05,64.0
India,2021-09-12,67.0
India,2021-09-19,67.0
India,2021-09-26,68.0
India,2021-10-03,67.0
India,2021-10-10,67.0
India,2021-10-17,73.0
India,2021-10-24,69.0
India,2021-10-31,72.0
India,2021-11-07,82.0
India,2021-11-14,79.0
India,2021-11-21,82.0
India,2021-11-28,77.0
India,2021-12-05,78.0
India,2021-12-12,78.0
India,2021-12-19,74.0
India,2021-12-26,67.0
India,2022-01-02,66.0
India,2022-01-09,51.0
India,2022-01-16,55.0
India,2022-01-23,59.0
India,2022-01-30,66.0
India,2022-02-06,67.0
India,2022-02-13,69.0
India,2022-02-20,81.0
India,2022-02-27,81.0
India,2022-03-06,77.0
India,2022-03-13,80.0
India,2022-03-20,84.0
India,2022-03-27,76.0
India,2022-04-03,81.0
India,2022-04-10,82.0
