Country,Date,search_index
Israel,2020-01-26,68.0
Israel,2020-02-02,80.0
Israel,2020-02-09,81.0
Israel,2020-02-16,77.0
Israel,2020-02-23,70.0
Israel,2020-03-01,79.0
Israel,2020-03-08,96.0
Israel,2020-03-15,65.0
Israel,2020-03-22,47.0
Israel,2020-03-29,38.0
Israel,2020-04-05,40.0
Israel,2020-04-12,35.0
Israel,2020-04-19,30.0
Israel,2020-04-26,35.0
Israel,2020-05-03,33.0
Israel,2020-05-10,34.0
Israel,2020-05-17,36.0
Israel,2020-05-24,32.0
Israel,2020-05-31,29.0
Israel,2020-06-07,36.0
Israel,2020-06-14,35.0
Israel,2020-06-21,34.0
Israel,2020-06-28,30.0
Israel,2020-07-05,34.0
Israel,2020-07-12,34.0
Israel,2020-07-19,28.0
Israel,2020-07-26,40.0
Israel,2020-08-02,34.0
Israel,2020-08-09,38.0
Israel,2020-08-16,71.0
Israel,2020-08-23,57.0
Israel,2020-08-30,64.0
Israel,2020-09-06,38.0
Israel,2020-09-13,46.0
Israel,2020-09-20,38.0
Israel,2020-09-27,47.0
Israel,2020-10-04,41.0
Israel,2020-10-11,32.0
Israel,2020-10-18,44.0
Israel,2020-10-25,38.0
Israel,2020-11-01,32.0
Israel,2020-11-08,30.0
Israel,2020-11-15,32.0
Israel,2020-11-22,40.0
Israel,2020-11-29,37.0
Israel,2020-12-06,36.0
Israel,2020-12-13,36.0
Israel,2020-12-20,29.0
Israel,2020-12-27,33.0
Israel,2021-01-03,35.0
Israel,2021-01-10,28.0
Israel,2021-01-17,26.0
Israel,2021-01-24,30.0
Israel,2021-01-31,33.0
Israel,2021-02-07,32.0
Israel,2021-02-14,31.0
Israel,2021-02-21,29.0
Israel,2021-02-28,39.0
Israel,2021-03-07,45.0
Israel,2021-03-14,45.0
Israel,2021-03-21,39.0
Israel,2021-03-28,39.0
Israel,2021-04-04,47.0
Israel,2021-04-11,45.0
Israel,2021-04-18,41.0
Israel,2021-04-25,45.0
Israel,2021-05-02,42.0
Israel,2021-05-09,51.0
Israel,2021-05-16,57.0
Israel,2021-05-23,51.0
Israel,2021-05-30,51.0
Israel,2021-06-06,57.0
Israel,2021-06-13,61.0
Israel,2021-06-20,61.0
Israel,2021-06-27,63.0
Israel,2021-07-04,53.0
Israel,2021-07-11,71.0
Israel,2021-07-18,60.0
Israel,2021-07-25,58.0
Israel,2021-08-01,64.0
Israel,2021-08-08,49.0
Israel,2021-08-15,52.0
Israel,2021-08-22,56.0
Israel,2021-08-29,59.0
Israel,2021-09-05,67.0
Israel,2021-09-12,62.0
Israel,2021-09-19,71.0
Israel,2021-09-26,70.0
Israel,2021-10-03,66.0
Israel,2021-10-10,66.0
Israel,2021-10-17,56.0
Israel,2021-10-24,66.0
Israel,2021-10-31,64.0
Israel,2021-11-07,56.0
Israel,2021-11-14,65.0
Israel,2021-11-21,69.0
Israel,2021-11-28,56.0
Israel,2021-12-05,58.0
Israel,2021-12-12,54.0
Israel,2021-12-19,49.0
Israel,2021-12-26,45.0
Israel,2022-01-02,39.0
Israel,2022-01-09,48.0
Israel,2022-01-16,48.0
Israel,2022-01-23,60.0
Israel,2022-01-30,63.0
Israel,2022-02-06,64.0
Israel,2022-02-13,69.0
Israel,2022-02-20,76.0
Israel,2022-02-27,76.0
Israel,2022-03-06,83.0
Israel,2022-03-13,72.0
Israel,2022-03-20,87.0
Israel,2022-03-27,78.0
Israel,2022-04-03,83.0
Israel,2022-04-10,100.0
