Country,Date,search_index
Italy,2020-01-26,65.0
Italy,2020-02-02,75.0
Italy,2020-02-09,100.0
Italy,2020-02-16,67.0
Italy,2020-02-23,58.0
Italy,2020-03-01,55.0
Italy,2020-03-08,59.0
Italy,2020-03-15,23.0
Italy,2020-03-22,24.0
Italy,2020-03-29,28.0
Italy,2020-04-05,13.0
Italy,2020-04-12,17.0
Italy,2020-04-19,13.0
Italy,2020-04-26,10.0
Italy,2020-05-03,11.0
Italy,2020-05-10,7.0
Italy,2020-05-17,24.0
Italy,2020-05-24,17.0
Italy,2020-05-31,10.0
Italy,2020-06-07,10.0
Italy,2020-06-14,9.0
Italy,2020-06-21,17.0
Italy,2020-06-28,37.0
Italy,2020-07-05,48.0
Italy,2020-07-12,28.0
Italy,2020-07-19,36.0
Italy,2020-07-26,39.0
Italy,2020-08-02,45.0
Italy,2020-08-09,43.0
Italy,2020-08-16,43.0
Italy,2020-08-23,34.0
Italy,2020-08-30,34.0
Italy,2020-09-06,29.0
Italy,2020-09-13,32.0
Italy,2020-09-20,26.0
Italy,2020-09-27,27.0
Italy,2020-10-04,33.0
Italy,2020-10-11,21.0
Italy,2020-10-18,28.0
Italy,2020-10-25,15.0
Italy,2020-11-01,11.0
Italy,2020-11-08,12.0
Italy,2020-11-15,10.0
Italy,2020-11-22,9.0
Italy,2020-11-29,15.0
Italy,2020-12-06,13.0
Italy,2020-12-13,22.0
Italy,2020-12-20,25.0
Italy,2020-12-27,24.0
Italy,2021-01-03,25.0
Italy,2021-01-10,14.0
Italy,2021-01-17,16.0
Italy,2021-01-24,12.0
Italy,2021-01-31,18.0
Italy,2021-02-07,18.0
Italy,2021-02-14,12.0
Italy,2021-02-21,11.0
Italy,2021-02-28,13.0
Italy,2021-03-07,19.0
Italy,2021-03-14,14.0
Italy,2021-03-21,17.0
Italy,2021-03-28,18.0
Italy,2021-04-04,13.0
Italy,2021-04-11,17.0
Italy,2021-04-18,13.0
Italy,2021-04-25,10.0
Italy,2021-05-02,17.0
Italy,2021-05-09,14.0
Italy,2021-05-16,18.0
Italy,2021-05-23,14.0
Italy,2021-05-30,19.0
Italy,2021-06-06,25.0
Italy,2021-06-13,39.0
Italy,2021-06-20,36.0
Italy,2021-06-27,36.0
Italy,2021-07-04,62.0
Italy,2021-07-11,55.0
Italy,2021-07-18,60.0
Italy,2021-07-25,91.0
Italy,2021-08-01,70.0
Italy,2021-08-08,79.0
Italy,2021-08-15,79.0
Italy,2021-08-22,77.0
Italy,2021-08-29,67.0
Italy,2021-09-05,71.0
Italy,2021-09-12,46.0
Italy,2021-09-19,62.0
Italy,2021-09-26,55.0
Italy,2021-10-03,51.0
Italy,2021-10-10,61.0
Italy,2021-10-17,50.0
Italy,2021-10-24,52.0
Italy,2021-10-31,41.0
Italy,2021-11-07,44.0
Italy,2021-11-14,49.0
Italy,2021-11-21,46.0
Italy,2021-11-28,51.0
Italy,2021-12-05,53.0
Italy,2021-12-12,37.0
Italy,2021-12-19,75.0
Italy,2021-12-26,69.0
Italy,2022-01-02,61.0
Italy,2022-01-09,37.0
Italy,2022-01-16,29.0
Italy,2022-01-23,21.0
Italy,2022-01-30,43.0
Italy,2022-02-06,35.0
Italy,2022-02-13,50.0
Italy,2022-02-20,62.0
Italy,2022-02-27,57.0
Italy,2022-03-06,58.0
Italy,2022-03-13,44.0
Italy,2022-03-20,42.0
Italy,2022-03-27,62.0
Italy,2022-04-03,59.0
Italy,2022-04-10,91.0
