Country,Date,search_index
Mexico,2020-01-26,74.0
Mexico,2020-02-02,80.0
Mexico,2020-02-09,81.0
Mexico,2020-02-16,68.0
Mexico,2020-02-23,74.0
Mexico,2020-03-01,61.0
Mexico,2020-03-08,70.0
Mexico,2020-03-15,61.0
Mexico,2020-03-22,24.0
Mexico,2020-03-29,13.0
Mexico,2020-04-05,21.0
Mexico,2020-04-12,18.0
Mexico,2020-04-19,14.0
Mexico,2020-04-26,14.0
Mexico,2020-05-03,4.0
Mexico,2020-05-10,16.0
Mexico,2020-05-17,11.0
Mexico,2020-05-24,5.0
Mexico,2020-05-31,8.0
Mexico,2020-06-07,9.0
Mexico,2020-06-14,10.0
Mexico,2020-06-21,10.0
Mexico,2020-06-28,24.0
Mexico,2020-07-05,21.0
Mexico,2020-07-12,15.0
Mexico,2020-07-19,20.0
Mexico,2020-07-26,15.0
Mexico,2020-08-02,13.0
Mexico,2020-08-09,19.0
Mexico,2020-08-16,18.0
Mexico,2020-08-23,11.0
Mexico,2020-08-30,15.0
Mexico,2020-09-06,13.0
Mexico,2020-09-13,4.0
Mexico,2020-09-20,12.0
Mexico,2020-09-27,23.0
Mexico,2020-10-04,22.0
Mexico,2020-10-11,19.0
Mexico,2020-10-18,13.0
Mexico,2020-10-25,19.0
Mexico,2020-11-01,23.0
Mexico,2020-11-08,15.0
Mexico,2020-11-15,24.0
Mexico,2020-11-22,20.0
Mexico,2020-11-29,25.0
Mexico,2020-12-06,19.0
Mexico,2020-12-13,30.0
Mexico,2020-12-20,42.0
Mexico,2020-12-27,35.0
Mexico,2021-01-03,26.0
Mexico,2021-01-10,20.0
Mexico,2021-01-17,12.0
Mexico,2021-01-24,27.0
Mexico,2021-01-31,16.0
Mexico,2021-02-07,23.0
Mexico,2021-02-14,30.0
Mexico,2021-02-21,22.0
Mexico,2021-02-28,11.0
Mexico,2021-03-07,25.0
Mexico,2021-03-14,36.0
Mexico,2021-03-21,25.0
Mexico,2021-03-28,21.0
Mexico,2021-04-04,37.0
Mexico,2021-04-11,17.0
Mexico,2021-04-18,17.0
Mexico,2021-04-25,19.0
Mexico,2021-05-02,27.0
Mexico,2021-05-09,29.0
Mexico,2021-05-16,32.0
Mexico,2021-05-23,25.0
Mexico,2021-05-30,21.0
Mexico,2021-06-06,42.0
Mexico,2021-06-13,30.0
Mexico,2021-06-20,29.0
Mexico,2021-06-27,39.0
Mexico,2021-07-04,50.0
Mexico,2021-07-11,36.0
Mexico,2021-07-18,59.0
Mexico,2021-07-25,43.0
Mexico,2021-08-01,28.0
Mexico,2021-08-08,30.0
Mexico,2021-08-15,48.0
Mexico,2021-08-22,30.0
Mexico,2021-08-29,32.0
Mexico,2021-09-05,27.0
Mexico,2021-09-12,48.0
Mexico,2021-09-19,20.0
Mexico,2021-09-26,32.0
Mexico,2021-10-03,28.0
Mexico,2021-10-10,54.0
Mexico,2021-10-17,44.0
Mexico,2021-10-24,30.0
Mexico,2021-10-31,56.0
Mexico,2021-11-07,39.0
Mexico,2021-11-14,45.0
Mexico,2021-11-21,38.0
Mexico,2021-11-28,67.0
Mexico,2021-12-05,46.0
Mexico,2021-12-12,84.0
Mexico,2021-12-19,100.0
Mexico,2021-12-26,98.0
Mexico,2022-01-02,92.0
Mexico,2022-01-09,44.0
Mexico,2022-01-16,61.0
Mexico,2022-01-23,45.0
Mexico,2022-01-30,45.0
Mexico,2022-02-06,50.0
Mexico,2022-02-13,62.0
Mexico,2022-02-20,65.0
Mexico,2022-02-27,40.0
Mexico,2022-03-06,56.0
Mexico,2022-03-13,65.0
Mexico,2022-03-20,60.0
Mexico,2022-03-27,61.0
Mexico,2022-04-03,69.0
Mexico,2022-04-10,61.0
