Country,Date,search_index
Poland,2020-01-26,8.0
Poland,2020-02-02,23.0
Poland,2020-02-09,12.0
Poland,2020-02-16,16.0
Poland,2020-02-23,22.0
Poland,2020-03-01,4.0
Poland,2020-03-08,15.0
Poland,2020-03-15,14.0
Poland,2020-03-22,10.0
Poland,2020-03-29,10.0
Poland,2020-04-05,11.0
Poland,2020-04-12,11.0
Poland,2020-04-19,7.0
Poland,2020-04-26,0.0
Poland,2020-05-03,3.0
Poland,2020-05-10,14.0
Poland,2020-05-17,7.0
Poland,2020-05-24,4.0
Poland,2020-05-31,4.0
Poland,2020-06-07,0.0
Poland,2020-06-14,7.0
Poland,2020-06-21,8.0
Poland,2020-06-28,16.0
Poland,2020-07-05,12.0
Poland,2020-07-12,4.0
Poland,2020-07-19,17.0
Poland,2020-07-26,4.0
Poland,2020-08-02,4.0
Poland,2020-08-09,13.0
Poland,2020-08-16,4.0
Poland,2020-08-23,12.0
Poland,2020-08-30,12.0
Poland,2020-09-06,4.0
Poland,2020-09-13,4.0
Poland,2020-09-20,4.0
Poland,2020-09-27,8.0
Poland,2020-10-04,4.0
Poland,2020-10-11,4.0
Poland,2020-10-18,12.0
Poland,2020-10-25,8.0
Poland,2020-11-01,0.0
Poland,2020-11-08,4.0
Poland,2020-11-15,4.0
Poland,2020-11-22,0.0
Poland,2020-11-29,4.0
Poland,2020-12-06,4.0
Poland,2020-12-13,12.0
Poland,2020-12-20,23.0
Poland,2020-12-27,17.0
Poland,2021-01-03,8.0
Poland,2021-01-10,16.0
Poland,2021-01-17,4.0
Poland,2021-01-24,0.0
Poland,2021-01-31,4.0
Poland,2021-02-07,8.0
Poland,2021-02-14,0.0
Poland,2021-02-21,11.0
Poland,2021-02-28,0.0
Poland,2021-03-07,4.0
Poland,2021-03-14,0.0
Poland,2021-03-21,7.0
Poland,2021-03-28,4.0
Poland,2021-04-04,8.0
Poland,2021-04-11,0.0
Poland,2021-04-18,15.0
Poland,2021-04-25,0.0
Poland,2021-05-02,4.0
Poland,2021-05-09,0.0
Poland,2021-05-16,19.0
Poland,2021-05-23,16.0
Poland,2021-05-30,13.0
Poland,2021-06-06,0.0
Poland,2021-06-13,8.0
Poland,2021-06-20,20.0
Poland,2021-06-27,8.0
Poland,2021-07-04,25.0
Poland,2021-07-11,13.0
Poland,2021-07-18,28.0
Poland,2021-07-25,9.0
Poland,2021-08-01,4.0
Poland,2021-08-08,22.0
Poland,2021-08-15,17.0
Poland,2021-08-22,23.0
Poland,2021-08-29,14.0
Poland,2021-09-05,10.0
Poland,2021-09-12,5.0
Poland,2021-09-19,19.0
Poland,2021-09-26,14.0
Poland,2021-10-03,10.0
Poland,2021-10-10,10.0
Poland,2021-10-17,5.0
Poland,2021-10-24,5.0
Poland,2021-10-31,5.0
Poland,2021-11-07,19.0
Poland,2021-11-14,9.0
Poland,2021-11-21,13.0
Poland,2021-11-28,23.0
Poland,2021-12-05,14.0
Poland,2021-12-12,25.0
Poland,2021-12-19,31.0
Poland,2021-12-26,18.0
Poland,2022-01-02,16.0
Poland,2022-01-09,0.0
Poland,2022-01-16,0.0
Poland,2022-01-23,32.0
Poland,2022-01-30,11.0
Poland,2022-02-06,16.0
Poland,2022-02-13,17.0
Poland,2022-02-20,100.0
Poland,2022-02-27,44.0
Poland,2022-03-06,33.0
Poland,2022-03-13,21.0
Poland,2022-03-20,22.0
Poland,2022-03-27,26.0
Poland,2022-04-03,34.0
Poland,2022-04-10,38.0
