Country,Date,search_index
Qatar,2020-01-26,59.0
Qatar,2020-02-02,75.0
Qatar,2020-02-09,79.0
Qatar,2020-02-16,69.0
Qatar,2020-02-23,71.0
Qatar,2020-03-01,72.0
Qatar,2020-03-08,100.0
Qatar,2020-03-15,77.0
Qatar,2020-03-22,37.0
Qatar,2020-03-29,33.0
Qatar,2020-04-05,39.0
Qatar,2020-04-12,34.0
Qatar,2020-04-19,27.0
Qatar,2020-04-26,32.0
Qatar,2020-05-03,47.0
Qatar,2020-05-10,48.0
Qatar,2020-05-17,47.0
Qatar,2020-05-24,53.0
Qatar,2020-05-31,55.0
Qatar,2020-06-07,55.0
Qatar,2020-06-14,50.0
Qatar,2020-06-21,51.0
Qatar,2020-06-28,65.0
Qatar,2020-07-05,55.0
Qatar,2020-07-12,52.0
Qatar,2020-07-19,40.0
Qatar,2020-07-26,47.0
Qatar,2020-08-02,66.0
Qatar,2020-08-09,45.0
Qatar,2020-08-16,55.0
Qatar,2020-08-23,45.0
Qatar,2020-08-30,49.0
Qatar,2020-09-06,45.0
Qatar,2020-09-13,41.0
Qatar,2020-09-20,36.0
Qatar,2020-09-27,34.0
Qatar,2020-10-04,30.0
Qatar,2020-10-11,35.0
Qatar,2020-10-18,31.0
Qatar,2020-10-25,34.0
Qatar,2020-11-01,35.0
Qatar,2020-11-08,31.0
Qatar,2020-11-15,36.0
Qatar,2020-11-22,43.0
Qatar,2020-11-29,40.0
Qatar,2020-12-06,40.0
Qatar,2020-12-13,44.0
Qatar,2020-12-20,50.0
Qatar,2020-12-27,45.0
Qatar,2021-01-03,60.0
Qatar,2021-01-10,47.0
Qatar,2021-01-17,50.0
Qatar,2021-01-24,46.0
Qatar,2021-01-31,48.0
Qatar,2021-02-07,36.0
Qatar,2021-02-14,35.0
Qatar,2021-02-21,37.0
Qatar,2021-02-28,44.0
Qatar,2021-03-07,39.0
Qatar,2021-03-14,40.0
Qatar,2021-03-21,44.0
Qatar,2021-03-28,44.0
Qatar,2021-04-04,45.0
Qatar,2021-04-11,44.0
Qatar,2021-04-18,44.0
Qatar,2021-04-25,48.0
Qatar,2021-05-02,50.0
Qatar,2021-05-09,40.0
Qatar,2021-05-16,48.0
Qatar,2021-05-23,48.0
Qatar,2021-05-30,48.0
Qatar,2021-06-06,52.0
Qatar,2021-06-13,51.0
Qatar,2021-06-20,55.0
Qatar,2021-06-27,76.0
Qatar,2021-07-04,75.0
Qatar,2021-07-11,93.0
Qatar,2021-07-18,73.0
Qatar,2021-07-25,82.0
Qatar,2021-08-01,68.0
Qatar,2021-08-08,71.0
Qatar,2021-08-15,65.0
Qatar,2021-08-22,60.0
Qatar,2021-08-29,52.0
Qatar,2021-09-05,55.0
Qatar,2021-09-12,55.0
Qatar,2021-09-19,51.0
Qatar,2021-09-26,53.0
Qatar,2021-10-03,59.0
Qatar,2021-10-10,60.0
Qatar,2021-10-17,58.0
Qatar,2021-10-24,51.0
Qatar,2021-10-31,64.0
Qatar,2021-11-07,61.0
Qatar,2021-11-14,61.0
Qatar,2021-11-21,63.0
Qatar,2021-11-28,62.0
Qatar,2021-12-05,67.0
Qatar,2021-12-12,71.0
Qatar,2021-12-19,74.0
Qatar,2021-12-26,65.0
Qatar,2022-01-02,61.0
Qatar,2022-01-09,58.0
Qatar,2022-01-16,55.0
Qatar,2022-01-23,60.0
Qatar,2022-01-30,58.0
Qatar,2022-02-06,58.0
Qatar,2022-02-13,62.0
Qatar,2022-02-20,58.0
Qatar,2022-02-27,69.0
Qatar,2022-03-06,80.0
Qatar,2022-03-13,74.0
Qatar,2022-03-20,82.0
Qatar,2022-03-27,75.0
Qatar,2022-04-03,78.0
Qatar,2022-04-10,72.0
